date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,ASOS,2.812,2.812,341684,83958859,0.00406965987948931,3321.0,
2020-01-02,ASOS,2.812,2.812,,,,,
2020-01-03,ASOS,,2.812,266203,83958859,0.0031706362279172945,3414.0,
2020-01-06,ASOS,,2.812,281679,83958859,0.0033549646023655465,3372.0,
2020-01-07,ASOS,2.394,2.394,,,,,
2020-01-07,ASOS,2.394,2.394,267913,83958859,0.003191003346055477,3418.0,
2020-01-08,ASOS,,2.394,240653,83958859,0.002866320515384803,3457.0,
2020-01-09,ASOS,2.49,2.49,,,,,
2020-01-09,ASOS,2.49,2.49,423797,83958859,0.005047674599770347,3489.0,
2020-01-10,ASOS,,2.49,277132,83958859,0.0033008071250706255,3418.0,
2020-01-13,ASOS,,2.49,389852,83958859,0.004643369438834323,3300.0,
2020-01-14,ASOS,2.527,2.527,688320,83958859,0.008198301027411533,3326.0,
2020-01-15,ASOS,2.534,2.534,511557,83958859,0.006092948452288995,3186.0,
2020-01-16,ASOS,1.71,1.71,387834,83958859,0.004619333857312186,3165.0,
2020-01-17,ASOS,1.812,1.812,344567,83958859,0.0041039981260345615,3190.0,
2020-01-20,ASOS,0.172,0.172,703562,83958859,0.008379842322535613,3035.0,
2020-01-21,ASOS,0.124,0.124,950519,83958859,0.011321247231337433,2970.0,
2020-01-21,ASOS,0.124,0.124,,,,,
2020-01-22,ASOS,,0.124,1010670,83958859,0.012037681455389955,3024.0,
2020-01-23,ASOS,0.448,0.448,2937559,83958859,0.03498807671981345,3300.0,
2020-01-24,ASOS,-0.809,-0.809,929098,83958859,0.01106611036722164,3184.0,0.48236654315670446
2020-01-24,ASOS,-0.809,-0.809,,,,,0.48236654315670446
2020-01-27,ASOS,,-0.809,565738,83958859,0.006738276421788914,3064.0,0.4851157145423886
2020-01-28,ASOS,-0.804,-0.804,,,,,0.4846108182216033
2020-01-28,ASOS,-0.804,-0.804,425196,83958859,0.005064337522738369,3030.0,0.4848924599281952
2020-01-29,ASOS,,-0.804,584540,83958859,0.006962219436545702,3048.0,0.48174743995366526
2020-01-30,ASOS,,-0.804,404701,83958859,0.004820229869965241,2961.0,0.48425390681515235
2020-01-31,ASOS,-0.402,-0.402,717486,83958859,0.008545685452919269,3073.0,0.5097395209984884
2020-02-03,ASOS,-0.54,-0.54,,,,,0.5098612340934164
2020-02-03,ASOS,-0.54,-0.54,350985,83958859,0.004180440327327459,3122.0,0.5128320667877571
2020-02-04,ASOS,,-0.54,434646,83958859,0.005176892649291482,3275.0,0.5294565026418387
2020-02-05,ASOS,,-0.54,474093,83958859,0.005646729906131764,3288.0,0.52888006458707
2020-02-06,ASOS,,-0.54,423709,83958859,0.0050466264673749315,3371.0,0.511625339041655
2020-02-07,ASOS,,-0.54,215171,83958859,0.0025628147233396777,3340.0,0.5123769267932868
2020-02-10,ASOS,0.708,0.708,858539,83958859,0.010225710666220463,3435.0,0.5200190130790903
2020-02-11,ASOS,0.732,0.732,,,,,0.4817864552720495
2020-02-11,ASOS,0.732,0.732,572278,83958859,0.006816171715720911,3551.0,0.47898333706072155
2020-02-12,ASOS,,0.732,626818,83958859,0.0074657755889703074,3541.0,0.47981960155852005
2020-02-13,ASOS,,0.732,365060,83958859,0.004348081957616884,3428.0,0.4999832969412152
2020-02-14,ASOS,,0.732,347485,83958859,0.004138753243418899,3374.0,0.3928845972114031
2020-02-17,ASOS,,0.732,264254,83958859,0.0031474224774779274,3362.0,0.3691922822220204
2020-02-18,ASOS,0.769,0.769,298784,83958859,0.003558695336724383,3311.0,0.3747014301226852
2020-02-18,ASOS,0.769,0.769,,,,,0.3440928857508973
2020-02-19,ASOS,,0.769,134345,83958859,0.0016001289393415888,3355.0,0.3452216452713009
2020-02-20,ASOS,,0.769,403897,83958859,0.004810653751261674,3254.0,0.3629463450823963
2020-02-21,ASOS,,0.769,214014,83958859,0.002549034164459048,3287.0,0.3635777666397435
2020-02-24,ASOS,,0.769,385772,83958859,0.004594774209592344,3150.0,0.38172357615382935
2020-02-25,ASOS,,0.769,445855,83958859,0.005310398513157497,3114.0,0.36230709879521217
2020-02-26,ASOS,,0.769,343100,83958859,0.004086525282579173,3073.0,0.3610178534232152
2020-02-27,ASOS,0.832,0.832,602128,83958859,0.007171702988483919,3063.0,0.36113736336794056
2020-02-27,ASOS,0.832,0.832,,,,,0.30992307798495594
2020-02-28,ASOS,,0.832,731049,83958859,0.008707228858362642,2997.0,0.31532735849886523
2020-03-02,ASOS,,0.832,614100,83958859,0.007314296636642001,2945.0,0.29792397952290695
2020-03-03,ASOS,,0.832,289724,83958859,0.0034507853423782235,2951.0,0.29927334056172916
2020-03-04,ASOS,,0.832,287057,83958859,0.0034190197844399003,2994.0,0.2816276272438816
2020-03-05,ASOS,,0.832,231438,83958859,0.0027565643787512643,2943.0,0.28274430311184995
2020-03-06,ASOS,,0.832,533726,83958859,0.006356994441765818,2732.0,0.3232673388759436
2020-03-09,ASOS,,0.832,909105,83958859,0.010827981833340541,2501.0,0.4086427103348863
2020-03-10,ASOS,0.95,0.95,,,,,0.408802739892546
2020-03-10,ASOS,0.95,0.95,814709,83958859,0.009703669269731261,2388.0,0.4223455661760927
2020-03-11,ASOS,,0.95,2239411,83958859,0.02667271836078668,2113.0,0.5441980006608514
2020-03-12,ASOS,,0.95,1308723,83958859,0.01558767014687515,1977.0,0.5632542458371237
2020-03-13,ASOS,,0.95,874338,83958859,0.010413886162983705,1935.5,0.5558640121452738
2020-03-16,ASOS,0.634,0.634,,,,,0.545348304337808
2020-03-16,ASOS,0.634,0.634,944616,83958859,0.011250938986676796,1608.5,0.7439348599179681
2020-03-17,ASOS,,0.634,1720695,83958859,0.020494501956011574,1050.0,1.3225062703882313
2020-03-18,ASOS,,0.634,2244319,83958859,0.026731175563021885,1231.0,1.5431394855221168
2020-03-19,ASOS,-0.516,-0.516,1832929,83958859,0.021831275720409684,1300.0,1.578275374647289
2020-03-20,ASOS,-1.363,-1.363,1431233,83958859,0.01704683718962879,1185.0,1.5856363371388056
2020-03-23,ASOS,-0.846,-0.846,,,,,1.586706451375255
2020-03-23,ASOS,-0.846,-0.846,1493174,83958859,0.01778459137945169,1095.0,1.583657978085632
2020-03-24,ASOS,,-0.846,1000279,83958859,0.01191391845856314,1200.0,1.659451915683813
2020-03-25,ASOS,-1.708,-1.708,,,,,1.663564038485099
2020-03-25,ASOS,-1.708,-1.708,1081806,83958859,0.012884953569938344,1255.0,1.6846502740782314
2020-03-26,ASOS,,-1.708,913436,83958859,0.010879566622028535,1292.0,1.691374576171506
2020-03-27,ASOS,,-1.708,1780065,83958859,0.021201634005054787,1200.0,1.6946723481257264
