date,title,url,domain,language,neg,neu,pos,compound,ticker
20200101T000000Z,Anchorage man survives botulism after eating home - canned salmon,https://www.adn.com/alaska-news/anchorage/2019/12/31/anchorage-man-survives-botulism-after-eating-home-canned-salmon/,adn.com,English,0,1,0,0,CPI
20200101T000000Z,2020 to have  milestone significance  - Chinadaily . com . cn,http://europe.chinadaily.com.cn/a/202001/01/WS5e0ba22da310cf3e35581d4f.html,europe.chinadaily.com.cn,English,0,0.769,0.231,0.2732,CPI
20200101T000000Z,Gas flaring in Nigeria,https://punchng.com/gas-flaring-in-nigeria/,punchng.com,English,0,1,0,0,CPI
20200101T000000Z,"Suddenly , not so sweet : Rogers Sugar stumbles after move into maple syrup",https://www.theglobeandmail.com/business/article-rogers-sugar-faces-a-bittersweet-future/,theglobeandmail.com,English,0.221,0.779,0,-0.4803,CPI
20200101T000000Z,Elementary school students in Madagascar learn Korean folk tales,http://www.donga.com/en/article/all/20200101/1940957/1/Elementary-school-students-in-Madagascar-learn-Korean-folk-tales,donga.com,English,0,1,0,0,CPI
20200101T001500Z,"Winona police calls for Tuesday , Dec . 31 : $89 . 97 - worth of merchandise taken from Target",https://www.winonadailynews.com/news/local/crime-and-courts/winona-police-calls-for-tuesday-dec--worth-of-merchandise/article_24599387-76d8-5945-8718-af9ef332b2f0.html,winonadailynews.com,English,0,0.881,0.119,0.2263,CPI
20200101T001500Z,California homelessness crisis and possible solutions explained,https://www.abc10.com/article/news/politics/californias-homelessness-crisis-and-possible-solutions-explained/103-ddc0338a-042c-4bc1-a20b-a4361fb7d167,abc10.com,English,0.38,0.463,0.157,-0.5267,CPI
20200101T003000Z,China Xi urges Hong Kong stability in New Year address,https://www.houstonchronicle.com/news/world/article/China-s-Xi-calls-for-Hong-Kong-stability-in-new-14941143.php,houstonchronicle.com,English,0,1,0,0,CPI
20200101T003000Z,"70 Percent Black Baltimore in 2019 Has Homicide Rate of 57 Per 100 , 000",https://www.amren.com/news/2019/12/70-percent-black-baltimore-in-2019-has-homicide-rate-of-57-per-100000/,amren.com,English,0,1,0,0,CPI
20200101T003000Z,347 people were killed in Baltimore this year . The mayor pledges to fight the culture of violence,https://www.wfsb.com/people-were-killed-in-baltimore-this-year-the-mayor-pledges/article_df56e1b2-a6b3-5100-8293-a8364f15883c.html,wfsb.com,English,0.444,0.556,0,-0.9042,CPI
20200101T003000Z,California homelessness crisis and possible solutions explained,https://www.abc10.com/article/news/politics/california-homeless-solutions/103-ddc0338a-042c-4bc1-a20b-a4361fb7d167,abc10.com,English,0.38,0.463,0.157,-0.5267,CPI
20200101T004500Z,"Heartbreak , odd news , record weather : These are Maine top stories of the decade",https://www.wmtw.com/article/heartbreak-and-tragedy-odd-news-record-weather-these-are-maines-top-stories-of-the-decade-2010s/30368921,wmtw.com,English,0.337,0.562,0.101,-0.6369,CPI
20200101T010000Z,2020 to have  milestone significance  - Chinadaily . com . cn,http://usa.chinadaily.com.cn/a/202001/01/WS5e0ba22da310cf3e35581d4f.html,usa.chinadaily.com.cn,English,0,0.769,0.231,0.2732,CPI
