date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,CPI,,,231992,1668696954,0.0001390258425557119,2525.25,
2020-01-03,CPI,,,152679,1668696954,9.149594216853829e-05,2475.0,
2020-01-06,CPI,,,200640,1668696954,0.00012023752995955909,2465.25,
2020-01-07,CPI,,,262726,1668696954,0.00015744380630061365,2490.75,
2020-01-08,CPI,,,279702,1668696954,0.00016761701358028607,2448.75,
2020-01-09,CPI,,,193842,1668696954,0.00011616369259579771,2454.75,
2020-01-10,CPI,,,218072,1668696954,0.00013068400435277598,2511.75,
2020-01-13,CPI,,,179167,1668696954,0.00010736940555355026,2500.5,
2020-01-14,CPI,,,195680,1668696954,0.00011726515082977733,2550.0,
2020-01-15,CPI,,,299291,1668696954,0.0001793561133329665,2586.75,
2020-01-16,CPI,,,440461,1668696954,0.0002639550572344366,2553.75,
2020-01-16,CPI,-5.485,-5.485,,,,,
2020-01-17,CPI,-2.189,-2.189,210682,1668696954,0.00012625539915739548,2585.25,
2020-01-20,CPI,1.731,1.731,230424,1668696954,0.00013808618721790992,2469.75,
2020-01-20,CPI,1.731,1.731,,,,,
2020-01-21,CPI,,1.731,210839,1668696954,0.00012634948454517283,2419.5,
2020-01-22,CPI,,1.731,319005,1668696954,0.00019117012183387732,2378.25,
2020-01-23,CPI,,1.731,223317,1668696954,0.00013382717542852302,2358.0,
2020-01-24,CPI,,1.731,187311,1668696954,0.00011224986031825644,2388.0,
2020-01-27,CPI,,1.731,303221,1668696954,0.00018171124437732988,2313.75,
2020-01-28,CPI,2.305,2.305,,,,,0.27804080061341907
2020-01-28,CPI,2.305,2.305,246237,1668696954,0.0001475624435040468,2303.25,0.27182671031527217
2020-01-29,CPI,,2.305,281804,1668696954,0.00016887667909052826,2259.0,0.2775382661004603
2020-01-30,CPI,,2.305,358637,1668696954,0.00021492038991281098,2202.75,0.2811939474790836
2020-01-31,CPI,,2.305,260220,1668696954,0.00015594203571609084,2181.75,0.27862187127824867
2020-02-03,CPI,,2.305,311061,1668696954,0.00018640952106633977,2200.5,0.2818138503340308
2020-02-04,CPI,,2.305,290994,1668696954,0.00017438397026042632,2274.75,0.29795073862272264
2020-02-05,CPI,,2.305,321902,1668696954,0.00019290620698286478,2308.5,0.30598580874430625
2020-02-06,CPI,,2.305,164898,1668696954,9.88184221255551e-05,2283.75,0.29368881482624987
2020-02-07,CPI,,2.305,156816,1668696954,9.397512209997119e-05,2241.0,0.2876271464503872
2020-02-09,CPI,2.126,2.126,,,,,0.287800006086674
2020-02-10,CPI,,2.126,144000,1668696954,8.629487796140605e-05,2254.5,0.2903470173986531
2020-02-11,CPI,1.61,1.61,129125,1668696954,7.738073692198998e-05,2298.0,0.2971639777792664
2020-02-11,CPI,1.61,1.61,,,,,0.2971639777792664
2020-02-12,CPI,,1.61,191179,1668696954,0.00011456783662349755,2257.5,0.26374438367550657
2020-02-13,CPI,1.801,1.801,191090,1668696954,0.0001145145015947575,2265.0,0.25802658392201866
2020-02-13,CPI,1.801,1.801,,,,,0.2529084646640837
2020-02-14,CPI,,1.801,153302,1668696954,9.186928736971854e-05,2245.5,0.25293944027951937
2020-02-17,CPI,,1.801,134470,1668696954,8.058383499632132e-05,2265.0,0.2501445306623449
2020-02-18,CPI,,1.801,134673,1668696954,8.070548680344748e-05,2228.25,0.23257200181515864
2020-02-19,CPI,,1.801,121781,1668696954,7.297969814595826e-05,2253.0,0.23699888899287558
2020-02-20,CPI,,1.801,351215,1668696954,0.0002104726080778835,2262.0,0.2373514355005437
2020-02-21,CPI,,1.801,127261,1668696954,7.626369766837844e-05,2273.25,0.2277979246024929
