date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2019-12-16,CRST,-1.839,-1.839,,,,,
2020-01-02,CRST,,-1.839,563405,256920539,0.0021929153745080692,438.2,
2020-01-03,CRST,,-1.839,321839,256920539,0.0012526791406116426,433.0,
2020-01-06,CRST,,-1.839,468586,256920539,0.0018238557408600175,431.0,
2020-01-07,CRST,,-1.839,684638,256920539,0.0026647850057639807,435.0,
2020-01-08,CRST,,-1.839,580963,256920539,0.0022612555705404306,428.2,
2020-01-09,CRST,-1.211,-1.211,,,,,
2020-01-09,CRST,-1.211,-1.211,367949,256920539,0.001432150973340438,429.0,
2020-01-10,CRST,,-1.211,376482,256920539,0.0014653635768684106,423.8,
2020-01-13,CRST,0.975,0.975,1368605,256920539,0.005326958309082482,429.0,
2020-01-13,CRST,0.975,0.975,,,,,
2020-01-14,CRST,,0.975,1159929,256920539,0.0045147383098086994,432.4,
2020-01-15,CRST,0.994,0.994,671618,256920539,0.0026141078584612496,438.6,
2020-01-16,CRST,,0.994,676850,256920539,0.0026344721314787525,435.4,
2020-01-17,CRST,,0.994,464957,256920539,0.0018097307510319368,442.0,
2020-01-20,CRST,,0.994,594767,256920539,0.0023149842449925735,444.0,
2020-01-21,CRST,,0.994,309952,256920539,0.0012064119171102939,441.0,
2020-01-22,CRST,,0.994,725864,256920539,0.0028252470698732265,444.6,
2020-01-23,CRST,,0.994,745067,256920539,0.0028999900237637287,444.4,
2020-01-24,CRST,,0.994,633745,256920539,0.002466696522071363,445.8,
2020-01-27,CRST,,0.994,728323,256920539,0.0028348181225012923,440.2,
2020-01-28,CRST,,0.994,2036560,256920539,0.00792680884107907,472.6,0.29923660633821336
2020-01-29,CRST,-0.237,-0.237,3900055,256920539,0.015180004740687548,495.0,0.33005073410353414
2020-01-30,CRST,0.233,0.233,3901360,256920539,0.015185084132179873,500.0,0.3273547098615174
2020-01-31,CRST,1.424,1.424,1318726,256920539,0.005132816570963212,500.0,0.32839680339994537
2020-02-03,CRST,1.855,1.855,,,,,0.3185315486474985
2020-02-03,CRST,1.855,1.855,1303548,256920539,0.005073739939491564,500.0,0.3185315486474985
2020-02-04,CRST,,1.855,1116222,256920539,0.004344619563483011,517.0,0.330566320134395
2020-02-05,CRST,1.378,1.378,,,,,0.34127503683896754
2020-02-05,CRST,1.378,1.378,1271545,256920539,0.004949176134182095,506.0,0.339998090983161
2020-02-06,CRST,,1.378,885913,256920539,0.003448198433057156,501.0,0.3463051078966907
2020-02-07,CRST,,1.378,696239,256920539,0.002709939044616437,495.4,0.3529400061379167
2020-02-10,CRST,,1.378,563877,256920539,0.0021947525184041437,495.0,0.3528874234095007
2020-02-11,CRST,,1.378,439299,256920539,0.0017098632974610099,498.0,0.3492309131197264
2020-02-12,CRST,,1.378,686589,256920539,0.002672378793351356,506.0,0.3495275332125444
2020-02-13,CRST,,1.378,674681,256920539,0.0026260298325156478,511.0,0.34954004950407824
2020-02-14,CRST,,1.378,783765,256920539,0.0030506124697177285,513.5,0.3457629411244113
2020-02-17,CRST,,1.378,1256958,256920539,0.004892399824834557,514.5,0.34639355092811974
2020-02-18,CRST,,1.378,1724051,256920539,0.006710444430447034,511.0,0.34906254132736986
2020-02-19,CRST,1.395,1.395,,,,,0.34972930850532324
2020-02-19,CRST,1.395,1.395,599718,256920539,0.0023342547946312692,519.0,0.3429971934852732
2020-02-20,CRST,,1.395,427951,256920539,0.0016656939988748817,516.0,0.24479025383634842
2020-02-21,CRST,,1.395,385862,256920539,0.0015018729195488726,518.0,0.1851498952095605
2020-02-24,CRST,,1.395,1001069,256920539,0.0038964148366511095,498.2,0.23184805283179902
2020-02-25,CRST,,1.395,962904,256920539,0.0037478669620882275,479.4,0.26761379982455485
2020-02-26,CRST,,1.395,960326,256920539,0.003737832731232126,474.0,0.26949688658085663
2020-02-27,CRST,,1.395,891334,256920539,0.0034692983420838925,453.0,0.30722712930109003
2020-02-28,CRST,,1.395,1831737,256920539,0.007129585696533199,452.0,0.2714688585109355
2020-03-02,CRST,,1.395,2823714,256920539,0.010990612159660773,443.4,0.26996373366614573
2020-03-03,CRST,,1.395,1215925,256920539,0.004732688965750613,455.6,0.2951624509715695
2020-03-04,CRST,,1.395,1216876,256920539,0.0047363904993208816,452.0,0.2948175195351107
2020-03-05,CRST,,1.395,1094361,256920539,0.004259530998415039,435.0,0.3163475265518644
2020-03-06,CRST,,1.395,1050088,256920539,0.004087209236315669,426.4,0.31913855689455095
2020-03-09,CRST,,1.395,1513443,256920539,0.0058907045964122,396.2,0.3862822681491566
2020-03-10,CRST,,1.395,2510833,256920539,0.009772799830534374,398.8,0.3788266128323451
2020-03-11,CRST,,1.395,1905426,256920539,0.007416402002799784,395.8,0.37071441769721364
2020-03-12,CRST,,1.395,1647817,256920539,0.006413722337706913,352.0,0.5025819492831509
2020-03-13,CRST,,1.395,2367532,256920539,0.009215035937628948,333.8,0.5100772182069058
2020-03-16,CRST,0.922,0.922,2592619,256920539,0.010091131717577473,320.0,0.5121586120836896
2020-03-16,CRST,0.922,0.922,,,,,0.5121586120836896
2020-03-17,CRST,,0.922,2563615,256920539,0.009978240782065306,299.4,0.5116305022340984
2020-03-18,CRST,,0.922,2143914,256920539,0.008344657878831556,257.8,0.6415620774406363
2020-03-19,CRST,0.536,0.536,3044228,256920539,0.011848908661989068,182.3,1.108450923407197
2020-03-19,CRST,0.536,0.536,,,,,1.121203419533456
2020-03-20,CRST,,0.536,8425306,256920539,0.03279343112385421,188.4,1.156265835840397
2020-03-23,CRST,,0.536,2147638,256920539,0.008359152632791262,190.1,1.165770631646901
2020-03-24,CRST,,0.536,2044323,256920539,0.00795702440901387,192.3,1.1808429990677125
2020-03-25,CRST,,0.536,2591732,256920539,0.010087679288264298,196.7,1.1944429997346906
2020-03-26,CRST,,0.536,2886478,256920539,0.011234905590790467,204.4,1.2239107612935252
2020-03-27,CRST,-3.741,-3.741,,,,,1.2091780968609
2020-03-27,CRST,-3.741,-3.741,3435749,256920539,0.013372807847020747,193.8,1.2056714471498875
2020-03-30,CRST,,-3.741,2930991,256920539,0.011408161493853942,184.2,1.206331558071844
2020-03-31,CRST,-4.356,-4.356,11536574,256920539,0.04490327649515012,175.5,1.2068702602816328
2020-03-31,CRST,-4.356,-4.356,,,,,1.2125016673715008
2020-04-01,CRST,,-4.356,1667797,256920539,0.006491489572968707,180.3,1.2189422920478854
2020-04-02,CRST,,-4.356,1764087,256920539,0.006866274712275923,185.9,1.2382821215291302
2020-04-03,CRST,-5.499,-5.499,2186011,256920539,0.008508510096189702,164.5,1.2420485964573986
2020-04-06,CRST,-28.568,-28.568,,,,,1.2457857898803242
2020-04-06,CRST,-28.568,-28.568,2331631,256920539,0.009075300126160797,189.5,1.4041254923557052
2020-04-07,CRST,,-28.568,2073422,256920539,0.008070285108657661,218.8,1.5367758270094474
2020-04-08,CRST,-18.988,-18.988,,,,,1.5257047039490153
2020-04-08,CRST,-18.988,-18.988,2057901,256920539,0.008009873434058146,236.2,1.4785434674028268
2020-04-09,CRST,,-18.988,1978558,256920539,0.00770105032357884,249.2,1.0032901385308919
2020-04-14,CRST,,-18.988,1216479,256920539,0.00473484527447609,229.8,1.0579643846383955
2020-04-15,CRST,,-18.988,1083047,256920539,0.004215494036465492,214.0,1.0942409719005426
2020-04-16,CRST,,-18.988,1417941,256920539,0.005518986553270465,232.0,1.1266166879734871
2020-04-17,CRST,-17.129,-17.129,,,,,1.1320866774810356
2020-04-17,CRST,-17.129,-17.129,1183443,256920539,0.0046062607707669494,241.8,1.131585951897263
2020-04-20,CRST,,-17.129,908901,256920539,0.003537673568402408,238.8,1.1309250238789914
2020-04-21,CRST,-17.55,-17.55,964202,256920539,0.0037529191078024323,232.2,1.138447898780902
2020-04-21,CRST,-17.55,-17.55,,,,,1.1164844726914813
2020-04-22,CRST,,-17.55,856927,256920539,0.003335377558117298,235.0,1.0930825355175158
2020-04-23,CRST,,-17.55,1403349,256920539,0.005462190782652842,255.0,1.1195860169842076
2020-04-24,CRST,,-17.55,753621,256920539,0.0029332843646260607,260.2,1.0921613221117583
2020-04-27,CRST,,-17.55,611700,256920539,0.0023808917822642434,260.4,1.0945350838441505
2020-04-28,CRST,,-17.55,605296,256920539,0.002355965787538691,261.2,1.095548977455354
2020-04-29,CRST,,-17.55,982535,256920539,0.0038242758006980515,285.6,1.0021458171931426
2020-04-30,CRST,,-17.55,1079338,256920539,0.004201057666316043,256.8,1.1009503612108418
2020-05-01,CRST,,-17.55,384014,256920539,0.0014946800341252592,255.6,0.996284769744224
2020-05-04,CRST,,-17.55,776414,256920539,0.003022000510437976,257.6,0.8531538520618869
2020-05-05,CRST,,-17.55,1307087,256920539,0.005087514626458105,254.8,0.8556397242991098
2020-05-06,CRST,,-17.55,895819,256920539,0.0034867551013506165,251.0,0.8172438773077148
2020-05-07,CRST,-11.847,-11.847,745288,256920539,0.0029008502119015093,257.6,0.7997594061277431
2020-05-07,CRST,-11.847,-11.847,,,,,0.7411439756450835
2020-05-11,CRST,,-11.847,828534,256920539,0.003224864789809584,243.2,0.725001104289619
2020-05-12,CRST,,-11.847,1260878,256920539,0.0049076574605816155,229.0,0.7010864319748068
2020-05-13,CRST,-13.056,-13.056,1556612,256920539,0.0060587293100766845,232.4,0.6859181719444134
2020-05-13,CRST,-13.056,-13.056,,,,,0.6859181719444134
2020-05-14,CRST,,-13.056,780436,256920539,0.00303765515609478,230.2,0.6853540335361265
2020-05-15,CRST,,-13.056,705693,256920539,0.002746736414094165,236.8,0.6854129321296075
2020-05-18,CRST,,-13.056,657400,256920539,0.002558767790846025,237.0,0.6853889272602066
2020-05-19,CRST,,-13.056,920856,256920539,0.00358420546517692,252.4,0.7206166755726968
2020-05-20,CRST,,-13.056,2072844,256920539,0.008068035385835774,241.8,0.671765993220314
2020-05-21,CRST,,-13.056,410983,256920539,0.001599650232712613,244.8,0.6688594084886359
2020-05-22,CRST,-13.363,-13.363,718388,256920539,0.002796148578841336,241.4,0.6700202658910318
2020-05-26,CRST,-13.313,-13.313,875222,256920539,0.0034065863453602674,270.0,0.7215389331493614
2020-05-26,CRST,-13.313,-13.313,,,,,0.6697439877729212
2020-05-27,CRST,,-13.313,799682,256920539,0.0031125654769080177,263.6,0.6268959283343896
2020-05-28,CRST,,-13.313,451426,256920539,0.0017570646619264644,267.2,0.6276736520132529
2020-05-29,CRST,,-13.313,730507,256920539,0.0028433188052746534,265.2,0.6284466897450773
2020-06-01,CRST,,-13.313,407642,256920539,0.0015866462120414592,267.4,0.626849312067803
2020-06-02,CRST,,-13.313,517969,256920539,0.0020160669209868037,264.0,0.6260577153948337
2020-06-03,CRST,,-13.313,840240,256920539,0.003270427515333836,281.4,0.6602583943260638
2020-06-04,CRST,,-13.313,773876,256920539,0.0030121219697425592,275.0,0.6675418642915161
2020-06-05,CRST,-4.435,-4.435,734982,256920539,0.0028607366420012065,295.2,0.671266378566606
2020-06-05,CRST,-4.435,-4.435,,,,,0.6219078476580533
2020-06-08,CRST,,-4.435,857677,256920539,0.003338296748630128,294.6,0.6242963483186825
2020-06-09,CRST,,-4.435,848199,256920539,0.0033014059650559894,286.6,0.6388563537763274
2020-06-10,CRST,,-4.435,1226856,256920539,0.0047752351944116075,283.6,0.6392971788785355
2020-06-11,CRST,,-4.435,651075,256920539,0.002534149284187824,261.2,0.7105711579931767
2020-06-12,CRST,,-4.435,502684,256920539,0.001956573818335326,264.6,0.7107492485909443
2020-06-15,CRST,,-4.435,534193,256920539,0.0020792148501603447,253.8,0.6942201673294942
2020-06-16,CRST,,-4.435,586399,256920539,0.0022824138633774234,267.2,0.697597082397199
2020-06-17,CRST,,-4.435,578682,256920539,0.00225237733912741,260.2,0.7062275288418899
2020-06-18,CRST,,-4.435,1375518,256920539,0.005353865461102742,252.4,0.713890936344252
2020-06-19,CRST,,-4.435,1188197,256920539,0.004624764546364275,248.4,0.71703272492199
2020-06-22,CRST,,-4.435,1114453,256920539,0.00433773416612675,251.0,0.5731375586209577
2020-06-23,CRST,-5.5,-5.5,536722,256920539,0.002089058360569608,250.8,0.5679207266392134
2020-06-24,CRST,-5.52,-5.52,4175012,256920539,0.016250207228469187,205.2,0.8505399637165437
2020-06-25,CRST,-8.527,-8.527,3707268,256920539,0.014429628765491575,219.8,0.9000155067688302
2020-06-26,CRST,-16.488,-16.488,1679911,256920539,0.006538640338131939,214.2,0.9000272676431109
2020-06-27,CRST,-41.162,-41.162,,,,,0.9005398420328632
2020-06-29,CRST,,-41.162,1859741,256920539,0.007238584378028259,207.6,0.8586202152606418
2020-06-30,CRST,,-41.162,1294467,256920539,0.005038394380762217,197.7,0.8666664779694147
2020-07-01,CRST,,-41.162,1123931,256920539,0.004374624949700888,196.5,0.8028061776792954
2020-07-02,CRST,,-41.162,1447862,256920539,0.005635446685716318,202.8,0.8206511626747097
2020-07-03,CRST,-50.19,-50.19,,,,,0.8211820087291214
2020-07-03,CRST,-50.19,-50.19,1180220,256920539,0.004593716036069814,198.0,0.8207105920803311
2020-07-06,CRST,,-50.19,1039055,256920539,0.004044265997744929,208.0,0.8549289000366144
2020-07-07,CRST,-46.58,-46.58,1004269,256920539,0.003908870049505852,212.2,0.8268217471224993
2020-07-08,CRST,-40.961,-40.961,826736,256920539,0.003217866517086826,208.0,0.823456385908746
2020-07-08,CRST,-40.961,-40.961,,,,,0.8162994967001626
2020-07-09,CRST,,-40.961,1005811,256920539,0.00391487190520023,210.0,0.7871278996772373
2020-07-10,CRST,,-40.961,1017890,256920539,0.003961886441472863,220.8,0.8146164916487589
2020-07-13,CRST,,-40.961,797442,256920539,0.0031038468279096986,214.4,0.8142503161292063
2020-07-14,CRST,,-40.961,697179,256920539,0.002713597763392517,211.8,0.8138075270908621
2020-07-15,CRST,,-40.961,821720,256920539,0.003198342970937018,210.0,0.8113157537342661
2020-07-16,CRST,,-40.961,314243,256920539,0.0012231135790976991,214.8,0.8182380773826912
2020-07-17,CRST,,-40.961,388791,256920539,0.0015132733315649785,210.0,0.4977038779044058
2020-07-20,CRST,,-40.961,607611,256920539,0.0023649763555882936,211.6,0.425893407040896
2020-07-21,CRST,,-40.961,1018985,256920539,0.003966148459621595,216.2,0.42369633236429893
2020-07-22,CRST,,-40.961,640319,256920539,0.0024922841999798235,212.6,0.42821269167747644
2020-07-23,CRST,,-40.961,568509,256920539,0.0022127814390113824,207.0,0.4242249477856213
2020-07-24,CRST,,-40.961,632724,256920539,0.002462722530719897,201.0,0.40077469204886057
2020-07-27,CRST,,-40.961,804234,256920539,0.003130283017193888,199.0,0.40193399926894635
2020-07-28,CRST,,-40.961,1218200,256920539,0.004741543843639531,206.0,0.4052716095267403
2020-07-29,CRST,,-40.961,745560,256920539,0.0029019089049941624,199.2,0.42299927565229123
2020-07-30,CRST,-32.896,-32.896,1165215,256920539,0.0045353127645431255,191.1,0.43929922019776757
2020-07-30,CRST,-32.896,-32.896,,,,,0.39442484094983415
