date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2019-12-19,LLOY,-0.018,-0.018,,,,,
2020-01-02,LLOY,,-0.018,138676108,70052557838,0.001979600920792862,63.71,
2020-01-03,LLOY,,-0.018,156449747,70052557838,0.0022333195507549886,63.05,
2020-01-06,LLOY,,-0.018,140313894,70052557838,0.002002980309790869,63.25,
2020-01-07,LLOY,,-0.018,94541862,70052557838,0.001349584724923717,63.11,
2020-01-08,LLOY,,-0.018,129545702,70052557838,0.001849264409439279,62.79,
2020-01-09,LLOY,-0.516,-0.516,163516825,70052557838,0.0023342020626590213,61.85,
2020-01-09,LLOY,-0.516,-0.516,,,,,
2020-01-10,LLOY,,-0.516,207690718,70052557838,0.002964784219304241,60.33,
2020-01-13,LLOY,,-0.516,225789352,70052557838,0.003223142151670593,58.74,
2020-01-14,LLOY,-0.664,-0.664,,,,,
2020-01-14,LLOY,-0.664,-0.664,213731936,70052557838,0.0030510225835616977,58.75,
2020-01-15,LLOY,,-0.664,213182922,70052557838,0.003043185410773951,57.81,
2020-01-16,LLOY,-0.672,-0.672,,,,,
2020-01-16,LLOY,-0.672,-0.672,136992063,70052557838,0.0019555611847436164,57.9,
2020-01-17,LLOY,,-0.672,134990997,70052557838,0.001926995975110193,58.45,
2020-01-20,LLOY,,-0.672,67960120,70052557838,0.0009701304577223452,57.9,
2020-01-21,LLOY,,-0.672,164835569,70052557838,0.0023530271283054415,58.5,
2020-01-22,LLOY,-0.72,-0.72,,,,,
2020-01-22,LLOY,-0.72,-0.72,128454906,70052557838,0.0018336933006366208,58.09,
2020-01-23,LLOY,,-0.72,157120324,70052557838,0.0022428920349111094,57.4,
2020-01-24,LLOY,,-0.72,137547207,70052557838,0.001963485863258337,58.09,0.16829158925136703
2020-01-27,LLOY,,-0.72,145947253,70052557838,0.002083396488355361,57.11,0.17279770141582407
2020-01-28,LLOY,,-0.72,96303698,70052557838,0.001374734927205757,57.64,0.17785834918337326
2020-01-29,LLOY,-0.778,-0.778,102884901,70052557838,0.0014686815753098754,57.5,0.17782208176673112
2020-01-29,LLOY,-0.778,-0.778,,,,,0.1785474286820183
2020-01-30,LLOY,,-0.778,127733419,70052557838,0.0018233940764217323,57.93,0.1785857401734206
2020-01-31,LLOY,,-0.778,173795284,70285353360,0.0024727098277478165,56.79,0.18734404627599285
2020-02-03,LLOY,-0.691,-0.691,,,,,0.1715211997734909
2020-02-03,LLOY,-0.691,-0.691,146260866,70285353360,0.002080957966460738,56.55,0.1478463291843972
2020-02-04,LLOY,,-0.691,103607028,70285353360,0.0014740913013459166,57.5,0.16199324725759934
2020-02-05,LLOY,,-0.691,134166824,70285353360,0.0019088873796052578,57.14,0.16297380723074434
2020-02-06,LLOY,,-0.691,128432439,70285353360,0.0018273001821897648,56.95,0.15380224354733674
2020-02-07,LLOY,,-0.691,111911096,70285353360,0.0015922392169929612,56.92,0.15357359711180757
2020-02-10,LLOY,,-0.691,120003289,70285353360,0.001707372635452878,56.88,0.15354477571915487
2020-02-11,LLOY,-0.674,-0.674,118240639,70285353360,0.0016822941530132759,56.73,0.1486678827925356
