date,ticker,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,SBRY,-2.362,-2.362,3764569,2212776386,0.001701287587764415,216.7746127475,
2020-01-02,SBRY,-2.362,-2.362,,,,,
2020-01-03,SBRY,,-2.362,4722775,2212776386,0.0021343209507659667,214.0660975516,
2020-01-06,SBRY,-2.699,-2.699,,,,,
2020-01-06,SBRY,-2.699,-2.699,5376885,2212776386,0.002429926961449416,211.6377735829,
2020-01-07,SBRY,,-2.699,6281246,2212776386,0.0028386266410563546,215.7472449146,
2020-01-08,SBRY,,-2.699,7774357,2212776386,0.003513394778246698,212.1981560372,
2020-01-09,SBRY,-2.92,-2.92,15365031,2212776386,0.006943779361174004,209.4896408413,
2020-01-10,SBRY,-2.983,-2.983,8016648,2212776386,0.0036228911564315652,205.4735665853,
2020-01-13,SBRY,-2.93,-2.93,3834214,2212776386,0.001732761622122625,205.9405519639,
2020-01-13,SBRY,-2.93,-2.93,,,,,
2020-01-14,SBRY,,-2.93,4438443,2212776386,0.0020058253640456193,205.9405519639,
2020-01-15,SBRY,,-2.93,14329134,2212776386,0.006475635807874172,200.8037127993,
2020-01-16,SBRY,,-2.93,14184269,2212776386,0.006410168279877874,201.3640952536,
2020-01-17,SBRY,-2.431,-2.431,7843404,2212776386,0.0035445985638785644,202.1112718594,
2020-01-17,SBRY,-2.431,-2.431,,,,,
2020-01-20,SBRY,,-2.431,2609382,2212776386,0.0011792343846894252,201.7376835565,
2020-01-21,SBRY,,-2.431,3669860,2212776386,0.0016584866067890151,198.3753888306,
2020-01-22,SBRY,-2.411,-2.411,,,,,
2020-01-22,SBRY,-2.411,-2.411,8913433,2212776386,0.004028167082943554,194.2659174988,
2020-01-23,SBRY,,-2.411,6533414,2212776386,0.0029525866424353646,193.1451525902,0.1710463193884642
2020-01-24,SBRY,,-2.411,5998493,2212776386,0.00271084463751142,195.8536677861,0.1839958922874538
2020-01-27,SBRY,,-2.411,5160822,2212776386,0.00233228356586412,190.53003447,0.19872902785162436
2020-01-28,SBRY,,-2.411,4684689,2212776386,0.0021171090895761215,191.9309906058,0.20320544425492712
2020-01-29,SBRY,-2.278,-2.278,6819782,2212776386,0.0030820023402039322,189.0356812585,0.20509084550793297
2020-01-29,SBRY,-2.278,-2.278,,,,,0.18426103522853463
2020-01-30,SBRY,,-2.278,6027152,2212776386,0.0027237962399333016,189.87625494,0.18425808905587293
2020-01-31,SBRY,,-2.278,7394181,2212879105,0.0033414301681880627,189.0356812585,0.18225083807173653
2020-02-03,SBRY,-1.995,-1.995,6629935,2212879105,0.0029960674241171436,187.7281221984,0.17470213568786477
2020-02-04,SBRY,-1.743,-1.743,10847093,2212879105,0.004901800995585794,188.8488871071,0.1770656337249807
2020-02-04,SBRY,-1.743,-1.743,,,,,0.1770656337249807
2020-02-05,SBRY,,-1.743,6360788,2212879105,0.002874439903033022,190.0630490914,0.18055497694865985
2020-02-06,SBRY,,-1.743,5664956,2212879105,0.002559993443473723,189.6894607885,0.1626398065300637
2020-02-07,SBRY,,-1.743,5057946,2212879105,0.002285685643003078,188.6620929556,0.1615080848831824
2020-02-10,SBRY,,-1.743,7879724,2212879105,0.003560847035066563,187.7281221984,0.15950446971671772
2020-02-11,SBRY,,-1.743,7022097,2212879105,0.0031732854199461565,188.9422841828,0.16307222881779093
2020-02-12,SBRY,,-1.743,6214633,2212879105,0.0028083924629944933,192.3979759844,0.18023475115863108
2020-02-13,SBRY,,-1.743,5565708,2212879105,0.0025151432753033292,191.3706081515,0.17258689684246226
2020-02-14,SBRY,,-1.743,8086507,2212879105,0.0036542922664543846,192.3979759844,0.17434757326532394
2020-02-17,SBRY,,-1.743,3757824,2212879105,0.001698160550890104,194.6395058017,0.16454127886613606
2020-02-18,SBRY,,-1.743,3846978,2212879105,0.001738449240768623,193.1451525902,0.1655874886061209
2020-02-19,SBRY,,-1.743,3958517,2212879105,0.0017888537114638262,192.7715642873,0.1572060378601848
2020-02-20,SBRY,,-1.743,3695658,2212879105,0.0016700677373877593,195.1998882561,0.1294478231685515
2020-02-21,SBRY,,-1.743,5236322,2212879105,0.0023662937519580403,196.7876385433,0.12996542058479732
2020-02-24,SBRY,,-1.743,5917239,2212879105,0.0026740001234726286,193.2385496659,0.1352087936034778
2020-02-25,SBRY,-1.098,-1.098,27312130,2212879105,0.012342350713280381,188.6620929556,0.1614349895876255
