date,title,url,domain,language,neg,neu,pos,compound,ticker
20230301T231500Z,What to pack for spring break trips : Maxi dresses and more,https://www.usatoday.com/story/travel/reviewed/2023/03/01/what-pack-spring-break-trips/11366736002/,usatoday.com,English,0.0,1.0,0.0,0.0,ASC
20230301T210000Z,How to Style Leather Pants 2023 - Leather Pants Outfit Ideas,https://www.cosmopolitan.com/style-beauty/fashion/a42709562/how-to-style-leather-pants/,cosmopolitan.com,English,0.0,1.0,0.0,0.0,ASC
20230301T180000Z,Klarna is introducing late payment fees - everything you need to know,https://www.bristolpost.co.uk/whats-on/shopping/klarna-introducing-late-payment-fees-8201508,bristolpost.co.uk,English,0.0,1.0,0.0,0.0,ASC
20230301T180000Z,A savage and definitive rundown of what your New Balance 530 colour says about you,https://thetab.com/uk/2023/03/01/a-savage-and-indefinite-rundown-of-what-your-new-balance-530-colour-says-about-you-296983,thetab.com,English,0.188,0.812,0.0,-0.4588,ASC
20230301T151500Z,Investegate |ASOS PLC Announcements | ASOS PLC : Total Voting Rights,https://www.investegate.co.uk/asos-plc--asc-/rns/total-voting-rights/202303011439385619R/,investegate.co.uk,English,0.0,1.0,0.0,0.0,ASC
20230301T113000Z,Bureau Veritas publishes new guide to help firms avoid greenwashing,https://www.businessgreen.com/news/4076743/bureau-veritas-publishes-guide-help-firms-avoid-greenwashing,businessgreen.com,English,0.271,0.526,0.203,0.0258,ASC
20230228T221500Z,John Lewis head of buying fashion choices,https://www.drapersonline.com/people/my-fashion-life/john-lewiss-head-of-buyings-fashion-choices,drapersonline.com,English,0.0,1.0,0.0,0.0,ASC
20230228T200000Z,Stock Market,https://markets.buffalonews.com/buffnews/article/bizwire-2023-2-28-simplify-healthcare-ranks-no-132-on-the-2023-inc-5000-list-of-americas-fastest-growing-private-companies-in-the-midwest-region,markets.buffalonews.com,English,0.0,1.0,0.0,0.0,ASC
20230228T191500Z,Simplify Healthcare ranks No . 132 on the 2023 Inc . 5000 List of America Fastest - Growing Private Companies in the Midwest Region,https://www.tmcnet.com/usubmit/2023/02/28/9768373.htm,tmcnet.com,English,0.096,0.83,0.074,-0.128,ASC
20230228T190000Z,Stock Market | FinancialContent Business Page,https://markets.financialcontent.com/stocks/article/bizwire-2023-2-28-simplify-healthcare-ranks-no-132-on-the-2023-inc-5000-list-of-americas-fastest-growing-private-companies-in-the-midwest-region,markets.financialcontent.com,English,0.0,1.0,0.0,0.0,ASC
20230228T181500Z,Paris Hilton Just Wore Her Most Iconic 2002 Dress – And It A Mini Trend This Year,https://graziadaily.co.uk/fashion/shopping/paris-hilton-mini-dress/,graziadaily.co.uk,English,0.0,1.0,0.0,0.0,ASC
20230228T174500Z,7 Winter - to - Spring Outfits That Make Transitional Dressing a Breeze,https://www.marieclaire.com/fashion/winter-to-spring-outfits/,marieclaire.com,English,0.0,1.0,0.0,0.0,ASC
20230228T161500Z,Mango discount codes - 70 % OFF for February 2023,https://www.marieclaire.co.uk/vouchers/shop.mango.com,marieclaire.co.uk,English,0.0,1.0,0.0,0.0,ASC
