date,title,url,domain,language,neg,neu,pos,compound,ticker
20230201T234500Z,Best & Worst States for Finding a Significant Other ( Poor Idaho ) ,https://mix106radio.com/ixp/657/p/best-worst-states-for-finding-a-significant-other-poor-idaho/,mix106radio.com,English,0.396,0.275,0.33,-0.296,CPI
20230201T234500Z,"It  Amrit Kaal  for PM Modi , not for common people : AAP - Jammu Kashmir Latest News | Tourism",https://www.dailyexcelsior.com/its-amrit-kaal-for-pm-modi-not-for-common-people-aap/,dailyexcelsior.com,English,0.0,1.0,0.0,0.0,CPI
20230201T234500Z,A Budget for a prosperous and inclusive India : Nitin Gadkari,https://www.bignewsnetwork.com/news/273470760/a-budget-for-a-prosperous-and-inclusive-india-nitin-gadkari,bignewsnetwork.com,English,0.0,0.693,0.307,0.4767,CPI
20230201T234500Z,"Small cities and towns are getting safer , while violent crime in large cities is on the rise",https://localnews8.com/news/crime-tracker/2023/01/31/small-cities-and-towns-are-getting-safer-while-violent-crime-in-large-cities-is-on-the-rise/,localnews8.com,English,0.306,0.579,0.116,-0.6808,CPI
20230201T234500Z,FACT CHECK -- Gov . Newsom :  Permitless Carry Does Not Make You Safer  ,https://www.breitbart.com/2nd-amendment/2023/02/01/fact-check-gavin-newsom-says-permitless-carry-does-not-make-you-safer/,breitbart.com,English,0.175,0.825,0.0,-0.3252,CPI
20230201T233000Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://ravallirepublic.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_b9005457-b3b8-5b44-9fba-98bcd165264f.html,ravallirepublic.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T233000Z,Xi Story : A ladle of water at villager home,https://www.chinanationalnews.com/news/273468998/xi-story-a-ladle-of-water-at-villagers-home,chinanationalnews.com,English,0.0,1.0,0.0,0.0,CPI
20230201T233000Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://fremonttribune.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_49fe0430-1d79-5339-b6b5-55f8dbb158a9.html,fremonttribune.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T233000Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://napavalleyregister.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_632b2984-29b5-585b-9d5d-6faed593f84b.html,napavalleyregister.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T233000Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://theindependent.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_733dd797-889b-5e0a-a183-1697037da697.html,theindependent.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T233000Z,"Bangladesh enters the 52nd year of victory , the victory of December is the victory of our national identity","https://thedailynewnation.com/news/342553/Bangladesh-enters-the-52nd-year-of-victory,-the-victory-of-December-is-the-victory-of-our-national-identity",thedailynewnation.com,English,0.0,1.0,0.0,0.0,CPI
20230201T233000Z,Chandrajit Banerjee | Budget : Growth - oriented  game - changer  roadmap,http://www.deccanchronicle.com/opinion/columnists/010223/chandrajit-banerjee-budget-growth-oriented-game-changer-roadm.html,deccanchronicle.com,English,0.0,0.729,0.271,0.3818,CPI
20230201T231500Z,The New Budget : Still Not India Turn | American Enterprise Institute,https://www.aei.org/foreign-and-defense-policy/the-new-budget-still-not-indias-turn/,aei.org,English,0.0,1.0,0.0,0.0,CPI
20230201T231500Z,Pennsylvania towns plug budgets with fines,https://www.wfmz.com/news/state/pennsylvania-towns-plug-budgets-with-fines/article_806ea176-8fde-52f8-b435-349de44cd362.html,wfmz.com,English,0.0,1.0,0.0,0.0,CPI
20230201T231500Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://beatricedailysun.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_4918ed9b-e75b-5e9c-8ef6-e84a77f108a4.html,beatricedailysun.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T230000Z,Study : Illinois second worst state for fines and fees,https://www.thecentersquare.com/illinois/study-illinois-second-worst-state-for-fines-and-fees/article_1f33713c-a273-11ed-a918-6b8016923b5d.html,thecentersquare.com,English,0.339,0.661,0.0,-0.6249,CPI
20230201T230000Z,Best & Worst States for Finding a Significant Other ( Poor Idaho ) ,https://liteonline.com/ixp/657/p/best-worst-states-for-finding-a-significant-other-poor-idaho/,liteonline.com,English,0.396,0.275,0.33,-0.296,CPI
20230201T230000Z,Upcoming  watershed  moment in public defense could spark nationwide solutions,https://tdn.com/news/national/upcoming-watershed-moment-in-public-defense-could-spark-nationwide-solutions/article_15f6f962-a7c2-57fe-a82f-1775fda52db3.html,tdn.com,English,0.0,0.579,0.421,0.4767,CPI
20230201T230000Z,Rounds Secures Key Committee Memberships for 118th Congress – South Dakota War College,http://dakotawarcollege.com/rounds-secures-key-committee-memberships-for-118th-congress/,dakotawarcollege.com,English,0.241,0.617,0.142,-0.3818,CPI
20230201T230000Z,2 : 00PM Water Cooler 2 / 1 / 2023 | naked capitalism,https://www.nakedcapitalism.com/2023/02/200pm-water-cooler-2-1-2023.html,nakedcapitalism.com,English,0.0,1.0,0.0,0.0,CPI
20230201T224500Z,Best & Worst States for Finding a Significant Other ( Poor Idaho ) ,https://1035kissfmboise.com/ixp/657/p/best-worst-states-for-finding-a-significant-other-poor-idaho/,1035kissfmboise.com,English,0.396,0.275,0.33,-0.296,CPI
