date,ticker,eps_surprise_pct,sue
2022-12-15,CPI,,
2022-12-16,CPI,6.139,6.139
2023-01-24,CPI,4.542,4.542
2023-02-09,CPI,5.005,5.005
2023-03-02,CPI,3.067,3.067
2023-03-06,CPI,-0.215,-0.215
2023-03-07,CPI,-13.568,-13.568
2023-03-21,CPI,-10.108,-10.108
2023-03-27,CPI,0.94,0.94
2023-04-04,CPI,1.063,1.063
2023-05-10,CPI,0.072,0.072
2023-07-01,CPI,-0.684,-0.684
2023-07-05,CPI,2.625,2.625
2023-07-20,CPI,7.311,7.311
2023-07-26,CPI,-18.773,-18.773
2023-08-04,CPI,-7.156,-7.156
2023-08-07,CPI,-0.632,-0.632
2023-08-11,CPI,-2.388,-2.388
2023-09-05,CPI,3.596,3.596
2023-10-17,CPI,4.662,4.662
2023-11-12,CPI,5.711,5.711
2023-12-01,CPI,6.835,6.835
2023-12-03,CPI,24.568,24.568
2023-12-14,CPI,0.244,0.244
2023-12-18,CPI,11.655,11.655
2024-01-10,CPI,1.665,1.665
2024-03-06,CPI,-1.195,-1.195
2024-03-07,CPI,-6.677,-6.677
2024-03-08,CPI,-5.247,-5.247
2024-03-12,CPI,-5.276,-5.276
2024-03-13,CPI,-2.848,-2.848
2024-03-15,CPI,0.247,0.247
2024-03-21,CPI,0.303,0.303
2024-05-03,CPI,0.57,0.57
2024-05-07,CPI,0.699,0.699
2024-05-09,CPI,0.742,0.742
2024-07-05,CPI,1.291,1.291
2024-07-06,CPI,-0.73,-0.73
2024-07-11,CPI,-0.309,-0.309
2024-07-12,CPI,3.546,3.546
2024-07-18,CPI,-8.037,-8.037
2024-07-20,CPI,-12.339,-12.339
2024-08-02,CPI,-14.378,-14.378
2024-08-07,CPI,-13.246,-13.246
2024-08-19,CPI,-9.681,-9.681
2024-09-05,CPI,-4.308,-4.308
2024-09-19,CPI,0.014,0.014
2024-10-06,CPI,0.015,0.015
2024-12-01,CPI,0.249,0.249
2024-12-06,CPI,-3.188,-3.188
2024-12-17,CPI,-2.817,-2.817
2024-12-18,CPI,-3.867,-3.867
2024-12-23,CPI,-3.501,-3.501
2025-01-06,CPI,-0.087,-0.087
2025-03-05,CPI,-1.208,-1.208
2025-03-06,CPI,-0.874,-0.874
2025-03-24,CPI,-1.564,-1.564
2025-03-28,CPI,-1.85,-1.85
2025-04-17,CPI,-2.661,-2.661
2025-04-23,CPI,-2.821,-2.821
2025-04-28,CPI,-2.519,-2.519
2025-04-29,CPI,-2.776,-2.776
2025-05-01,CPI,-2.635,-2.635
2025-05-07,CPI,-3.551,-3.551
2025-06-17,CPI,-0.781,-0.781
2025-07-04,CPI,-0.882,-0.882
2025-07-07,CPI,-0.99,-0.99
2025-07-18,CPI,-0.98,-0.98
2025-07-21,CPI,-1.056,-1.056
2025-08-05,CPI,-0.881,-0.881
2025-08-13,CPI,-1.061,-1.061
2025-08-27,CPI,-0.609,-0.609
2025-09-03,CPI,-0.183,-0.183
2025-09-29,CPI,3.328,3.328
2025-10-03,CPI,3.358,3.358
2025-10-15,CPI,2.514,2.514
2025-11-19,CPI,4.084,4.084
2025-12-04,CPI,4.81,4.81
2025-12-12,CPI,0.698,0.698
2025-12-15,CPI,3.655,3.655
2026-01-23,CPI,2.451,2.451
2026-02-05,CPI,1.12,1.12
2026-03-03,CPI,2.079,2.079
2026-03-10,CPI,-1.721,-1.721
2026-03-11,CPI,-0.139,-0.139
2026-03-12,CPI,-7.016,-7.016
2026-03-13,CPI,-6.514,-6.514
2026-03-26,CPI,-2.23,-2.23
2026-03-27,CPI,-2.803,-2.803
2026-03-28,CPI,-1.612,-1.612
2026-04-21,CPI,0.866,0.866
2026-07-01,CPI,-0.475,-0.475
2026-07-09,CPI,-5.503,-5.503
2026-07-10,CPI,-18.982,-18.982
2026-07-13,CPI,-33.104,-33.104
2026-07-14,CPI,-33.138,-33.138
2026-07-21,CPI,-25.454,-25.454
2026-07-24,CPI,-25.307,-25.307
2026-08-04,CPI,-17.101,-17.101
2026-08-05,CPI,0.532,0.532
2026-08-06,CPI,-10.265,-10.265
