date,ticker,eps_surprise_pct,sue
2023-01-01,CRST,0.615,0.615
2023-01-17,CRST,-1.421,-1.421
2023-01-18,CRST,-2.25,-2.25
2023-01-19,CRST,-0.543,-0.543
2023-01-20,CRST,-1.988,-1.988
2023-01-23,CRST,-2.571,-2.571
2023-01-24,CRST,-4.317,-4.317
2023-01-27,CRST,-5.094,-5.094
2023-02-10,CRST,-9.965,-9.965
2023-02-13,CRST,-6.886,-6.886
2023-03-03,CRST,-5.059,-5.059
2023-03-08,CRST,-3.541,-3.541
2023-03-29,CRST,-3.869,-3.869
2023-04-11,CRST,-2.26,-2.26
2023-04-13,CRST,-2.581,-2.581
2023-04-28,CRST,-1.581,-1.581
2023-05-12,CRST,-1.723,-1.723
2023-05-19,CRST,-2.518,-2.518
2023-05-21,CRST,-0.385,-0.385
2023-05-24,CRST,-4.906,-4.906
2023-05-28,CRST,-6.676,-6.676
2023-06-07,CRST,-3.783,-3.783
2023-06-08,CRST,-3.819,-3.819
2023-06-09,CRST,1.698,1.698
2023-06-12,CRST,-0.018,-0.018
2023-06-15,CRST,3.026,3.026
2023-06-22,CRST,-0.087,-0.087
2023-06-23,CRST,-1.042,-1.042
2023-07-24,CRST,-1.37,-1.37
2023-08-17,CRST,-1.495,-1.495
2023-08-21,CRST,-3.359,-3.359
2023-08-22,CRST,-13.715,-13.715
2023-08-23,CRST,-13.718,-13.718
2023-08-24,CRST,-10.981,-10.981
2023-08-29,CRST,-10.987,-10.987
2023-09-04,CRST,-6.816,-6.816
2023-09-08,CRST,-2.818,-2.818
2023-09-09,CRST,-1.806,-1.806
2023-09-25,CRST,-1.333,-1.333
2023-10-14,CRST,-1.22,-1.22
2023-10-25,CRST,-1.169,-1.169
2023-10-30,CRST,1.711,1.711
2023-11-16,CRST,-0.384,-0.384
2023-11-17,CRST,-4.476,-4.476
2023-11-20,CRST,-3.239,-3.239
2023-11-28,CRST,-2.629,-2.629
2023-12-08,CRST,-0.992,-0.992
2023-12-18,CRST,-1.083,-1.083
2024-01-05,CRST,-1.178,-1.178
2024-01-15,CRST,-1.069,-1.069
2024-01-16,CRST,-1.71,-1.71
2024-01-17,CRST,-7.794,-7.794
2024-01-22,CRST,-5.896,-5.896
2024-01-23,CRST,-0.215,-0.215
2024-01-24,CRST,-4.946,-4.946
2024-01-25,CRST,-2.123,-2.123
2024-02-02,CRST,0.242,0.242
2024-02-09,CRST,0.745,0.745
2024-02-28,CRST,0.794,0.794
2024-03-01,CRST,0.915,0.915
2024-03-19,CRST,0.948,0.948
2024-04-12,CRST,1.075,1.075
2024-04-15,CRST,0.451,0.451
2024-04-22,CRST,0.271,0.271
2024-05-02,CRST,0.537,0.537
2024-05-10,CRST,0.316,0.316
2024-05-22,CRST,0.341,0.341
