date,ticker,eps_surprise_pct,sue
2023-01-03,LLOY,0.617,0.617
2023-01-10,LLOY,0.662,0.662
2023-01-11,LLOY,0.501,0.501
2023-01-18,LLOY,0.917,0.917
2023-01-24,LLOY,1.172,1.172
2023-02-06,LLOY,2.181,2.181
2023-02-22,LLOY,5.943,5.943
2023-02-23,LLOY,5.005,5.005
2023-02-24,LLOY,6.662,6.662
2023-02-27,LLOY,5.465,5.465
2023-02-28,LLOY,1.357,1.357
2023-03-02,LLOY,1.358,1.358
2023-03-03,LLOY,0.76,0.76
2023-03-06,LLOY,1.151,1.151
2023-03-07,LLOY,-1.908,-1.908
2023-03-10,LLOY,0.785,0.785
2023-03-24,LLOY,2.554,2.554
2023-03-29,LLOY,2.612,2.612
2023-03-31,LLOY,3.289,3.289
2023-04-03,LLOY,3.159,3.159
2023-04-04,LLOY,3.174,3.174
2023-04-11,LLOY,3.253,3.253
2023-04-14,LLOY,3.32,3.32
2023-04-18,LLOY,3.54,3.54
2023-04-19,LLOY,3.344,3.344
2023-04-20,LLOY,3.374,3.374
2023-04-24,LLOY,5.074,5.074
2023-05-03,LLOY,5.104,5.104
2023-05-04,LLOY,4.331,4.331
2023-05-05,LLOY,2.608,2.608
2023-05-08,LLOY,3.748,3.748
2023-05-10,LLOY,3.769,3.769
2023-05-12,LLOY,3.86,3.86
2023-06-08,LLOY,4.35,4.35
2023-06-20,LLOY,3.122,3.122
2023-06-21,LLOY,2.98,2.98
2023-06-23,LLOY,2.78,2.78
2023-06-28,LLOY,2.992,2.992
2023-06-29,LLOY,2.854,2.854
2023-06-30,LLOY,2.777,2.777
2023-07-03,LLOY,3.081,3.081
2023-07-06,LLOY,2.993,2.993
2023-07-13,LLOY,2.997,2.997
2023-07-19,LLOY,2.742,2.742
2023-07-26,LLOY,2.061,2.061
2023-07-27,LLOY,2.073,2.073
2023-07-28,LLOY,0.949,0.949
2023-07-31,LLOY,0.426,0.426
2023-08-08,LLOY,0.117,0.117
2023-08-09,LLOY,0.79,0.79
2023-08-31,LLOY,0.946,0.946
2023-09-06,LLOY,0.912,0.912
2023-09-12,LLOY,0.396,0.396
2023-09-19,LLOY,1.008,1.008
2023-09-22,LLOY,0.961,0.961
2023-10-02,LLOY,0.981,0.981
2023-10-03,LLOY,0.998,0.998
2023-10-10,LLOY,0.684,0.684
2023-10-16,LLOY,0.788,0.788
2023-10-19,LLOY,0.653,0.653
2023-10-25,LLOY,0.096,0.096
2023-10-26,LLOY,0.422,0.422
2023-10-27,LLOY,-0.595,-0.595
2023-10-30,LLOY,0.404,0.404
2023-10-31,LLOY,0.726,0.726
2023-11-07,LLOY,0.261,0.261
2023-11-17,LLOY,0.583,0.583
2023-11-22,LLOY,0.569,0.569
2023-11-28,LLOY,0.542,0.542
2023-12-04,LLOY,0.563,0.563
2023-12-07,LLOY,1.427,1.427
2023-12-08,LLOY,1.261,1.261
2023-12-18,LLOY,1.313,1.313
2023-12-20,LLOY,1.101,1.101
2024-01-02,LLOY,0.15,0.15
2024-01-05,LLOY,0.681,0.681
2024-01-08,LLOY,0.859,0.859
2024-01-15,LLOY,0.381,0.381
2024-01-16,LLOY,0.078,0.078
