date,title,url,domain,language,neg,neu,pos,compound,ticker
20230201T191500Z,U . K . shares lower at close of trade ; Investing . com United Kingdom 100 down 0 . 16 % By Investing . com,https://ca.investing.com/news/stock-market-news/uk-shares-lower-at-close-of-trade-investingcom-united-kingdom-100-down-016-2889806,ca.investing.com,English,0.109,0.644,0.248,0.4215,RR
20230201T113000Z,London open : FTSE edges up ahead of rate decisions,https://www.lse.co.uk/news/london-open-ftse-edges-up-ahead-of-rate-decisions-n5usktt9ae9qfel.html,lse.co.uk,English,0,1,0,0,RR
20230201T074500Z,Former Macau The 13 operator to delist from the Hong Kong Stock Exchange,https://agbrief.com/news/macau/01/02/2023/former-macau-the-13-operator-to-delist-from-the-hong-kong-stock-exchange/,agbrief.com,English,0,1,0,0,RR
20230131T223000Z,Europe Top 5 Aerospace & Defense Companies Benchmark Report 2022 : Assess How Favorably Each Company is Positioned and Ability to Deal with Internal and External Factors,https://www.prnewswire.com/news-releases/europes-top-5-aerospace--defense-companies-benchmark-report-2022-assess-how-favorably-each-company-is-positioned-and-ability-to-deal-with-internal-and-external-factors-301735169.html,prnewswire.com,English,0,0.709,0.291,0.7351,RR
20230131T220000Z,London close : Stocks slip ahead of Fed rate decision,https://www.lse.co.uk/news/london-close-stocks-slip-ahead-of-fed-rate-decision-j73b83tvvewhihw.html,lse.co.uk,English,0,1,0,0,RR
20230131T213000Z,4 Undervalued ESG Stocks for 2023,https://www.morningstar.com/articles/1134171/4-undervalued-sustainable-stocks-for-2023,morningstar.com,English,0,1,0,0,RR
20230131T183000Z,European Stocks Close Broadly Lower Ahead Of Interest Rate Moves,https://www.finanznachrichten.de/nachrichten-2023-01/58194251-european-stocks-close-broadly-lower-ahead-of-interest-rate-moves-020.htm,finanznachrichten.de,English,0.167,0.606,0.227,0.2023,RR
20230131T183000Z,European Stocks Close Broadly Lower Ahead Of Interest Rate Moves,https://markets.businessinsider.com/news/stocks/european-stocks-close-broadly-lower-ahead-of-interest-rate-moves-1032055396,markets.businessinsider.com,English,0.167,0.606,0.227,0.2023,RR
20230131T180000Z,"FTSE 100 Closes Down 0 . 17 % Dragged by Miners , Oil Stocks",https://www.morningstar.com/news/dow-jones/202301319126/ftse-100-closes-down-017-dragged-by-miners-oil-stocks,morningstar.com,English,0.118,0.882,0,-0.0516,RR
20230131T164500Z,$5 . 4BILLION given in Covid aid to small businesses with bogus social security numbers,https://www.dailymail.co.uk/news/article-11693919/U-S-watchdog-identifies-5-4-billion-potentially-fraudulent-COVID-19-loans.html,dailymail.co.uk,English,0,0.844,0.156,0.34,RR
20230131T133000Z,London open : Stocks fall as IMF downgrades united kingdom growth forecast,https://www.lse.co.uk/news/london-open-stocks-fall-as-imf-downgrades-uk-growth-forecast-4vvyc596wlb2r94.html,lse.co.uk,English,0,0.625,0.375,0.6597,RR
20230131T121500Z,FTSE 100 Falls as IMF Highlights united kingdom Economic Fragility,https://www.morningstar.com/news/dow-jones/202301313736/ftse-100-falls-as-imf-highlights-uks-economic-fragility,morningstar.com,English,0,0.763,0.237,0.4215,RR
20230131T121500Z,4 Undervalued ESG Stocks for 2023,https://www.morningstar.com/articles/1134171/4-undervalued-esg-stocks-for-2023,morningstar.com,English,0,1,0,0,RR
20230131T104500Z,dpa - AFX Overview : Analyst recommendations on U . K . stocks,https://www.finanznachrichten.de/nachrichten-2023-01/58188473-dpa-afx-overview-analyst-recommendations-on-u-k-stocks-020.htm,finanznachrichten.de,English,0,1,0,0,RR
20230130T133000Z,London midday : Stocks stay down as investors eye rate decisions,https://www.lse.co.uk/news/london-midday-stocks-stay-down-as-investors-eye-rate-decisions-erk0kqlpjxf6rqh.html,lse.co.uk,English,0,1,0,0,RR
20230130T080000Z,"Stocks that will see action on January 30 , 2023 - The Hindu BusinessLine",https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-on-january-30-2023/article66449124.ece,thehindubusinessline.com,English,0,1,0,0,RR
20230128T030000Z,Wall Street Extends Weekly Advance Ahead Of Rate Hikes Next Week,https://ticker.com/Stock-Market-News-Today/Wall-Street-Extends-Weekly-Advance-Ahead-Of-Rate-Hikes-Next-Week-/Jan%2027-2023/T-23262,ticker.com,English,0,0.87,0.13,0.128,RR
