date,ticker,eps_surprise_pct,sue
2023-01-03,RR,-2.47,-2.47
2023-01-04,RR,-2.515,-2.515
2023-01-10,RR,4.357,4.357
2023-01-16,RR,-2.479,-2.479
2023-01-21,RR,-2.669,-2.669
2023-01-24,RR,-2.105,-2.105
2023-01-26,RR,-2.172,-2.172
2023-02-01,RR,-2.381,-2.381
2023-02-02,RR,-1.701,-1.701
2023-02-09,RR,-1.922,-1.922
2023-02-15,RR,-2.123,-2.123
2023-02-21,RR,-2.336,-2.336
2023-02-23,RR,3.209,3.209
2023-02-24,RR,2.932,2.932
2023-02-27,RR,1.85,1.85
2023-02-28,RR,16.922,16.922
2023-03-06,RR,13.941,13.941
2023-03-07,RR,8.119,8.119
2023-03-08,RR,5.919,5.919
2023-03-10,RR,4.609,4.609
2023-03-13,RR,4.621,4.621
2023-03-14,RR,2.857,2.857
2023-03-15,RR,-0.195,-0.195
2023-03-22,RR,1.382,1.382
2023-03-29,RR,2.287,2.287
2023-04-17,RR,2.429,2.429
2023-05-02,RR,5.786,5.786
2023-05-15,RR,6.255,6.255
2023-05-23,RR,6.362,6.362
2023-06-08,RR,7.383,7.383
2023-06-13,RR,5.9,5.9
2023-06-29,RR,6.173,6.173
2023-06-30,RR,6.65,6.65
2023-07-05,RR,6.166,6.166
2023-07-07,RR,5.723,5.723
2023-07-11,RR,3.115,3.115
2023-07-13,RR,4.316,4.316
2023-07-14,RR,5.533,5.533
2023-07-27,RR,14.434,14.434
2023-07-28,RR,52.552,52.552
2023-08-01,RR,38.422,38.422
2023-08-03,RR,23.424,23.424
2023-08-04,RR,20.109,20.109
2023-08-07,RR,30.3,30.3
2023-08-08,RR,22.22,22.22
2023-08-10,RR,17.764,17.764
2023-08-14,RR,13.158,13.158
2023-08-24,RR,12.198,12.198
2023-09-18,RR,3.156,3.156
2023-10-31,RR,2.718,2.718
2023-11-06,RR,2.59,2.59
2023-11-08,RR,2.406,2.406
2023-11-15,RR,2.272,2.272
2023-11-17,RR,1.397,1.397
2023-11-23,RR,1.84,1.84
