date,ticker,eps_surprise_pct,sue
2022-12-18,SBRY,0.753,0.753
2023-01-04,SBRY,0.581,0.581
2023-01-05,SBRY,1.027,1.027
2023-01-06,SBRY,1.668,1.668
2023-01-11,SBRY,0.672,0.672
2023-01-12,SBRY,0.889,0.889
2023-01-13,SBRY,1.216,1.216
2023-01-18,SBRY,1.138,1.138
2023-01-19,SBRY,0.597,0.597
2023-01-20,SBRY,0.154,0.154
2023-02-23,SBRY,-0.247,-0.247
2023-03-08,SBRY,-0.191,-0.191
2023-03-15,SBRY,-0.151,-0.151
2023-03-21,SBRY,-0.048,-0.048
2023-03-27,SBRY,-0.07,-0.07
2023-04-03,SBRY,-0.137,-0.137
2023-04-17,SBRY,0.268,0.268
2023-04-20,SBRY,0.256,0.256
2023-04-27,SBRY,-0.049,-0.049
2023-04-28,SBRY,0.02,0.02
2023-05-02,SBRY,0.198,0.198
2023-05-14,SBRY,0.181,0.181
2023-05-23,SBRY,0.253,0.253
2023-06-02,SBRY,0.342,0.342
2023-06-07,SBRY,0.479,0.479
2023-06-09,SBRY,0.561,0.561
2023-06-11,SBRY,0.334,0.334
2023-06-19,SBRY,0.207,0.207
2023-06-26,SBRY,0.291,0.291
2023-06-29,SBRY,0.434,0.434
2023-07-04,SBRY,0.439,0.439
2023-07-05,SBRY,0.47,0.47
2023-08-25,SBRY,0.641,0.641
2023-09-05,SBRY,0.789,0.789
2023-09-21,SBRY,0.553,0.553
2023-09-26,SBRY,0.541,0.541
2023-09-27,SBRY,0.689,0.689
2023-09-28,SBRY,0.954,0.954
2023-10-02,SBRY,0.722,0.722
2023-10-04,SBRY,0.865,0.865
2023-10-07,SBRY,0.874,0.874
2023-10-17,SBRY,0.901,0.901
2023-10-25,SBRY,0.526,0.526
2023-11-02,SBRY,0.497,0.497
2023-11-03,SBRY,0.47,0.47
2023-11-06,SBRY,0.554,0.554
2023-11-10,SBRY,0.121,0.121
2023-11-16,SBRY,-0.041,-0.041
2023-11-17,SBRY,-0.216,-0.216
2023-12-01,SBRY,-0.278,-0.278
2023-12-06,SBRY,-0.207,-0.207
2023-12-07,SBRY,-0.171,-0.171
2023-12-13,SBRY,-0.137,-0.137
2023-12-17,SBRY,-0.165,-0.165
2023-12-27,SBRY,-0.095,-0.095
2024-01-05,SBRY,0.254,0.254
2024-01-08,SBRY,0.359,0.359
2024-01-10,SBRY,0.091,0.091
2024-01-11,SBRY,-0.408,-0.408
2024-01-12,SBRY,-0.143,-0.143
2024-01-17,SBRY,-0.231,-0.231
2024-01-26,SBRY,-0.062,-0.062
2024-01-29,SBRY,-0.059,-0.059
2024-01-31,SBRY,-0.083,-0.083
2024-02-02,SBRY,-0.199,-0.199
2024-02-06,SBRY,-0.181,-0.181
2024-02-08,SBRY,-0.208,-0.208
2024-02-09,SBRY,-0.28,-0.28
2024-02-16,SBRY,0.228,0.228
2024-03-25,SBRY,0.11,0.11
