date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue
2023-02-01,CPI,420.2998962402344,428.7298889160156,404.9999084472656,404.9999084472656,193634,416.9399047851563,63.79307320888939,10.153104276999647,50.704220643543664,91.56583007126318,0.11254560000000001,,
2023-02-02,CPI,427.1998901367188,429.2998962402344,412.4399108886719,415.7998962402344,190949,419.1599029541016,83.62064883200067,10.109363889320417,64.5320061275695,157.73471083500087,,,
2023-02-03,CPI,438.5999145507813,438.5999145507813,421.9198913574219,424.1998901367188,213929,421.7099029541016,100.0,10.260168496502498,66.8202857868796,250.4489904706166,,,
2023-02-06,CPI,435.2998962402344,437.9999084472656,418.7998962402344,433.4999084472656,160930,423.38990173339846,91.851806640625,10.448969846593624,67.75697958081635,183.1567775185506,,,
2023-02-07,CPI,422.39990234375,434.0999145507813,419.3699035644531,431.39990234375,204504,424.1099029541016,59.9999698591821,10.422062355946078,56.64062872528792,106.56718402728296,,,
2023-02-08,CPI,434.9999084472656,446.9999084472656,415.4999084472656,415.4999084472656,330377,426.3599029541016,75.46011963641016,10.438635028148504,68.24815892293094,173.38859844347783,,,
2023-02-09,CPI,449.6998901367188,450.89990234375,433.4999084472656,446.9999084472656,191253,429.41990051269534,97.3855939725448,10.69232931886058,70.60808302976149,238.25937062639036,,5.005,5.005
2023-02-10,CPI,437.9999084472656,450.5999145507813,429.5999145507813,449.9999084472656,285405,430.9799011230469,71.89543439683894,10.870311416430187,60.25236198262135,151.71569517584066,,,
2023-02-13,CPI,432.5999145507813,447.5999145507813,432.5999145507813,437.39990234375,130434,431.87990112304686,60.1307402475049,10.88057907513917,58.95062871854445,115.94897149755154,,,
2023-02-14,CPI,436.1998901367188,449.6998901367188,427.4999084472656,427.4999084472656,156506,433.5299011230469,67.97382535565616,10.8178247923996,62.07950061921749,102.39469256159268,,,
2023-02-15,CPI,434.0999145507813,449.0999145507813,429.89990234375,429.89990234375,84886,434.9099029541016,63.39871453827031,10.654431559712892,58.01282260283709,89.89812885151882,,,
2023-02-16,CPI,432.89990234375,437.9999084472656,427.6048889160156,436.4999084472656,120921,435.4799041748047,60.78430851081512,10.393096027555874,55.73770491803279,49.894864389808745,,,
2023-02-17,CPI,433.4999084472656,449.9999084472656,426.2998962402344,449.9999084472656,156342,434.9699035644532,62.09151152454272,10.069956578777388,55.44554156282911,68.95471582562195,,,
