Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Feature_Set
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5397343487918763,0.4863814675189549,0.5450826914241548,0.8920056100981767,0.6761810244841562,With Behavioral
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.4756901944784442,0.4803487464722987,0.4666889830716829,0.7866360503743368,0.5829783570620076,With Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5086812638832222,0.4917191532229614,0.5410402957416233,0.607877512856475,0.5719513350257303,With Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.561176843918582,0.5624242445656726,0.5275794139374538,0.6500030988150131,0.5759591387733992,With Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5048052948909741,0.5036082274832951,0.5343463187125254,0.6511220196353436,0.5869151802414551,With Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.4972346887891563,0.5198917688329138,0.4771053912620178,0.4549766969111011,0.4635086554125229,With Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5281857745138039,0.4732152355626944,0.5347113322530909,0.9675081813931744,0.6887434657862673,With Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.4815494809374858,0.5003768988540501,0.4766233766233766,0.9630584064653676,0.6376194715872164,With Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5761265909872721,0.5921059837075205,0.5878128161147028,0.896112540972354,0.7093955697858892,With Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5029927760577916,0.4316433105122345,0.508168147393329,0.7286646586345382,0.5983244019181172,With Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5761495241371403,0.5007634986339573,0.5887957358545594,0.8937967536098377,0.7090340858263157,With Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5245270037839697,0.461961937742214,0.5201377987092273,0.8803965863453814,0.6537370755151999,With Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5644077514046554,0.56004804566305,0.6150326797385621,0.6665895544400217,0.6380260287880625,With Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5224515537209036,0.5072585149119736,0.5321461609620721,0.5712014725568942,0.5504291802953712,With Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5624125673661277,0.4935164034327355,0.5838518206939259,0.828335734877791,0.6847039851146398,With Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.4754729962160303,0.4833533631830266,0.4855479265149026,0.5828313253012049,0.5245151692091177,With Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5653766581477425,0.4702837554575691,0.5665099422078558,0.996415770609319,0.712760941917519,With Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.4738955823293172,0.3688070787360853,0.4760260554412773,0.99250936329588,0.6397845734230173,With Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5493002312279421,0.5202674340515673,0.5576218473074301,0.9602485545128228,0.6971960029445322,With Behavioral
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.463855421686747,0.4849806667343148,0.4672068399526423,0.9306859195749472,0.6197798546209761,With Behavioral
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5390775222100523,0.5376362727446087,0.5670502045070537,0.7268202439240428,0.6284047350133529,With Behavioral
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.5020080321285141,0.4858403237932371,0.4928808767684914,0.673383798616579,0.5588455265146995,With Behavioral
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5553364975051722,0.4546748283573806,0.560541179516529,0.9385173550544476,0.6945775899185227,With Behavioral
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.4016064257028113,0.3498104085226086,0.4156217345872519,0.6422207224284439,0.4888190522417426,With Behavioral
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5320390770207172,0.5309100294844254,0.5367869505496449,0.9712092878292036,0.6914151273511076,Without Behavioral
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.4796228296840292,0.5274876757692076,0.474709658902771,0.92224763250533,0.6267317526731753,Without Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.4989233419465977,0.4991672513680165,0.5360478668618204,0.5754246532647654,0.5536150128160858,Without Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.5611655106759147,0.5693141336671981,0.5299346433321633,0.6220889731766572,0.569628238608022,Without Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.497110023119815,0.482923768388693,0.5330456293189212,0.5539192769206794,0.5431794900978829,Without Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.5068226120857701,0.5013823962805578,0.4799988460356628,0.4675244186623035,0.4730480834775313,Without Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5339770615168412,0.4949281363126244,0.5375179872812516,0.9783777466105658,0.6938177240064033,Without Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.487454100367197,0.5151629446144462,0.4780983710629211,0.8890686201596508,0.6217529093065574,Without Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5722967549592937,0.5564192934026421,0.5805507909281494,0.9480090695043968,0.7192827384167287,Without Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5245040706341015,0.5083337033638239,0.5191937522346114,0.982095046854083,0.6785919351833893,Without Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5644536177043917,0.4580860889996075,0.5767463174691089,0.9444788510209072,0.7149080550433163,Without Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5303978901502121,0.4838193889398708,0.5250163318224303,0.8659638554216867,0.6531363705406769,Without Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5272789817681458,0.5340791973259971,0.5921136131220165,0.5983635609803833,0.5941800583023886,Without Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5321981424148606,0.5443143544482089,0.537655421315552,0.5451388888888888,0.5412996217874266,Without Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5624125673661277,0.5097568292896218,0.5820005184034941,0.8446230128473119,0.6891271436725983,Without Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5714826281389748,0.5671335473215406,0.5551846515396489,0.7776104417670683,0.6478201875995516,Without Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5653888280394305,0.4043692815118605,0.5661920408908361,0.9950248756218903,0.7123726573405804,Without Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.4759036144578313,0.3085795014256413,0.4769745649263721,0.99625468164794,0.6415066901742338,Without Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5553486673968603,0.5029114959773012,0.5602023123167518,0.9665650243406624,0.7011390520476425,Without Behavioral
