Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
LSTM,1-day,ASC,171,0.4561403508771929,0.4697426067907995,0.4675324675324675,0.8674698795180723,0.6075949367088608,0.4853801169590643,With Behavioral
LSTM,1-day,CPI,172,0.5058139534883721,0.4980978260869565,0.4829931972789115,0.8875,0.6255506607929515,0.4651162790697674,With Behavioral
LSTM,1-day,CRST,172,0.4651162790697674,0.4732058065391399,0.4495412844036697,0.6049382716049383,0.5157894736842106,0.4709302325581395,With Behavioral
LSTM,1-day,LLOY,172,0.5523255813953488,0.5181706819109841,0.5487804878048781,0.967741935483871,0.7003891050583657,0.5406976744186046,With Behavioral
LSTM,1-day,RR,171,0.5029239766081871,0.4015715467328371,0.527027027027027,0.8387096774193549,0.6473029045643154,0.543859649122807,With Behavioral
LSTM,1-day,SBRY,172,0.563953488372093,0.5394021739130435,0.5594405594405595,0.8695652173913043,0.6808510638297872,0.5348837209302325,With Behavioral
Logistic Regression,1-day,ASC,171,0.5672514619883041,0.5417579408543265,0.5343511450381679,0.8433734939759037,0.6542056074766355,0.4853801169590643,With Behavioral
Logistic Regression,1-day,CPI,172,0.5872093023255814,0.5990489130434783,0.5483870967741935,0.6375,0.5895953757225434,0.4651162790697674,With Behavioral
Logistic Regression,1-day,CRST,172,0.5290697674418605,0.546465879799213,0.5,0.4691358024691358,0.4840764331210191,0.4709302325581395,With Behavioral
Logistic Regression,1-day,LLOY,172,0.5,0.495712535728869,0.5309734513274337,0.6451612903225806,0.5825242718446602,0.5406976744186046,With Behavioral
Logistic Regression,1-day,RR,171,0.47953216374269,0.4218362282878412,0.5192307692307693,0.5806451612903226,0.5482233502538071,0.543859649122807,With Behavioral
Logistic Regression,1-day,SBRY,172,0.5465116279069767,0.557608695652174,0.5729166666666666,0.5978260869565217,0.5851063829787234,0.5348837209302325,With Behavioral
Random Forest,1-day,ASC,171,0.5730994152046783,0.6029572836801752,0.5757575757575758,0.4578313253012048,0.5100671140939598,0.4853801169590643,With Behavioral
Random Forest,1-day,CPI,172,0.4941860465116279,0.5425951086956522,0.4578313253012048,0.475,0.4662576687116564,0.4651162790697674,With Behavioral
Random Forest,1-day,CRST,172,0.4244186046511627,0.414122914122914,0.3977272727272727,0.4320987654320987,0.4142011834319526,0.4709302325581395,With Behavioral
Random Forest,1-day,LLOY,172,0.4941860465116279,0.4936028310875187,0.5258620689655172,0.6559139784946236,0.583732057416268,0.5406976744186046,With Behavioral
Random Forest,1-day,RR,171,0.47953216374269,0.474083264405845,0.5175438596491229,0.6344086021505376,0.5700483091787439,0.543859649122807,With Behavioral
Random Forest,1-day,SBRY,172,0.5406976744186046,0.5431385869565217,0.5596330275229358,0.6630434782608695,0.6069651741293532,0.5348837209302325,With Behavioral
SVM,1-day,ASC,171,0.47953216374269,0.4917168674698795,0.4821428571428571,0.9759036144578314,0.6454183266932271,0.4853801169590643,With Behavioral
SVM,1-day,CPI,172,0.4825581395348837,0.5353940217391304,0.4727272727272727,0.975,0.636734693877551,0.4651162790697674,With Behavioral
SVM,1-day,CRST,172,0.4825581395348837,0.4740198073531406,0.475,0.9382716049382716,0.6307053941908713,0.4709302325581395,With Behavioral
SVM,1-day,LLOY,172,0.5348837209302325,0.5018374846876276,0.5380116959064327,0.989247311827957,0.696969696969697,0.5406976744186046,With Behavioral
SVM,1-day,RR,171,0.543859649122807,0.4204576785221946,0.5449101796407185,0.978494623655914,0.7,0.543859649122807,With Behavioral
SVM,1-day,SBRY,172,0.5058139534883721,0.4973505434782609,0.5212121212121212,0.9347826086956522,0.669260700389105,0.5348837209302325,With Behavioral
LSTM,7-day,ASC,170,0.488235294117647,0.3260135135135135,0.5306122448979592,0.8125,0.6419753086419753,0.5647058823529412,With Behavioral
LSTM,7-day,CPI,170,0.5470588235294118,0.4574158703780639,0.5254237288135594,0.7469879518072289,0.6169154228855721,0.488235294117647,With Behavioral
LSTM,7-day,CRST,171,0.4736842105263157,0.511500547645126,0.4684684684684684,0.6265060240963856,0.5360824742268041,0.4853801169590643,With Behavioral
LSTM,7-day,LLOY,171,0.5906432748538012,0.4954731308411214,0.6163522012578616,0.9158878504672896,0.7368421052631579,0.6257309941520468,With Behavioral
LSTM,7-day,RR,170,0.5529411764705883,0.5918338312704511,0.5804195804195804,0.8383838383838383,0.6859504132231405,0.5823529411764706,With Behavioral
LSTM,7-day,SBRY,171,0.5847953216374269,0.689010989010989,0.5666666666666667,0.934065934065934,0.7053941908713693,0.5321637426900585,With Behavioral
