Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy,Feature_Set
Logistic Regression,1-day,0.5349514563106796,0.5341999275952576,0.5350734094616639,0.6283524904214559,0.5779735682819384,0.5067961165048543,With Behavioral
SVM,1-day,0.5048543689320388,0.4948524753371346,0.5060240963855421,0.9655172413793104,0.6640316205533597,0.5067961165048543,With Behavioral
Random Forest,1-day,0.5009708737864078,0.520546731227562,0.5069444444444444,0.5593869731800766,0.5318761384335154,0.5067961165048543,With Behavioral
LSTM,1-day,0.5077669902912622,0.4868276163755393,0.5086705202312138,0.842911877394636,0.6344628695025234,0.5067961165048543,With Behavioral
Logistic Regression,7-day,0.5503421309872922,0.4877282400838936,0.555431131019037,0.8872987477638641,0.6831955922865014,0.5464320625610948,With Behavioral
SVM,7-day,0.5190615835777126,0.5004665042255259,0.546079779917469,0.7101967799642218,0.6174183514774495,0.5464320625610948,With Behavioral
Random Forest,7-day,0.5434995112414467,0.5421010425020049,0.5761589403973509,0.6225402504472272,0.5984522785898538,0.5464320625610948,With Behavioral
LSTM,7-day,0.5395894428152492,0.5185117358583679,0.5531400966183575,0.8193202146690519,0.6604181687094448,0.5464320625610948,With Behavioral
Logistic Regression,30-day,0.5065326633165829,0.490238866396761,0.5150571131879543,0.953846153846154,0.6689143627781524,0.5226130653266332,With Behavioral
SVM,30-day,0.4783919597989949,0.4488906882591092,0.5005988023952096,0.8038461538461539,0.6169741697416974,0.5226130653266332,With Behavioral
Random Forest,30-day,0.5206030150753769,0.5182206477732794,0.5312046444121916,0.7038461538461539,0.6054590570719603,0.5226130653266332,With Behavioral
LSTM,30-day,0.5195979899497487,0.4252732793522267,0.5211693548387096,0.9942307692307693,0.6838624338624338,0.5226130653266332,With Behavioral
Logistic Regression,1-day,0.5300970873786408,0.5411688840619061,0.5324232081911263,0.5977011494252874,0.5631768953068592,0.5067961165048543,Without Behavioral
SVM,1-day,0.5106796116504855,0.5129781729869972,0.509375,0.9367816091954024,0.659919028340081,0.5067961165048543,Without Behavioral
Random Forest,1-day,0.5019417475728155,0.4977373517965427,0.50853889943074,0.5134099616858238,0.5109628217349858,0.5067961165048543,Without Behavioral
LSTM,1-day,0.5058252427184466,0.5224718677406703,0.5066530194472876,0.9482758620689656,0.6604402935290193,0.5067961165048543,Without Behavioral
Logistic Regression,7-day,0.5474095796676441,0.4742111837641108,0.5522875816993464,0.9069767441860463,0.6865267433987813,0.5464320625610948,Without Behavioral
SVM,7-day,0.5669599217986315,0.5522041360804393,0.5726817042606517,0.817531305903399,0.6735445836403832,0.5464320625610948,Without Behavioral
Random Forest,7-day,0.5298142717497556,0.5469125902165196,0.5691489361702128,0.5742397137745975,0.5716829919857525,0.5464320625610948,Without Behavioral
LSTM,7-day,0.5483870967741935,0.5230399111714268,0.5495403472931563,0.962432915921288,0.6996098829648895,0.5464320625610948,Without Behavioral
Logistic Regression,30-day,0.5165829145728643,0.4721052631578947,0.5198372329603256,0.9826923076923076,0.6799733865602129,0.5226130653266332,Without Behavioral
SVM,30-day,0.4743718592964824,0.4454331983805668,0.4983050847457627,0.8480769230769231,0.6277580071174377,0.5226130653266332,Without Behavioral
Random Forest,30-day,0.5195979899497487,0.5111133603238867,0.5313432835820896,0.6846153846153846,0.5983193277310924,0.5226130653266332,Without Behavioral
LSTM,30-day,0.5206030150753769,0.3724433198380567,0.5216515609264853,0.9961538461538462,0.6847323198942499,0.5226130653266332,Without Behavioral
