Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5086812638832222,0.4917191532229614,0.5410402957416233,0.607877512856475,0.5719513350257303
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.561176843918582,0.5624242445656726,0.5275794139374538,0.6500030988150131,0.5759591387733992
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5048052948909741,0.5036082274832951,0.5343463187125254,0.6511220196353436,0.5869151802414551
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.4972346887891563,0.5198917688329138,0.4771053912620178,0.45497669691110115,0.46350865541252295
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,515,0.5281857745138039,0.4732152355626944,0.5347113322530909,0.9675081813931744,0.6887434657862673
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,515,0.48154948093748584,0.5003768988540501,0.47662337662337667,0.9630584064653677,0.6376194715872164
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5761495241371403,0.5007634986339573,0.5887957358545594,0.8937967536098377,0.7090340858263157
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5245270037839697,0.461961937742214,0.5201377987092273,0.8803965863453814,0.6537370755151999
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5644077514046554,0.56004804566305,0.6150326797385621,0.6665895544400217,0.6380260287880625
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.5224515537209036,0.5072585149119736,0.5321461609620721,0.5712014725568942,0.5504291802953712
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,512,0.5624125673661277,0.4935164034327355,0.5838518206939259,0.828335734877791,0.6847039851146398
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,511,0.4754729962160303,0.48335336318302663,0.4855479265149026,0.5828313253012049,0.5245151692091177
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5493002312279421,0.5202674340515673,0.5576218473074301,0.9602485545128229,0.6971960029445322
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.463855421686747,0.4849806667343148,0.4672068399526423,0.9306859195749473,0.6197798546209761
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5390775222100523,0.5376362727446087,0.5670502045070537,0.7268202439240428,0.6284047350133529
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.5020080321285141,0.48584032379323716,0.4928808767684914,0.673383798616579,0.5588455265146995
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,497,0.5553364975051722,0.45467482835738066,0.560541179516529,0.9385173550544476,0.6945775899185227
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,498,0.4016064257028113,0.3498104085226086,0.4156217345872519,0.6422207224284439,0.48881905224174266
