Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
Logistic Regression,1-day,ASC,171,0.5672514619883041,0.5417579408543265,0.5343511450381679,0.8433734939759037,0.6542056074766355,0.4853801169590643
Logistic Regression,1-day,CPI,172,0.5872093023255814,0.5990489130434783,0.5483870967741935,0.6375,0.5895953757225434,0.46511627906976744
Logistic Regression,1-day,CRST,172,0.5290697674418605,0.546465879799213,0.5,0.4691358024691358,0.4840764331210191,0.47093023255813954
Logistic Regression,1-day,LLOY,172,0.5,0.495712535728869,0.5309734513274337,0.6451612903225806,0.5825242718446602,0.5406976744186046
Logistic Regression,1-day,RR,171,0.47953216374269003,0.4218362282878412,0.5192307692307693,0.5806451612903226,0.5482233502538071,0.543859649122807
Logistic Regression,1-day,SBRY,172,0.5465116279069767,0.557608695652174,0.5729166666666666,0.5978260869565217,0.5851063829787234,0.5348837209302325
Random Forest,1-day,ASC,171,0.5730994152046783,0.6029572836801752,0.5757575757575758,0.4578313253012048,0.5100671140939598,0.4853801169590643
Random Forest,1-day,CPI,172,0.4941860465116279,0.5425951086956522,0.4578313253012048,0.475,0.4662576687116564,0.46511627906976744
Random Forest,1-day,CRST,172,0.42441860465116277,0.414122914122914,0.3977272727272727,0.43209876543209874,0.41420118343195267,0.47093023255813954
Random Forest,1-day,LLOY,172,0.4941860465116279,0.4936028310875187,0.5258620689655172,0.6559139784946236,0.583732057416268,0.5406976744186046
Random Forest,1-day,RR,171,0.47953216374269003,0.47408326440584503,0.5175438596491229,0.6344086021505376,0.5700483091787439,0.543859649122807
Random Forest,1-day,SBRY,172,0.5406976744186046,0.5431385869565217,0.5596330275229358,0.6630434782608695,0.6069651741293532,0.5348837209302325
SVM,1-day,ASC,171,0.47953216374269003,0.4917168674698795,0.48214285714285715,0.9759036144578314,0.6454183266932271,0.4853801169590643
SVM,1-day,CPI,172,0.48255813953488375,0.5353940217391304,0.4727272727272727,0.975,0.636734693877551,0.46511627906976744
SVM,1-day,CRST,172,0.48255813953488375,0.47401980735314064,0.475,0.9382716049382716,0.6307053941908713,0.47093023255813954
SVM,1-day,LLOY,172,0.5348837209302325,0.5018374846876276,0.5380116959064327,0.989247311827957,0.696969696969697,0.5406976744186046
SVM,1-day,RR,171,0.543859649122807,0.4204576785221946,0.5449101796407185,0.978494623655914,0.7,0.543859649122807
SVM,1-day,SBRY,172,0.5058139534883721,0.4973505434782609,0.5212121212121212,0.9347826086956522,0.669260700389105,0.5348837209302325
Logistic Regression,7-day,ASC,170,0.5411764705882353,0.3920326576576576,0.5576923076923077,0.90625,0.6904761904761905,0.5647058823529412
Logistic Regression,7-day,CPI,170,0.5411764705882353,0.555463232239302,0.5170068027210885,0.9156626506024096,0.6608695652173913,0.48823529411764705
Logistic Regression,7-day,CRST,171,0.49122807017543857,0.4383899233296824,0.4857142857142857,0.8192771084337349,0.6098654708520179,0.4853801169590643
Logistic Regression,7-day,LLOY,171,0.5847953216374269,0.4522488317757009,0.6168831168831169,0.8878504672897196,0.7279693486590039,0.6257309941520468
Logistic Regression,7-day,RR,170,0.5647058823529412,0.5071845212690284,0.5874125874125874,0.8484848484848485,0.6942148760330579,0.5823529411764706
Logistic Regression,7-day,SBRY,171,0.5789473684210527,0.5428571428571428,0.5620915032679739,0.945054945054945,0.7049180327868853,0.5321637426900585
Random Forest,7-day,ASC,170,0.47058823529411764,0.44242680180180183,0.5319148936170213,0.5208333333333334,0.5263157894736842,0.5647058823529412
Random Forest,7-day,CPI,170,0.5470588235294118,0.5610026312145132,0.532608695652174,0.5903614457831325,0.56,0.48823529411764705
Random Forest,7-day,CRST,171,0.5497076023391813,0.5183461117196058,0.5319148936170213,0.6024096385542169,0.5649717514124294,0.4853801169590643
Random Forest,7-day,LLOY,171,0.5614035087719298,0.5508907710280373,0.6333333333333333,0.7102803738317757,0.6696035242290749,0.6257309941520468
Random Forest,7-day,RR,170,0.5411764705882353,0.4938824868402334,0.5882352941176471,0.7070707070707071,0.6422018348623854,0.5823529411764706
Random Forest,7-day,SBRY,171,0.5906432748538012,0.6353708791208792,0.6235294117647059,0.5824175824175825,0.6022727272727273,0.5321637426900585
SVM,7-day,ASC,170,0.3764705882352941,0.35754504504504503,0.43902439024390244,0.375,0.4044943820224719,0.5647058823529412
SVM,7-day,CPI,170,0.5411764705882353,0.5931311452707381,0.5221238938053098,0.7108433734939759,0.6020408163265306,0.48823529411764705
SVM,7-day,CRST,171,0.5087719298245614,0.49938389923329685,0.4954954954954955,0.6626506024096386,0.5670103092783505,0.4853801169590643
SVM,7-day,LLOY,171,0.6198830409356725,0.4896320093457943,0.6346153846153846,0.9252336448598131,0.752851711026616,0.6257309941520468
SVM,7-day,RR,170,0.5176470588235295,0.43775786029307157,0.5639097744360902,0.7575757575757576,0.646551724137931,0.5823529411764706
SVM,7-day,SBRY,171,0.5497076023391813,0.5531593406593407,0.553030303030303,0.8021978021978022,0.6547085201793722,0.5321637426900585
Logistic Regression,30-day,ASC,166,0.5,0.42667444914635927,0.51875,0.9325842696629213,0.6666666666666666,0.536144578313253
Logistic Regression,30-day,CPI,166,0.5301204819277109,0.4699548959697366,0.5276073619631901,0.9885057471264368,0.688,0.5240963855421686
Logistic Regression,30-day,CRST,166,0.3614457831325301,0.5583126550868486,0.35526315789473684,0.8709677419354839,0.5046728971962616,0.37349397590361444
