Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.0019157088122605363,0.5845341161213251
Logistic Regression,1-day,0.0,0.0038314176245210726,0.5774977545079396
Logistic Regression,1-day,0.001968503937007874,0.0038314176245210726,0.569749455619085
Logistic Regression,1-day,0.001968503937007874,0.005747126436781609,0.5686382908519562
Logistic Regression,1-day,0.007874015748031496,0.005747126436781609,0.5586874623912625
Logistic Regression,1-day,0.007874015748031496,0.007662835249042145,0.5574486675479764
Logistic Regression,1-day,0.00984251968503937,0.007662835249042145,0.5570288145413311
Logistic Regression,1-day,0.00984251968503937,0.009578544061302681,0.5555851493092425
Logistic Regression,1-day,0.011811023622047244,0.009578544061302681,0.5539334512263528
Logistic Regression,1-day,0.011811023622047244,0.011494252873563218,0.5537187988593382
Logistic Regression,1-day,0.013779527559055118,0.011494252873563218,0.5536792760256573
Logistic Regression,1-day,0.013779527559055118,0.017241379310344827,0.5526030695357377
Logistic Regression,1-day,0.01968503937007874,0.017241379310344827,0.5516658359041584
Logistic Regression,1-day,0.01968503937007874,0.019157088122605363,0.5504650957800923
Logistic Regression,1-day,0.021653543307086614,0.019157088122605363,0.5500695159129516
Logistic Regression,1-day,0.021653543307086614,0.02490421455938697,0.5491443226978727
Logistic Regression,1-day,0.025590551181102362,0.02490421455938697,0.5481218595897241
Logistic Regression,1-day,0.025590551181102362,0.03065134099616858,0.5470994296842867
Logistic Regression,1-day,0.027559055118110236,0.03065134099616858,0.5463238418976917
Logistic Regression,1-day,0.027559055118110236,0.032567049808429116,0.5458166112565979
Logistic Regression,1-day,0.02952755905511811,0.032567049808429116,0.5455147613647587
Logistic Regression,1-day,0.02952755905511811,0.034482758620689655,0.5454933237426248
Logistic Regression,1-day,0.031496062992125984,0.034482758620689655,0.5454427984919619
Logistic Regression,1-day,0.031496062992125984,0.03639846743295019,0.5454069109346428
Logistic Regression,1-day,0.03543307086614173,0.03639846743295019,0.5447037996539862
Logistic Regression,1-day,0.03543307086614173,0.038314176245210725,0.5443495243404765
Logistic Regression,1-day,0.04330708661417323,0.038314176245210725,0.5437323671248459
Logistic Regression,1-day,0.04330708661417323,0.0421455938697318,0.5436556064821889
Logistic Regression,1-day,0.051181102362204724,0.0421455938697318,0.5434208285741878
Logistic Regression,1-day,0.051181102362204724,0.044061302681992334,0.5433278959611335
Logistic Regression,1-day,0.05905511811023622,0.044061302681992334,0.5428983673294122
Logistic Regression,1-day,0.05905511811023622,0.04980842911877394,0.5418801969392673
Logistic Regression,1-day,0.0610236220472441,0.04980842911877394,0.541800669161054
Logistic Regression,1-day,0.0610236220472441,0.05172413793103448,0.541703013946302
Logistic Regression,1-day,0.07086614173228346,0.05172413793103448,0.5400848402937005
Logistic Regression,1-day,0.07086614173228346,0.05555555555555555,0.5395168704744902
Logistic Regression,1-day,0.07283464566929133,0.05555555555555555,0.5393373119799835
Logistic Regression,1-day,0.07283464566929133,0.05938697318007663,0.5392061409757829
Logistic Regression,1-day,0.07677165354330709,0.05938697318007663,0.5390544438715658
Logistic Regression,1-day,0.07677165354330709,0.07088122605363985,0.5382401762834734
Logistic Regression,1-day,0.07874015748031496,0.07088122605363985,0.5379634799455744
Logistic Regression,1-day,0.07874015748031496,0.07854406130268199,0.5375429548595538
Logistic Regression,1-day,0.08070866141732283,0.07854406130268199,0.5374117393089857
Logistic Regression,1-day,0.08070866141732283,0.08045977011494253,0.5370986338396315
Logistic Regression,1-day,0.08464566929133858,0.08045977011494253,0.5370560774621761
Logistic Regression,1-day,0.08464566929133858,0.0842911877394636,0.5368464902042207
Logistic Regression,1-day,0.08661417322834646,0.0842911877394636,0.5368439337819609
