Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,171,0.4853801169590643,0.5041073384446878,0.4840764331210191,0.9156626506024096,0.6333333333333333,0.4853801169590643
LSTM,1-day,CPI,172,0.48255813953488375,0.5054347826086956,0.4716981132075472,0.9375,0.6276150627615062,0.46511627906976744
LSTM,1-day,CRST,172,0.47093023255813954,0.5729209062542395,0.46835443037974683,0.9135802469135802,0.6192468619246861,0.47093023255813954
LSTM,1-day,LLOY,172,0.5290697674418605,0.5479787668436097,0.5352941176470588,0.978494623655914,0.6920152091254753,0.5406976744186046
LSTM,1-day,RR,171,0.5321637426900585,0.47518610421836227,0.5389221556886228,0.967741935483871,0.6923076923076923,0.543859649122807
LSTM,1-day,SBRY,172,0.5348837209302325,0.5695652173913044,0.536144578313253,0.967391304347826,0.689922480620155,0.5348837209302325
Logistic Regression,1-day,ASC,171,0.5614035087719298,0.5620208105147865,0.5350877192982456,0.7349397590361446,0.6192893401015228,0.4853801169590643
Logistic Regression,1-day,CPI,172,0.5872093023255814,0.5989130434782608,0.5483870967741935,0.6375,0.5895953757225434,0.46511627906976744
Logistic Regression,1-day,CRST,172,0.5348837209302325,0.547008547008547,0.5063291139240507,0.49382716049382713,0.5,0.47093023255813954
Logistic Regression,1-day,LLOY,172,0.5058139534883721,0.48713760718660676,0.5363636363636364,0.6344086021505376,0.5812807881773399,0.5406976744186046
Logistic Regression,1-day,RR,171,0.4444444444444444,0.45547284256961673,0.49038461538461536,0.5483870967741935,0.5177664974619289,0.543859649122807
Logistic Regression,1-day,SBRY,172,0.5465116279069767,0.5548913043478262,0.5813953488372093,0.5434782608695652,0.5617977528089888,0.5348837209302325
Random Forest,1-day,ASC,171,0.52046783625731,0.525670865279299,0.5068493150684932,0.4457831325301205,0.47435897435897434,0.4853801169590643
Random Forest,1-day,CPI,172,0.5174418604651163,0.531725543478261,0.4819277108433735,0.5,0.49079754601226994,0.46511627906976744
Random Forest,1-day,CRST,172,0.48255813953488375,0.4467507800841134,0.45121951219512196,0.4567901234567901,0.4539877300613497,0.47093023255813954
Random Forest,1-day,LLOY,172,0.47093023255813954,0.47339049952361506,0.5102040816326531,0.5376344086021505,0.5235602094240838,0.5406976744186046
Random Forest,1-day,RR,171,0.5087719298245614,0.4981389578163771,0.5454545454545454,0.5806451612903226,0.5625,0.543859649122807
Random Forest,1-day,SBRY,172,0.5116279069767442,0.4772418478260869,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5348837209302325
SVM,1-day,ASC,171,0.5263157894736842,0.6095974808324205,0.5066666666666667,0.9156626506024096,0.6523605150214592,0.4853801169590643
SVM,1-day,CPI,172,0.47093023255813954,0.4959239130434782,0.46357615894039733,0.875,0.6060606060606061,0.46511627906976744
SVM,1-day,CRST,172,0.46511627906976744,0.4399674399674399,0.46405228758169936,0.8765432098765432,0.6068376068376068,0.47093023255813954
SVM,1-day,LLOY,172,0.5406976744186046,0.534231659180618,0.5406976744186046,1.0,0.7018867924528301,0.5406976744186046
SVM,1-day,RR,171,0.5321637426900585,0.4534739454094292,0.5389221556886228,0.967741935483871,0.6923076923076923,0.543859649122807
SVM,1-day,SBRY,172,0.5290697674418605,0.49707880434782603,0.5329341317365269,0.967391304347826,0.6872586872586872,0.5348837209302325
LSTM,7-day,ASC,170,0.5411764705882353,0.4363738738738739,0.5542168674698795,0.9583333333333334,0.7022900763358778,0.5647058823529412
LSTM,7-day,CPI,170,0.5294117647058824,0.4618473895582329,0.5093167701863354,0.9879518072289156,0.6721311475409836,0.48823529411764705
LSTM,7-day,CRST,171,0.5029239766081871,0.6267798466593647,0.49404761904761907,1.0,0.6613545816733067,0.4853801169590643
LSTM,7-day,LLOY,171,0.5672514619883041,0.40303738317757004,0.6037735849056604,0.897196261682243,0.7218045112781954,0.6257309941520468
LSTM,7-day,RR,170,0.5882352941176471,0.6138853321951914,0.5878787878787879,0.9797979797979798,0.7348484848484849,0.5823529411764706
LSTM,7-day,SBRY,171,0.5614035087719298,0.6523351648351648,0.55,0.967032967032967,0.701195219123506,0.5321637426900585
Logistic Regression,7-day,ASC,170,0.5647058823529412,0.4605855855855856,0.5753424657534246,0.875,0.6942148760330579,0.5647058823529412
Logistic Regression,7-day,CPI,170,0.5294117647058824,0.5341365461847389,0.5103448275862069,0.891566265060241,0.6491228070175439,0.48823529411764705
Logistic Regression,7-day,CRST,171,0.49707602339181284,0.45673603504928806,0.48936170212765956,0.8313253012048193,0.6160714285714286,0.4853801169590643
Logistic Regression,7-day,LLOY,171,0.5906432748538012,0.3773364485981308,0.6149068322981367,0.9252336448598131,0.7388059701492538,0.6257309941520468
Logistic Regression,7-day,RR,170,0.5647058823529412,0.4565372030160763,0.5796178343949044,0.9191919191919192,0.7109375,0.5823529411764706
Logistic Regression,7-day,SBRY,171,0.5380116959064327,0.5403846153846155,0.5357142857142857,0.989010989010989,0.694980694980695,0.5321637426900585
Random Forest,7-day,ASC,170,0.5705882352941176,0.5981841216216215,0.6161616161616161,0.6354166666666666,0.6256410256410256,0.5647058823529412
Random Forest,7-day,CPI,170,0.4470588235294118,0.44432904029912756,0.43209876543209874,0.42168674698795183,0.4268292682926829,0.48823529411764705
Random Forest,7-day,CRST,171,0.5789473684210527,0.5904299014238773,0.5647058823529412,0.5783132530120482,0.5714285714285714,0.4853801169590643
Random Forest,7-day,LLOY,171,0.5146198830409356,0.48868282710280375,0.6224489795918368,0.5700934579439252,0.5951219512195122,0.6257309941520468
Random Forest,7-day,RR,170,0.49411764705882355,0.49672784179826435,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.5823529411764706
Random Forest,7-day,SBRY,171,0.5730994152046783,0.6168269230769231,0.5882352941176471,0.6593406593406593,0.6217616580310881,0.5321637426900585
SVM,7-day,ASC,170,0.6352941176470588,0.5760135135135134,0.6268656716417911,0.875,0.7304347826086957,0.5647058823529412
SVM,7-day,CPI,170,0.5352941176470588,0.5641877856252596,0.5169491525423728,0.7349397590361446,0.6069651741293532,0.48823529411764705
SVM,7-day,CRST,171,0.543859649122807,0.5611993428258488,0.5217391304347826,0.7228915662650602,0.6060606060606061,0.4853801169590643
