Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5300970873786408,0.5411688840619061,0.5324232081911263,0.5977011494252874,0.5631768953068592,0.5067961165048543
SVM,1-day,0.5106796116504855,0.5129781729869972,0.509375,0.9367816091954023,0.659919028340081,0.5067961165048543
Random Forest,1-day,0.5019417475728155,0.4977373517965427,0.50853889943074,0.5134099616858238,0.5109628217349858,0.5067961165048543
LSTM,1-day,0.5058252427184466,0.5224718677406703,0.5066530194472876,0.9482758620689655,0.6604402935290193,0.5067961165048543
Logistic Regression,7-day,0.5474095796676441,0.47421118376411087,0.5522875816993464,0.9069767441860465,0.6865267433987813,0.5464320625610948
SVM,7-day,0.5669599217986315,0.5522041360804393,0.5726817042606517,0.817531305903399,0.6735445836403832,0.5464320625610948
Random Forest,7-day,0.5298142717497556,0.5469125902165196,0.5691489361702128,0.5742397137745975,0.5716829919857525,0.5464320625610948
LSTM,7-day,0.5483870967741935,0.5230399111714268,0.5495403472931563,0.962432915921288,0.6996098829648895,0.5464320625610948
Logistic Regression,30-day,0.5165829145728643,0.47210526315789475,0.5198372329603256,0.9826923076923076,0.6799733865602129,0.5226130653266332
SVM,30-day,0.4743718592964824,0.44543319838056683,0.49830508474576274,0.8480769230769231,0.6277580071174377,0.5226130653266332
Random Forest,30-day,0.5195979899497487,0.5111133603238867,0.5313432835820896,0.6846153846153846,0.5983193277310924,0.5226130653266332
LSTM,30-day,0.5206030150753769,0.3724433198380567,0.5216515609264853,0.9961538461538462,0.6847323198942499,0.5226130653266332
