date,ticker,Close,High,Low,Open,Volume,SMA_10,STOCH_K_14,MACD_signal_9,RSI_14,CCI_20,daily_compound_sentiment,eps_surprise_pct,sue,volume,shares_outstanding,turnover,close,volatility
2020-01-02,LLOY,63.709999084472656,63.84000015258789,63.2400016784668,63.75,157613349,63.10399971008301,25.856906804003327,0.9881673583116314,56.34604733484489,47.09406146095385,-0.08816176470588236,,-0.018,138676108.0,70052557838.0,0.0019796009207928,63.71,
2020-01-03,LLOY,63.04999923706055,63.79999923706055,62.45000076293945,63.79999923706055,198856652,63.07899971008301,20.93887588108266,0.9516681551198316,57.72594531700598,17.945292467843313,0.14268333333333333,,-0.018,156449747.0,70052557838.0,0.0022333195507549,63.05,
2020-01-06,LLOY,63.25,63.32400131225586,62.071998596191406,63.20000076293945,136196286,63.06799964904785,19.55176431189242,0.9151060478445602,56.40409473390355,-0.3911291252602062,0.09807333333333332,,-0.018,140313894.0,70052557838.0,0.0020029803097908,63.25,
2020-01-07,LLOY,63.11000061035156,63.68999862670898,62.88999938964844,63.11000061035156,107254282,62.98699989318848,22.039483384415576,0.8761018393020366,45.501467084145645,13.72505740544777,0.059199999999999996,,-0.018,94541862.0,70052557838.0,0.0013495847249237,63.11,
2020-01-08,LLOY,62.790000915527344,62.869998931884766,62.0099983215332,62.58000183105469,157679455,63.03299980163574,29.31036183723737,0.8305094125142976,29.653272984961177,-37.5044986793402,-0.2743892857142857,,-0.018,129545702.0,70052557838.0,0.0018492644094392,62.79,
2020-01-09,LLOY,61.84999847412109,63.5,61.74599838256836,63.45000076293945,173659260,62.99799957275391,3.762661009954911,0.7662875596213183,40.8804904697264,-53.22117590023244,-0.07024999999999999,-0.516,-0.516,,,,,
2020-01-10,LLOY,60.33000183105469,61.7599983215332,60.09000015258789,61.5,224795444,62.68899993896484,5.429899790882187,0.667758575962553,33.9000929149512,-161.2464175930003,-0.04701428571428572,,-0.516,207690718.0,70052557838.0,0.0029647842193042,60.33,
2020-01-13,LLOY,58.7400016784668,61.75,58.64500045776367,59.75,250375742,62.24500007629395,1.6197986959137547,0.5260021188439195,25.191566296316736,-215.01383357780855,0.19702,,-0.516,225789352.0,70052557838.0,0.0032231421516705,58.74,
2020-01-14,LLOY,58.75,59.00600051879883,58.27999877929688,58.75,235807714,61.80800018310547,7.544156780911583,0.3635432786920161,29.796813390545225,-244.02371399999265,0.27598181818181816,-0.664,-0.664,213731936.0,70052557838.0,0.0030510225835616,58.75,
2020-01-15,LLOY,57.810001373291016,58.90999984741211,57.68999862670898,58.869998931884766,237998772,61.33900032043457,1.759570158790887,0.1807992290214564,27.300911662254972,-219.5965860285445,-0.20256666666666667,,-0.664,213182922.0,70052557838.0,0.0030431854107739,57.81,
