Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy,Feature_Set
Logistic Regression,1-day,0.5063853414769572,0.5291023080117873,0.55741127348643,0.2828389830508475,0.3752635277582572,0.475846751804553,With Behavioral
SVM,1-day,0.4847307051637979,0.4988294306113166,0.527027027027027,0.1652542372881356,0.2516129032258064,0.475846751804553,With Behavioral
Random Forest,1-day,0.5030538589672404,0.4978207879279315,0.5292014302741359,0.4703389830508475,0.4980370162647223,0.475846751804553,With Behavioral
LSTM,1-day,0.4925041643531371,0.4885520291517512,0.5130890052356021,0.6228813559322034,0.5626794258373206,0.475846751804553,With Behavioral
Logistic Regression,7-day,0.5072463768115942,0.5181949013157895,0.5761802575107297,0.5233918128654971,0.5485188968335035,0.4280936454849498,With Behavioral
SVM,7-day,0.5117056856187291,0.5048542580409356,0.5739644970414202,0.5672514619883041,0.5705882352941176,0.4280936454849498,With Behavioral
Random Forest,7-day,0.5128205128205128,0.5141446099333983,0.5853932584269663,0.5077972709551657,0.5438413361169102,0.4280936454849498,With Behavioral
LSTM,7-day,0.5027870680044593,0.4608930819525666,0.548621190130624,0.7368421052631579,0.6289517470881864,0.4280936454849498,With Behavioral
Logistic Regression,30-day,0.4943438914027149,0.5143569325259401,0.6129032258064516,0.414218009478673,0.4943438914027149,0.4032805429864253,With Behavioral
SVM,30-day,0.4983031674208145,0.4674853599037509,0.5897435897435898,0.5232227488151658,0.5544952285283777,0.4032805429864253,With Behavioral
Random Forest,30-day,0.5107466063348416,0.5153912112893255,0.620253164556962,0.4644549763033175,0.5311653116531165,0.4032805429864253,With Behavioral
LSTM,30-day,0.5559954751131222,0.4643227002918049,0.582216808769793,0.9061611374407584,0.7089358546533185,0.4032805429864253,With Behavioral
Logistic Regression,1-day,0.5086063298167685,0.5269935525977494,0.5613305613305614,0.2860169491525424,0.3789473684210526,0.475846751804553,Without Behavioral
SVM,1-day,0.475846751804553,0.4917775843996598,0.0,0.0,0.0,0.475846751804553,Without Behavioral
Random Forest,1-day,0.5008328706274292,0.5040030506496845,0.5273390036452005,0.4597457627118644,0.4912280701754385,0.475846751804553,Without Behavioral
LSTM,1-day,0.498611882287618,0.4925587880465953,0.5212435233160622,0.5328389830508474,0.5269774751178627,0.475846751804553,Without Behavioral
Logistic Regression,7-day,0.5066889632107023,0.5024861415692008,0.5735140771637122,0.5360623781676414,0.5541561712846348,0.4280936454849498,Without Behavioral
SVM,7-day,0.5050167224080268,0.4935136959876543,0.5746753246753247,0.5175438596491229,0.5446153846153846,0.4280936454849498,Without Behavioral
Random Forest,7-day,0.4921962095875139,0.4975766782407407,0.5649717514124294,0.4873294346978557,0.5232862375719518,0.4280936454849498,Without Behavioral
LSTM,7-day,0.5440356744704571,0.5152944028183886,0.5626506024096386,0.9103313840155944,0.695457930007446,0.4280936454849498,Without Behavioral
Logistic Regression,30-day,0.4864253393665158,0.5167804417619962,0.6092124814264487,0.3886255924170616,0.474537037037037,0.4032805429864253,Without Behavioral
SVM,30-day,0.504524886877828,0.4852601982146062,0.5980284775465499,0.5175355450236967,0.5548780487804879,0.4032805429864253,Without Behavioral
Random Forest,30-day,0.4779411764705882,0.4748509402232074,0.5741573033707865,0.4843601895734597,0.5254498714652956,0.4032805429864253,Without Behavioral
LSTM,30-day,0.5503393665158371,0.4624748243520802,0.5788834951456311,0.904265402843602,0.7058823529411765,0.4032805429864253,Without Behavioral
