Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Feature_Set
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5071288634806012,0.51681424450582,0.5574318741976448,0.5394481338571424,0.5357610672123269,With Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5268811326747237,0.4696998873332244,0.5603266097399855,0.7287255047787373,0.6328242336965803,With Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5177147842545766,0.5089387045389397,0.5744007502889922,0.5426784844534273,0.5572228463694006,With Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5270391501082038,0.4870513204517579,0.557789527635723,0.7524345749009108,0.6405110790527289,With Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.513572059314813,0.4932607528977739,0.5899139473237488,0.7059954922632882,0.640654528867196,With Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6200913116673986,0.4981123960157611,0.6214127189818687,0.9890370637352076,0.7631658189918583,With Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5434316924353156,0.5301098535987476,0.6425384394970597,0.6050955512119686,0.621380411937789,With Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5681607040302693,0.4725913594520894,0.6158672278087002,0.8064887996407188,0.6978398257170273,With Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6813646219875981,0.443786986678078,0.6934181400982206,0.9720569575637952,0.8071309347528817,With Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6916502035989285,0.524158564270116,0.6947522524941058,0.9931951689459092,0.815579823710654,With Behavioral
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6002919224382449,0.5576195276144261,0.7409622973498399,0.6558143668895849,0.6952461728476678,With Behavioral
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6330815332581123,0.5330828271507988,0.7104113059707607,0.7964038846219074,0.749718291386997,With Behavioral
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5181293791042549,0.5103949461201285,0.5527456902515948,0.6540541249967189,0.5950242302033834,Without Behavioral
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5215147377070048,0.4696324536920001,0.5552284832543463,0.7388059135598312,0.6338980930030467,Without Behavioral
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5057663054729401,0.4981798819314502,0.5658762334137163,0.5143537111408598,0.5385670932840744,Without Behavioral
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5609557168004587,0.505117856110498,0.5609557168004587,1.0,0.7186315138685102,Without Behavioral
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6019936685697554,0.5153359317584677,0.6127123663388131,0.9695340501792116,0.750600107232685,Without Behavioral
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6189414115138753,0.4869066893526468,0.6209267673116725,0.9872055619037056,0.7622724922231034,Without Behavioral
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5589590394844017,0.533656750445988,0.6537599178830772,0.6126451190426682,0.6319947741456047,Without Behavioral
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5707735802844498,0.5034054944659551,0.6186292912635624,0.804740692918743,0.6991168521982832,Without Behavioral
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6814042691280481,0.4539790184410157,0.6925292172392976,0.975609756097561,0.8077718860469951,Without Behavioral
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6916502035989285,0.524793138680163,0.6947522524941058,0.9931951689459092,0.815579823710654,Without Behavioral
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.5805074562421844,0.5423607188576834,0.7247236111990211,0.6414809865615619,0.6794014806043237,Without Behavioral
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6134760223055898,0.5478476932709736,0.7106466882319831,0.7450033407094563,0.7266465817634401,Without Behavioral
