Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy,Feature_Set
Logistic Regression,1-day,0.527027027027027,0.4700082380805273,0.5601851851851852,0.7289156626506024,0.6335078534031413,0.5608108108108109,With Behavioral
SVM,1-day,0.527027027027027,0.4880908248378128,0.5580357142857143,0.7530120481927711,0.6410256410256411,0.5608108108108109,With Behavioral
Random Forest,1-day,0.5180180180180181,0.5071902996601791,0.574468085106383,0.5421686746987951,0.5578512396694215,0.5608108108108109,With Behavioral
LSTM,1-day,0.5067567567567568,0.5209375965400062,0.5625,0.5421686746987951,0.5521472392638037,0.5608108108108109,With Behavioral
Logistic Regression,7-day,0.6199095022624435,0.4978165228193708,0.6211251435132032,0.9890310786106032,0.763046544428773,0.6187782805429864,With Behavioral
SVM,7-day,0.5678733031674208,0.4720759036340655,0.6150627615062761,0.8062157221206582,0.6977848101265823,0.6187782805429864,With Behavioral
Random Forest,7-day,0.5429864253393665,0.5275145248699408,0.6377649325626205,0.6051188299817185,0.6210131332082551,0.6187782805429864,With Behavioral
LSTM,7-day,0.5135746606334841,0.4930806828723167,0.5893129770992367,0.7056672760511883,0.6422628951747088,0.6187782805429864,With Behavioral
Logistic Regression,30-day,0.6926605504587156,0.5104727372408293,0.695852534562212,0.993421052631579,0.8184281842818428,0.6972477064220184,With Behavioral
SVM,30-day,0.6330275229357798,0.5352621610845295,0.7123893805309734,0.7944078947368421,0.7511664074650077,0.6972477064220184,With Behavioral
Random Forest,30-day,0.5997706422018348,0.5676740679824561,0.7411545623836127,0.6546052631578947,0.6951965065502184,0.6972477064220184,With Behavioral
LSTM,30-day,0.6823394495412844,0.4350204346092504,0.6944770857814336,0.9720394736842104,0.8101439342015079,0.6972477064220184,With Behavioral
Logistic Regression,1-day,0.5213963963963963,0.4692256204304397,0.555052790346908,0.7389558232931727,0.6339362618432386,0.5608108108108109,Without Behavioral
SVM,1-day,0.5608108108108109,0.5046519410977243,0.5608108108108109,1.0,0.7186147186147186,0.5608108108108109,Without Behavioral
Random Forest,1-day,0.5056306306306306,0.4980074142724744,0.565121412803532,0.5140562248995983,0.5383806519453207,0.5608108108108109,Without Behavioral
LSTM,1-day,0.5180180180180181,0.5131835032437442,0.559931506849315,0.6566265060240963,0.6044362292051756,0.5608108108108109,Without Behavioral
Logistic Regression,7-day,0.6187782805429864,0.4864353175399671,0.6206896551724138,0.9872029250457038,0.7621736062103035,0.6187782805429864,Without Behavioral
SVM,7-day,0.5701357466063348,0.5008761032662649,0.6171107994389902,0.8043875685557587,0.6984126984126984,0.6187782805429864,Without Behavioral
Random Forest,7-day,0.5588235294117647,0.5343931560874259,0.6530214424951267,0.6124314442413162,0.6320754716981132,0.6187782805429864,Without Behavioral
LSTM,7-day,0.6018099547511312,0.5152789154763778,0.6127167630057804,0.9689213893967094,0.7507082152974505,0.6187782805429864,Without Behavioral
Logistic Regression,30-day,0.6926605504587156,0.513369716905901,0.695852534562212,0.993421052631579,0.8184281842818428,0.6972477064220184,Without Behavioral
SVM,30-day,0.6135321100917431,0.55205841307815,0.7133858267716535,0.7450657894736842,0.7288817377312953,0.6972477064220184,Without Behavioral
Random Forest,30-day,0.5802752293577982,0.5524633672248804,0.7257462686567164,0.6398026315789473,0.6800699300699301,0.6972477064220184,Without Behavioral
LSTM,30-day,0.6823394495412844,0.4325657894736842,0.6935672514619883,0.975328947368421,0.810663021189337,0.6972477064220184,Without Behavioral
