Horizon,Feature,Importance
1-day,SMA_10_pct,0.1208027371432648
1-day,STOCH_K_14,0.11823822434144361
1-day,MACD_signal_9_pct,0.11737625302121495
1-day,RSI_14,0.11686961795613546
1-day,CCI_20,0.12345504096864972
1-day,turnover,0.12084837600950972
1-day,volatility,0.11573532417674673
1-day,daily_compound_sentiment,0.06422979226146718
1-day,sue,0.10244463412156783
7-day,SMA_10_pct,0.10091638902458931
7-day,STOCH_K_14,0.09538574288879723
7-day,MACD_signal_9_pct,0.13881785495106766
7-day,RSI_14,0.10787378139077734
7-day,CCI_20,0.10448268831074704
7-day,turnover,0.10270959029606229
7-day,volatility,0.14498000253183577
7-day,daily_compound_sentiment,0.05486301262312038
7-day,sue,0.14997093798300293
30-day,SMA_10_pct,0.09224112303541522
30-day,STOCH_K_14,0.09029208668096649
30-day,MACD_signal_9_pct,0.14752158613377742
30-day,RSI_14,0.0998909695508087
30-day,CCI_20,0.09402697604856768
30-day,turnover,0.08695779333206345
30-day,volatility,0.15985716735404384
30-day,daily_compound_sentiment,0.051634740397955736
30-day,sue,0.17757755746640141
