Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5071288634806012,0.51681424450582,0.5574318741976448,0.5394481338571424,0.5357610672123269
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5268811326747237,0.4696998873332244,0.5603266097399855,0.7287255047787373,0.6328242336965803
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5177147842545766,0.5089387045389397,0.5744007502889922,0.5426784844534273,0.5572228463694006
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5270391501082038,0.4870513204517579,0.557789527635723,0.7524345749009108,0.6405110790527289
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.513572059314813,0.4932607528977739,0.5899139473237488,0.7059954922632882,0.640654528867196
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6200913116673986,0.4981123960157611,0.6214127189818687,0.9890370637352075,0.7631658189918583
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5434316924353156,0.5301098535987476,0.6425384394970597,0.6050955512119686,0.621380411937789
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5681607040302693,0.4725913594520894,0.6158672278087002,0.8064887996407188,0.6978398257170273
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6813646219875981,0.443786986678078,0.6934181400982206,0.9720569575637953,0.8071309347528817
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6916502035989285,0.524158564270116,0.6947522524941058,0.9931951689459092,0.815579823710654
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6002919224382449,0.5576195276144261,0.7409622973498399,0.6558143668895849,0.6952461728476678
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6330815332581123,0.5330828271507988,0.7104113059707607,0.7964038846219074,0.749718291386997
