Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,LLOY,300,0.5033333333333333,0.522760180995475,0.5532994923857868,0.6411764705882353,0.5940054495912807,0.5666666666666667
LSTM,1-day,RR,299,0.4782608695652174,0.49508876272866537,0.532608695652174,0.30246913580246915,0.3858267716535433,0.5418060200668896
LSTM,1-day,SBRY,289,0.5397923875432526,0.5325937897933196,0.5863874345549738,0.6746987951807228,0.6274509803921569,0.5743944636678201
Logistic Regression,1-day,LLOY,300,0.5433333333333333,0.4691402714932127,0.5720524017467249,0.7705882352941177,0.656641604010025,0.5666666666666667
Logistic Regression,1-day,RR,299,0.5217391304347826,0.47742633144093005,0.5426008968609866,0.7469135802469136,0.6285714285714286,0.5418060200668896
Logistic Regression,1-day,SBRY,289,0.5155709342560554,0.46253305906553044,0.5663265306122449,0.6686746987951807,0.6132596685082873,0.5743944636678201
Random Forest,1-day,LLOY,300,0.5233333333333333,0.5014479638009051,0.5870967741935483,0.5352941176470588,0.56,0.5666666666666667
Random Forest,1-day,RR,299,0.5384615384615384,0.5273272055510498,0.5705882352941176,0.5987654320987654,0.5843373493975904,0.5418060200668896
Random Forest,1-day,SBRY,289,0.4913494809688581,0.49804094426486434,0.5655172413793104,0.4939759036144578,0.5273311897106109,0.5743944636678201
SVM,1-day,LLOY,300,0.54,0.4836877828054299,0.5672268907563025,0.7941176470588235,0.6617647058823529,0.5666666666666667
SVM,1-day,RR,299,0.5117056856187291,0.49076326935207715,0.536697247706422,0.7222222222222222,0.6157894736842106,0.5418060200668896
SVM,1-day,SBRY,289,0.5294117647058824,0.4867029091977667,0.5694444444444444,0.7409638554216867,0.643979057591623,0.5743944636678201
LSTM,7-day,LLOY,299,0.5317725752508361,0.48337559876021413,0.5826771653543307,0.8131868131868132,0.6788990825688074,0.6086956521739131
LSTM,7-day,RR,297,0.49158249158249157,0.47234331105298843,0.5870646766169154,0.6344086021505376,0.6098191214470284,0.6262626262626263
LSTM,7-day,SBRY,288,0.5173611111111112,0.5240633488801189,0.6,0.6703910614525139,0.633245382585752,0.6215277777777778
Logistic Regression,7-day,LLOY,299,0.6086956521739131,0.4923452615760308,0.6086956521739131,1.0,0.7567567567567568,0.6086956521739131
Logistic Regression,7-day,RR,297,0.6161616161616161,0.44241015208757145,0.6224489795918368,0.9838709677419355,0.7625,0.6262626262626263
Logistic Regression,7-day,SBRY,288,0.6354166666666666,0.559581774383681,0.6330935251798561,0.9832402234636871,0.7702407002188184,0.6215277777777778
Random Forest,7-day,LLOY,299,0.5418060200668896,0.5044613506151968,0.616580310880829,0.6538461538461539,0.6346666666666667,0.6086956521739131
Random Forest,7-day,RR,297,0.5016835016835017,0.471035551680713,0.6055555555555555,0.5860215053763441,0.5956284153005464,0.6262626262626263
Random Forest,7-day,SBRY,288,0.5868055555555556,0.6148326585003332,0.7054794520547946,0.5754189944134078,0.6338461538461538,0.6215277777777778
SVM,7-day,LLOY,299,0.5719063545150501,0.4478256785949094,0.6046511627906976,0.8571428571428571,0.7090909090909091,0.6086956521739131
SVM,7-day,RR,297,0.5353535353535354,0.41175046013755695,0.6016949152542372,0.7634408602150538,0.6729857819905213,0.6262626262626263
SVM,7-day,SBRY,288,0.5972222222222222,0.558197939623802,0.6412556053811659,0.7988826815642458,0.7114427860696517,0.6215277777777778
LSTM,30-day,LLOY,295,0.7830508474576271,0.40588628762541806,0.782312925170068,1.0,0.8778625954198473,0.7796610169491526
LSTM,30-day,RR,292,0.6575342465753424,0.5509391645640594,0.6923076923076923,0.9219512195121952,0.7907949790794979,0.702054794520548
LSTM,30-day,SBRY,285,0.6035087719298246,0.3745355078447564,0.6056338028169014,0.9942196531791907,0.7527352297592997,0.6070175438596491
Logistic Regression,30-day,LLOY,295,0.7796610169491526,0.47879598662207357,0.7796610169491526,1.0,0.8761904761904762,0.7796610169491526
Logistic Regression,30-day,RR,292,0.6917808219178082,0.49262685730305583,0.698961937716263,0.9853658536585366,0.8178137651821862,0.702054794520548
Logistic Regression,30-day,SBRY,285,0.6035087719298246,0.6010528488852188,0.6056338028169014,0.9942196531791907,0.7527352297592997,0.6070175438596491
Random Forest,30-day,LLOY,295,0.5627118644067797,0.4721739130434783,0.7671957671957672,0.6304347826086957,0.6921241050119332,0.7796610169491526
Random Forest,30-day,RR,292,0.589041095890411,0.5100364451920381,0.7202072538860104,0.6780487804878049,0.6984924623115578,0.702054794520548
Random Forest,30-day,SBRY,285,0.6491228070175439,0.6906482246077621,0.7354838709677419,0.6589595375722543,0.6951219512195121,0.6070175438596491
SVM,30-day,LLOY,295,0.6711864406779661,0.5298327759197323,0.7782426778242678,0.808695652173913,0.7931769722814499,0.7796610169491526
SVM,30-day,RR,292,0.571917808219178,0.4626857303055789,0.6801801801801802,0.7365853658536585,0.7072599531615925,0.702054794520548
SVM,30-day,SBRY,285,0.656140350877193,0.606729975227085,0.6728110599078341,0.8439306358381503,0.7487179487179487,0.6070175438596491
