Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.527027027027027,0.4700082380805273,0.5601851851851852,0.7289156626506024,0.6335078534031413,0.5608108108108109
SVM,1-day,0.527027027027027,0.48809082483781285,0.5580357142857143,0.7530120481927711,0.6410256410256411,0.5608108108108109
Random Forest,1-day,0.5180180180180181,0.5071902996601791,0.574468085106383,0.5421686746987951,0.5578512396694215,0.5608108108108109
LSTM,1-day,0.5067567567567568,0.5209375965400062,0.5625,0.5421686746987951,0.5521472392638037,0.5608108108108109
Logistic Regression,7-day,0.6199095022624435,0.49781652281937083,0.6211251435132032,0.9890310786106032,0.763046544428773,0.6187782805429864
SVM,7-day,0.5678733031674208,0.4720759036340655,0.6150627615062761,0.8062157221206582,0.6977848101265823,0.6187782805429864
Random Forest,7-day,0.5429864253393665,0.5275145248699408,0.6377649325626205,0.6051188299817185,0.6210131332082551,0.6187782805429864
LSTM,7-day,0.5135746606334841,0.49308068287231677,0.5893129770992367,0.7056672760511883,0.6422628951747088,0.6187782805429864
Logistic Regression,30-day,0.6926605504587156,0.5104727372408293,0.695852534562212,0.993421052631579,0.8184281842818428,0.6972477064220184
SVM,30-day,0.6330275229357798,0.5352621610845295,0.7123893805309734,0.7944078947368421,0.7511664074650077,0.6972477064220184
Random Forest,30-day,0.5997706422018348,0.5676740679824561,0.7411545623836127,0.6546052631578947,0.6951965065502184,0.6972477064220184
LSTM,30-day,0.6823394495412844,0.43502043460925044,0.6944770857814336,0.9720394736842105,0.8101439342015079,0.6972477064220184
