Horizon,Feature,Importance
1-day,SMA_10_pct,0.14482280885833598
1-day,STOCH_K_14,0.14176179955486123
1-day,MACD_signal_9_pct,0.14265171443799707
1-day,RSI_14,0.14104559563985622
1-day,CCI_20,0.14633445825528762
1-day,turnover,0.1422973966807718
1-day,volatility,0.14108622657289013
7-day,SMA_10_pct,0.13273171547740473
7-day,STOCH_K_14,0.12478441996441278
7-day,MACD_signal_9_pct,0.16294554806902542
7-day,RSI_14,0.13705380063715666
7-day,CCI_20,0.1357101684841725
7-day,turnover,0.1359610597059198
7-day,volatility,0.17081328766190795
30-day,SMA_10_pct,0.12770327242532675
30-day,STOCH_K_14,0.12566764494402533
30-day,MACD_signal_9_pct,0.17230909386918933
30-day,RSI_14,0.13405592385119736
30-day,CCI_20,0.1292083552772568
30-day,turnover,0.12373053662634977
30-day,volatility,0.18732517300665483
