Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5181293791042549,0.5103949461201285,0.5527456902515948,0.6540541249967189,0.5950242302033834
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5215147377070048,0.4696324536920001,0.5552284832543463,0.7388059135598312,0.6338980930030467
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5057663054729401,0.4981798819314502,0.5658762334137163,0.5143537111408598,0.5385670932840744
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,888,0.5609557168004587,0.505117856110498,0.5609557168004587,1.0,0.7186315138685102
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6019936685697554,0.5153359317584677,0.6127123663388131,0.9695340501792115,0.750600107232685
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.6189414115138753,0.4869066893526468,0.6209267673116725,0.9872055619037057,0.7622724922231034
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5589590394844017,0.533656750445988,0.6537599178830772,0.6126451190426682,0.6319947741456047
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,884,0.5707735802844498,0.5034054944659551,0.6186292912635624,0.804740692918743,0.6991168521982832
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6814042691280481,0.45397901844101574,0.6925292172392976,0.975609756097561,0.8077718860469951
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6916502035989285,0.524793138680163,0.6947522524941058,0.9931951689459092,0.815579823710654
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.5805074562421844,0.5423607188576834,0.7247236111990211,0.6414809865615619,0.6794014806043237
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,872,0.6134760223055898,0.5478476932709736,0.7106466882319831,0.7450033407094563,0.7266465817634401
