Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,LLOY,300,0.5666666666666667,0.5417647058823529,0.5909090909090909,0.7647058823529411,0.6666666666666666,0.5666666666666667
LSTM,1-day,RR,299,0.45484949832775917,0.4577813823555916,0.496551724137931,0.4444444444444444,0.46905537459283386,0.5418060200668896
LSTM,1-day,SBRY,289,0.532871972318339,0.5316387501224409,0.5707762557077626,0.7530120481927711,0.6493506493506493,0.5743944636678201
Logistic Regression,1-day,LLOY,300,0.53,0.4718099547511313,0.5644444444444444,0.7470588235294118,0.6430379746835443,0.5666666666666667
Logistic Regression,1-day,RR,299,0.5016722408026756,0.4777867892223123,0.5291479820627802,0.7283950617283951,0.612987012987013,0.5418060200668896
Logistic Regression,1-day,SBRY,289,0.532871972318339,0.45930061710255654,0.5720930232558139,0.7409638554216867,0.6456692913385826,0.5743944636678201
Random Forest,1-day,LLOY,300,0.48333333333333334,0.4906787330316742,0.5483870967741935,0.5,0.5230769230769231,0.5666666666666667
Random Forest,1-day,RR,299,0.5183946488294314,0.5164233576642335,0.5576923076923077,0.5370370370370371,0.5471698113207547,0.5418060200668896
Random Forest,1-day,SBRY,289,0.5155709342560554,0.48743755509844255,0.5915492957746479,0.5060240963855421,0.5454545454545454,0.5743944636678201
SVM,1-day,LLOY,300,0.5666666666666667,0.4865384615384616,0.5666666666666667,1.0,0.723404255319149,0.5666666666666667
SVM,1-day,RR,299,0.5418060200668896,0.5273947913850591,0.5418060200668896,1.0,0.702819956616052,0.5418060200668896
SVM,1-day,SBRY,289,0.5743944636678201,0.5014203154079733,0.5743944636678201,1.0,0.7296703296703296,0.5743944636678201
LSTM,7-day,LLOY,299,0.6086956521739131,0.5935005165774396,0.6086956521739131,1.0,0.7567567567567568,0.6086956521739131
LSTM,7-day,RR,297,0.5757575757575758,0.461348445219413,0.6079136690647482,0.9086021505376344,0.728448275862069,0.6262626262626263
LSTM,7-day,SBRY,288,0.6215277777777778,0.49115883347855055,0.6215277777777778,1.0,0.7665952890792291,0.6215277777777778
Logistic Regression,7-day,LLOY,299,0.6053511705685619,0.47849159387620926,0.6073825503355704,0.9945054945054945,0.7541666666666667,0.6086956521739131
Logistic Regression,7-day,RR,297,0.6195286195286195,0.4429429429429429,0.6245733788395904,0.9838709677419355,0.7640918580375783,0.6262626262626263
Logistic Regression,7-day,SBRY,288,0.6319444444444444,0.5392855312387884,0.6308243727598566,0.9832402234636871,0.7685589519650655,0.6215277777777778
Random Forest,7-day,LLOY,299,0.5618729096989966,0.5039447731755424,0.6378378378378379,0.6483516483516484,0.6430517711171662,0.6086956521739131
Random Forest,7-day,RR,297,0.5420875420875421,0.5030272207691562,0.6506024096385542,0.5806451612903226,0.6136363636363636,0.6262626262626263
Random Forest,7-day,SBRY,288,0.5729166666666666,0.5939982573932654,0.6728395061728395,0.6089385474860335,0.6392961876832844,0.6215277777777778
SVM,7-day,LLOY,299,0.5484949832775919,0.460927960927961,0.5928853754940712,0.8241758241758241,0.6896551724137931,0.6086956521739131
SVM,7-day,RR,297,0.5353535353535354,0.42143756659885684,0.6008403361344538,0.7688172043010753,0.6745283018867925,0.6262626262626263
SVM,7-day,SBRY,288,0.6284722222222222,0.6278509558710471,0.6621621621621622,0.8212290502793296,0.7331670822942643,0.6215277777777778
LSTM,30-day,LLOY,295,0.7796610169491526,0.42729096989966553,0.7796610169491526,1.0,0.8761904761904762,0.7796610169491526
LSTM,30-day,RR,292,0.6575342465753424,0.5455564900476592,0.6909090909090909,0.926829268292683,0.7916666666666666,0.702054794520548
LSTM,30-day,SBRY,285,0.6070175438596491,0.3890895953757225,0.6070175438596491,1.0,0.7554585152838428,0.6070175438596491
Logistic Regression,30-day,LLOY,295,0.7796610169491526,0.48374581939799327,0.7796610169491526,1.0,0.8761904761904762,0.7796610169491526
Logistic Regression,30-day,RR,292,0.6917808219178082,0.4815811606391926,0.698961937716263,0.9853658536585366,0.8178137651821862,0.702054794520548
Logistic Regression,30-day,SBRY,285,0.6035087719298246,0.609052436003303,0.6056338028169014,0.9942196531791907,0.7527352297592997,0.6070175438596491
Random Forest,30-day,LLOY,295,0.5830508474576271,0.48207357859531774,0.7923497267759563,0.6304347826086957,0.7021791767554479,0.7796610169491526
Random Forest,30-day,RR,292,0.547945205479452,0.4965517241379309,0.6972972972972973,0.6292682926829268,0.6615384615384615,0.702054794520548
Random Forest,30-day,SBRY,285,0.6105263157894737,0.6484568538398018,0.6845238095238095,0.6647398843930635,0.6744868035190615,0.6070175438596491
SVM,30-day,LLOY,295,0.6474576271186441,0.5546153846153846,0.7763157894736842,0.7695652173913043,0.7729257641921398,0.7796610169491526
SVM,30-day,RR,292,0.571917808219178,0.4539669189795346,0.6923076923076923,0.7024390243902439,0.6973365617433414,0.702054794520548
SVM,30-day,SBRY,285,0.6210526315789474,0.6349607762180016,0.6633165829145728,0.7630057803468208,0.7096774193548387,0.6070175438596491
