Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Feature_Set
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.4857887546735691,0.4925435423987871,0.4572158365261813,0.2114024971167828,0.2619304217949513,With Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5251725625539257,0.5646975692999489,0.6322510822510823,0.1356825285396714,0.2114468215403957,With Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.4737525165372447,0.4945063363915081,0.4456268384480604,0.3031876960448389,0.3585572938566867,With Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5076574633304572,0.4886469564112135,0.4166666666666667,0.0044167544167544,0.0086870401810979,With Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4703730241445196,0.46181366065599,0.5041736694677872,0.355136926565498,0.3906136282428192,With Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4835381564472237,0.5385533840367637,0.5853909465020576,0.1411863604887971,0.2087119309620565,With Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4990048346939957,0.5127766058447696,0.5223915812633896,0.3370984273994308,0.4060584904378466,With Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4912316889583695,0.513344155883786,0.5813953488372093,0.2207527037914042,0.2901134379633199,With Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5117056856187291,0.7078053500104767,0.5714285714285715,0.0367803837953091,0.0680335507921714,With Behavioral
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5328874024526198,0.6197587885729569,0.7294949494949495,0.1047737502961383,0.1819277854352196,With Behavioral
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.4749163879598662,0.497534347905105,0.4511204993132704,0.2537948015026907,0.3239614076873953,With Behavioral
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5206243032329989,0.498145675525582,0.5662794612794613,0.2180212881172369,0.3141444865218131,With Behavioral
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5000359505320678,0.5023208606395738,0.481996891996892,0.3129641701070272,0.3773011142170809,Without Behavioral
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5164150129421916,0.5540181835187704,0.5695415695415695,0.1241998027712313,0.193082103082103,Without Behavioral
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.4934641932700604,0.5201674485506355,0.4759974747474747,0.3507566007566007,0.4015660851035596,Without Behavioral
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5120326430831176,0.4976724441354455,0.7420634920634921,0.0335511764083192,0.0610545054648228,Without Behavioral
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.5000253314805164,0.5184129284208017,0.6160506160506161,0.1085582676600354,0.1833943833943834,Without Behavioral
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4835236813154999,0.5407091073229487,0.5277777777777778,0.0630078632945331,0.1114583845234,Without Behavioral
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4593791616003705,0.4770185628325549,0.4770197496553994,0.3204471909679745,0.3821688249169165,Without Behavioral
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4681908980371721,0.5261179275273316,0.471607158467898,0.0908108719862183,0.1510940994087061,Without Behavioral
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5273132664437012,0.7008983171672352,0.8833333333333333,0.0674560869123768,0.1247456617278082,Without Behavioral
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5195094760312151,0.6394410110733362,0.6847890671420083,0.0747283988222154,0.132986832986833,Without Behavioral
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.4704570791527313,0.4538621804457259,0.4591694454168502,0.3312349815548109,0.3848006017422449,Without Behavioral
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5261984392419174,0.5270584856591108,0.6043351791936287,0.1993138051240396,0.2986183777080184,Without Behavioral
