Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual,Feature_Set
LSTM,1-day,ASC,305,0.4688524590163934,0.4714544045466288,0.4444444444444444,0.4081632653061224,0.425531914893617,0.4819672131147541,With Behavioral
LSTM,1-day,CPI,305,0.4918032786885246,0.4662853702588801,0.4827586206896552,0.0909090909090909,0.1530054644808743,0.5049180327868853,With Behavioral
LSTM,1-day,CRST,304,0.4967105263157895,0.5398908523908524,0.4444444444444444,0.1351351351351351,0.2072538860103626,0.4868421052631579,With Behavioral
Logistic Regression,1-day,ASC,305,0.5409836065573771,0.5351760957547577,0.8181818181818182,0.0612244897959183,0.1139240506329113,0.4819672131147541,With Behavioral
Logistic Regression,1-day,CPI,305,0.5016393442622951,0.5959834867119636,0.525,0.1363636363636363,0.2164948453608247,0.5049180327868853,With Behavioral
Logistic Regression,1-day,CRST,304,0.5328947368421053,0.5629331254331255,0.5535714285714286,0.2094594594594594,0.3039215686274509,0.4868421052631579,With Behavioral
Random Forest,1-day,ASC,305,0.4852459016393443,0.4875785757340911,0.4404761904761904,0.2517006802721088,0.3203463203463203,0.4819672131147541,With Behavioral
Random Forest,1-day,CPI,305,0.4524590163934426,0.4772727272727273,0.4329896907216495,0.2727272727272727,0.3346613545816733,0.5049180327868853,With Behavioral
Random Forest,1-day,CRST,304,0.4835526315789473,0.5186677061677061,0.4634146341463415,0.3851351351351351,0.4206642066420664,0.4868421052631579,With Behavioral
SVM,1-day,ASC,305,0.5180327868852459,0.4398518901231379,0.0,0.0,0.0,0.4819672131147541,With Behavioral
SVM,1-day,CPI,305,0.4983606557377049,0.4949256041971274,1.0,0.0064935064935064,0.0129032258064516,0.5049180327868853,With Behavioral
SVM,1-day,CRST,304,0.506578947368421,0.531163374913375,0.25,0.0067567567567567,0.0131578947368421,0.4868421052631579,With Behavioral
LSTM,7-day,ASC,303,0.4158415841584158,0.4485609308022046,0.46,0.5714285714285714,0.5096952908587258,0.5313531353135313,With Behavioral
LSTM,7-day,CPI,304,0.4309210526315789,0.354985754985755,0.4642857142857143,0.1538461538461538,0.2311111111111111,0.555921052631579,With Behavioral
LSTM,7-day,CRST,303,0.5643564356435643,0.5818942961800104,0.5882352941176471,0.3401360544217687,0.4310344827586206,0.4851485148514851,With Behavioral
Logistic Regression,7-day,ASC,303,0.4719471947194719,0.4802292012947249,0.5061728395061729,0.2546583850931677,0.3388429752066115,0.5313531353135313,With Behavioral
Logistic Regression,7-day,CPI,304,0.4638157894736842,0.5872014025860179,0.75,0.0532544378698224,0.0994475138121546,0.555921052631579,With Behavioral
Logistic Regression,7-day,CRST,303,0.5148514851485149,0.5482295482295483,0.5,0.1156462585034013,0.1878453038674033,0.4851485148514851,With Behavioral
Random Forest,7-day,ASC,303,0.5412541254125413,0.5434782608695653,0.5916666666666667,0.4409937888198758,0.505338078291815,0.5313531353135313,With Behavioral
Random Forest,7-day,CPI,304,0.4046052631578947,0.418255533640149,0.4210526315789473,0.1893491124260355,0.2612244897959184,0.555921052631579,With Behavioral
Random Forest,7-day,CRST,303,0.5511551155115512,0.5765960230245945,0.5544554455445545,0.3809523809523809,0.4516129032258064,0.4851485148514851,With Behavioral
SVM,7-day,ASC,303,0.4653465346534653,0.4674569154054763,0.4961240310077519,0.3975155279503105,0.4413793103448276,0.5313531353135313,With Behavioral
SVM,7-day,CPI,304,0.4703947368421052,0.4726714880561034,0.6666666666666666,0.0946745562130177,0.1658031088082901,0.555921052631579,With Behavioral
SVM,7-day,CRST,303,0.5379537953795379,0.5999040641897785,0.5813953488372093,0.1700680272108843,0.2631578947368421,0.4851485148514851,With Behavioral
LSTM,30-day,ASC,299,0.5050167224080268,0.7497314715359829,0.0,0.0,0.0,0.4916387959866221,With Behavioral
LSTM,30-day,CPI,299,0.4581939799331103,0.7859414758269719,1.0,0.0357142857142857,0.0689655172413793,0.5618729096989966,With Behavioral
LSTM,30-day,CRST,299,0.5719063545150501,0.5877431026684758,0.7142857142857143,0.0746268656716417,0.1351351351351351,0.4481605351170568,With Behavioral
Logistic Regression,30-day,ASC,299,0.5652173913043478,0.6467060508413892,0.84,0.1428571428571428,0.2441860465116279,0.4916387959866221,With Behavioral
Logistic Regression,30-day,CPI,299,0.4548494983277591,0.6169574700109051,0.6666666666666666,0.0595238095238095,0.1092896174863388,0.5618729096989966,With Behavioral
Logistic Regression,30-day,CRST,299,0.5785953177257525,0.5956128448665762,0.6818181818181818,0.1119402985074626,0.1923076923076923,0.4481605351170568,With Behavioral
Random Forest,30-day,ASC,299,0.4749163879598662,0.5330961331901182,0.4285714285714285,0.2040816326530612,0.2764976958525346,0.4916387959866221,With Behavioral
Random Forest,30-day,CPI,299,0.4481605351170568,0.4676254089422028,0.5151515151515151,0.3035714285714285,0.3820224719101123,0.5618729096989966,With Behavioral
Random Forest,30-day,CRST,299,0.5016722408026756,0.4918815015829941,0.4096385542168674,0.2537313432835821,0.3133640552995391,0.4481605351170568,With Behavioral
SVM,30-day,ASC,299,0.5886287625418061,0.629139813820265,0.74,0.2517006802721088,0.3756345177664975,0.4916387959866221,With Behavioral
SVM,30-day,CPI,299,0.431438127090301,0.4090330788804071,0.4861111111111111,0.2083333333333333,0.2916666666666667,0.5618729096989966,With Behavioral
SVM,30-day,CRST,299,0.5418060200668896,0.4562641338760742,0.4727272727272727,0.1940298507462686,0.2751322751322751,0.4481605351170568,With Behavioral
LSTM,1-day,ASC,305,0.4983606557377049,0.5188581761818651,0.47,0.3197278911564626,0.3805668016194332,0.4819672131147541,Without Behavioral
LSTM,1-day,CPI,305,0.4688524590163934,0.4737679539004042,0.4487179487179487,0.2272727272727272,0.3017241379310345,0.5049180327868853,Without Behavioral
LSTM,1-day,CRST,304,0.5328947368421053,0.5143364518364519,0.5272727272727272,0.3918918918918919,0.4496124031007752,0.4868421052631579,Without Behavioral
Logistic Regression,1-day,ASC,305,0.5278688524590164,0.511754068716094,0.6666666666666666,0.0408163265306122,0.0769230769230769,0.4819672131147541,Without Behavioral
Logistic Regression,1-day,CPI,305,0.5016393442622951,0.5895329835727188,0.5227272727272727,0.1493506493506493,0.2323232323232323,0.5049180327868853,Without Behavioral
Logistic Regression,1-day,CRST,304,0.5197368421052632,0.5607674982674983,0.5192307692307693,0.1824324324324324,0.27,0.4868421052631579,Without Behavioral
Random Forest,1-day,ASC,305,0.5245901639344263,0.5451218462068372,0.5104166666666666,0.3333333333333333,0.4032921810699588,0.4819672131147541,Without Behavioral
Random Forest,1-day,CPI,305,0.4360655737704918,0.4782833060978756,0.41,0.2662337662337662,0.3228346456692913,0.5049180327868853,Without Behavioral
Random Forest,1-day,CRST,304,0.5197368421052632,0.5370971933471934,0.5075757575757576,0.4527027027027027,0.4785714285714286,0.4868421052631579,Without Behavioral
SVM,1-day,ASC,305,0.5245901639344263,0.4671058296736416,1.0,0.0136054421768707,0.0268456375838926,0.4819672131147541,Without Behavioral
SVM,1-day,CPI,305,0.5016393442622951,0.4834652102864023,0.75,0.0194805194805194,0.0379746835443038,0.5049180327868853,Without Behavioral
SVM,1-day,CRST,304,0.5098684210526315,0.5424462924462925,0.4761904761904761,0.0675675675675675,0.1183431952662721,0.4868421052631579,Without Behavioral
LSTM,7-day,ASC,303,0.4587458745874587,0.5076546233925291,0.4285714285714285,0.0559006211180124,0.0989010989010989,0.5313531353135313,Without Behavioral
LSTM,7-day,CPI,304,0.4769736842105263,0.4376068376068375,0.6923076923076923,0.1065088757396449,0.1846153846153846,0.555921052631579,Without Behavioral
LSTM,7-day,CRST,303,0.5643564356435643,0.6099773242630385,0.7272727272727273,0.1632653061224489,0.2666666666666666,0.4851485148514851,Without Behavioral
Logistic Regression,7-day,ASC,303,0.4587458745874587,0.4608520689353512,0.3333333333333333,0.0186335403726708,0.0352941176470588,0.5313531353135313,Without Behavioral
Logistic Regression,7-day,CPI,304,0.4769736842105263,0.5843085689239536,0.75,0.0887573964497041,0.1587301587301587,0.555921052631579,Without Behavioral
Logistic Regression,7-day,CRST,303,0.5148514851485149,0.5769666841095413,0.5,0.0816326530612244,0.1403508771929824,0.4851485148514851,Without Behavioral
Random Forest,7-day,ASC,303,0.462046204620462,0.4588618668532936,0.4897959183673469,0.2981366459627329,0.3706563706563706,0.5313531353135313,Without Behavioral
Random Forest,7-day,CPI,304,0.4243421052631579,0.4431514354591278,0.4716981132075472,0.2958579881656805,0.3636363636363636,0.555921052631579,Without Behavioral
Random Forest,7-day,CRST,303,0.4917491749174917,0.5290423861852434,0.4695652173913043,0.3673469387755102,0.4122137404580153,0.4851485148514851,Without Behavioral
SVM,7-day,ASC,303,0.4653465346534653,0.5261350712973494,0.4761904761904761,0.062111801242236,0.1098901098901098,0.5313531353135313,Without Behavioral
SVM,7-day,CPI,304,0.4144736842105263,0.4229015998246768,0.3902439024390244,0.0946745562130177,0.1523809523809524,0.555921052631579,Without Behavioral
SVM,7-day,CRST,303,0.5247524752475248,0.6293171114599686,0.5483870967741935,0.1156462585034013,0.1910112359550561,0.4851485148514851,Without Behavioral
LSTM,30-day,ASC,299,0.5351170568561873,0.701172574292875,0.75,0.0816326530612244,0.147239263803681,0.4916387959866221,Without Behavioral
LSTM,30-day,CPI,299,0.4648829431438127,0.7711741185023628,0.9,0.0535714285714285,0.1011235955056179,0.5618729096989966,Without Behavioral
LSTM,30-day,CRST,299,0.5819397993311036,0.6303482587064677,1.0,0.0671641791044776,0.1258741258741259,0.4481605351170568,Without Behavioral
Logistic Regression,30-day,ASC,299,0.5183946488294314,0.699516648764769,0.6666666666666666,0.0408163265306122,0.0769230769230769,0.4916387959866221,Without Behavioral
Logistic Regression,30-day,CPI,299,0.4615384615384615,0.6157760814249365,0.7058823529411765,0.0714285714285714,0.1297297297297297,0.5618729096989966,Without Behavioral
Logistic Regression,30-day,CRST,299,0.5785953177257525,0.603030303030303,0.6818181818181818,0.1119402985074626,0.1923076923076923,0.4481605351170568,Without Behavioral
Random Forest,30-day,ASC,299,0.4849498327759197,0.4931301467955604,0.4678899082568807,0.3469387755102041,0.3984375,0.4916387959866221,Without Behavioral
Random Forest,30-day,CPI,299,0.4080267558528428,0.3879498364231188,0.4628099173553719,0.3333333333333333,0.3875432525951557,0.5618729096989966,Without Behavioral
Random Forest,30-day,CRST,299,0.5183946488294314,0.4805065581184985,0.4468085106382978,0.3134328358208955,0.3684210526315789,0.4481605351170568,Without Behavioral
SVM,30-day,ASC,299,0.5986622073578596,0.6942803437164339,0.8292682926829268,0.2312925170068027,0.3617021276595745,0.4916387959866221,Without Behavioral
SVM,30-day,CPI,299,0.4180602006688963,0.4044211195928752,0.453125,0.1726190476190476,0.25,0.5618729096989966,Without Behavioral
SVM,30-day,CRST,299,0.5618729096989966,0.4824739936680234,0.5306122448979592,0.1940298507462686,0.2841530054644808,0.4481605351170568,Without Behavioral
