Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy,Feature_Set
Logistic Regression,1-day,0.5251641137855579,0.5668127499580908,0.5700934579439252,0.1358574610244989,0.2194244604316546,0.5087527352297593,With Behavioral
SVM,1-day,0.5076586433260394,0.4906003783796728,0.4,0.0044543429844097,0.0088105726872246,0.5087527352297593,With Behavioral
Random Forest,1-day,0.4737417943107221,0.4938357640635102,0.4473684210526316,0.3028953229398664,0.3612217795484728,0.5087527352297593,With Behavioral
LSTM,1-day,0.4857768052516411,0.4892353377876763,0.4497607655502392,0.2093541202672605,0.2857142857142857,0.5087527352297593,With Behavioral
Logistic Regression,7-day,0.4835164835164835,0.5315119032056589,0.5275590551181102,0.140461215932914,0.2218543046357615,0.4758241758241758,With Behavioral
SVM,7-day,0.4912087912087912,0.5062094208897991,0.5357142857142857,0.220125786163522,0.3120356612184249,0.4758241758241758,With Behavioral
Random Forest,7-day,0.4989010989010989,0.5079015788632766,0.5353535353535354,0.3333333333333333,0.4108527131782946,0.4758241758241758,With Behavioral
LSTM,7-day,0.4703296703296703,0.4538517776131616,0.4926686217008797,0.3522012578616352,0.4107579462102689,0.4758241758241758,With Behavioral
Logistic Regression,30-day,0.5328874024526199,0.6088281498568247,0.7419354838709677,0.1024498886414253,0.1800391389432485,0.4994425863991081,With Behavioral
SVM,30-day,0.5206243032329989,0.514573556315622,0.5536723163841808,0.2182628062360802,0.3130990415335463,0.4994425863991081,With Behavioral
Random Forest,30-day,0.4749163879598662,0.4946209831371301,0.4563492063492063,0.2561247216035635,0.3281027104136947,0.4994425863991081,With Behavioral
LSTM,30-day,0.5117056856187291,0.6842139277760102,0.7619047619047619,0.0356347438752783,0.0680851063829787,0.4994425863991081,With Behavioral
Logistic Regression,1-day,0.5164113785557987,0.5594223722968604,0.5333333333333333,0.1247216035634743,0.2021660649819494,0.5087527352297593,Without Behavioral
SVM,1-day,0.5120350109409191,0.5010369518883062,0.5555555555555556,0.0334075723830735,0.0630252100840336,0.5087527352297593,Without Behavioral
Random Forest,1-day,0.4934354485776805,0.5199918576526091,0.4786585365853658,0.3496659242761692,0.4041184041184041,0.5087527352297593,Without Behavioral
LSTM,1-day,0.5,0.5005867279737528,0.4861111111111111,0.311804008908686,0.3799185888738127,0.5087527352297593,Without Behavioral
Logistic Regression,7-day,0.4835164835164835,0.5402559298153877,0.5660377358490566,0.0628930817610062,0.1132075471698113,0.4758241758241758,Without Behavioral
SVM,7-day,0.4681318681318681,0.5234868621726436,0.4623655913978494,0.090146750524109,0.1508771929824561,0.4758241758241758,Without Behavioral
Random Forest,7-day,0.4593406593406593,0.4755472279111653,0.4764890282131661,0.3186582809224318,0.3819095477386934,0.4758241758241758,Without Behavioral
LSTM,7-day,0.5,0.5165269849569819,0.6375,0.1069182389937107,0.1831238779174147,0.4758241758241758,Without Behavioral
Logistic Regression,30-day,0.5195094760312151,0.6420120108176901,0.6875,0.0734966592427616,0.1327967806841046,0.4994425863991081,Without Behavioral
SVM,30-day,0.5261984392419174,0.5346354995227489,0.577922077922078,0.198218262806236,0.2951907131011608,0.4994425863991081,Without Behavioral
Random Forest,30-day,0.4704570791527313,0.4593889198218263,0.4598765432098765,0.33184855233853,0.3855109961190168,0.4994425863991081,Without Behavioral
LSTM,30-day,0.5273132664437012,0.6927696468342348,0.8571428571428571,0.066815144766147,0.1239669421487603,0.4994425863991081,Without Behavioral
