Horizon,Feature,Importance
1-day,SMA_10_pct,0.12426371518650678
1-day,STOCH_K_14,0.12175745004055727
1-day,MACD_signal_9_pct,0.12367529170896255
1-day,RSI_14,0.13163643173954082
1-day,CCI_20,0.12409827408047158
1-day,turnover,0.12918369667566923
1-day,volatility,0.12292084427059433
1-day,daily_compound_sentiment,0.025434764240722135
1-day,sue,0.09702953205697523
7-day,SMA_10_pct,0.10671742049474253
7-day,STOCH_K_14,0.10505504809681834
7-day,MACD_signal_9_pct,0.1385570218443912
7-day,RSI_14,0.11465246037967551
7-day,CCI_20,0.10504314231330018
7-day,turnover,0.11392222891459425
7-day,volatility,0.13724908892137835
7-day,daily_compound_sentiment,0.025182607500423587
7-day,sue,0.15362098153467613
30-day,SMA_10_pct,0.07945270194600226
30-day,STOCH_K_14,0.07900343280340004
30-day,MACD_signal_9_pct,0.1529107542229432
30-day,RSI_14,0.09280485020537124
30-day,CCI_20,0.08131952863542723
30-day,turnover,0.11899393181340123
30-day,volatility,0.15155306515650285
30-day,daily_compound_sentiment,0.020159121410674014
30-day,sue,0.223802613806278
