Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.48578875467356913,0.49254354239878717,0.45721583652618136,0.21140249711678286,0.26193042179495135
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5251725625539257,0.5646975692999489,0.6322510822510823,0.13568252853967142,0.2114468215403957
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.4737525165372447,0.49450633639150815,0.44562683844806045,0.3031876960448389,0.3585572938566867
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5076574633304572,0.4886469564112135,0.4166666666666667,0.004416754416754417,0.008687040181097906
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.47037302414451965,0.46181366065599,0.5041736694677872,0.355136926565498,0.3906136282428192
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4835381564472237,0.5385533840367637,0.5853909465020576,0.14118636048879718,0.2087119309620565
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.49900483469399576,0.5127766058447696,0.5223915812633896,0.3370984273994308,0.4060584904378466
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4912316889583695,0.513344155883786,0.5813953488372093,0.22075270379140421,0.29011343796331995
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5117056856187291,0.7078053500104767,0.5714285714285715,0.036780383795309166,0.06803355079217148
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5328874024526198,0.6197587885729569,0.7294949494949495,0.10477375029613835,0.18192778543521967
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.4749163879598662,0.49753434790510503,0.4511204993132704,0.2537948015026907,0.32396140768739534
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5206243032329989,0.49814567552558203,0.5662794612794613,0.21802128811723695,0.3141444865218131
