Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,305,0.46885245901639344,0.4714544045466288,0.4444444444444444,0.40816326530612246,0.425531914893617,0.4819672131147541
LSTM,1-day,CPI,305,0.4918032786885246,0.46628537025888017,0.4827586206896552,0.09090909090909091,0.15300546448087432,0.5049180327868853
LSTM,1-day,CRST,304,0.4967105263157895,0.5398908523908524,0.4444444444444444,0.13513513513513514,0.20725388601036268,0.4868421052631579
Logistic Regression,1-day,ASC,305,0.5409836065573771,0.5351760957547577,0.8181818181818182,0.061224489795918366,0.11392405063291139,0.4819672131147541
Logistic Regression,1-day,CPI,305,0.5016393442622951,0.5959834867119636,0.525,0.13636363636363635,0.21649484536082475,0.5049180327868853
Logistic Regression,1-day,CRST,304,0.5328947368421053,0.5629331254331255,0.5535714285714286,0.20945945945945946,0.30392156862745096,0.4868421052631579
Random Forest,1-day,ASC,305,0.4852459016393443,0.4875785757340911,0.44047619047619047,0.25170068027210885,0.3203463203463203,0.4819672131147541
Random Forest,1-day,CPI,305,0.4524590163934426,0.4772727272727273,0.4329896907216495,0.2727272727272727,0.3346613545816733,0.5049180327868853
Random Forest,1-day,CRST,304,0.48355263157894735,0.5186677061677061,0.4634146341463415,0.38513513513513514,0.42066420664206644,0.4868421052631579
SVM,1-day,ASC,305,0.5180327868852459,0.4398518901231379,0.0,0.0,0.0,0.4819672131147541
SVM,1-day,CPI,305,0.49836065573770494,0.4949256041971274,1.0,0.006493506493506494,0.012903225806451613,0.5049180327868853
SVM,1-day,CRST,304,0.506578947368421,0.531163374913375,0.25,0.006756756756756757,0.013157894736842105,0.4868421052631579
LSTM,7-day,ASC,303,0.4158415841584158,0.4485609308022046,0.46,0.5714285714285714,0.5096952908587258,0.5313531353135313
LSTM,7-day,CPI,304,0.4309210526315789,0.354985754985755,0.4642857142857143,0.15384615384615385,0.2311111111111111,0.555921052631579
LSTM,7-day,CRST,303,0.5643564356435643,0.5818942961800104,0.5882352941176471,0.3401360544217687,0.43103448275862066,0.48514851485148514
Logistic Regression,7-day,ASC,303,0.47194719471947194,0.4802292012947249,0.5061728395061729,0.2546583850931677,0.33884297520661155,0.5313531353135313
Logistic Regression,7-day,CPI,304,0.46381578947368424,0.5872014025860179,0.75,0.05325443786982249,0.09944751381215469,0.555921052631579
Logistic Regression,7-day,CRST,303,0.5148514851485149,0.5482295482295483,0.5,0.11564625850340136,0.1878453038674033,0.48514851485148514
Random Forest,7-day,ASC,303,0.5412541254125413,0.5434782608695653,0.5916666666666667,0.4409937888198758,0.505338078291815,0.5313531353135313
Random Forest,7-day,CPI,304,0.40460526315789475,0.418255533640149,0.42105263157894735,0.1893491124260355,0.2612244897959184,0.555921052631579
Random Forest,7-day,CRST,303,0.5511551155115512,0.5765960230245945,0.5544554455445545,0.38095238095238093,0.45161290322580644,0.48514851485148514
SVM,7-day,ASC,303,0.46534653465346537,0.4674569154054763,0.49612403100775193,0.39751552795031053,0.4413793103448276,0.5313531353135313
SVM,7-day,CPI,304,0.47039473684210525,0.4726714880561034,0.6666666666666666,0.09467455621301775,0.16580310880829016,0.555921052631579
SVM,7-day,CRST,303,0.5379537953795379,0.5999040641897785,0.5813953488372093,0.17006802721088435,0.2631578947368421,0.48514851485148514
LSTM,30-day,ASC,299,0.5050167224080268,0.7497314715359829,0.0,0.0,0.0,0.4916387959866221
LSTM,30-day,CPI,299,0.45819397993311034,0.7859414758269719,1.0,0.03571428571428571,0.06896551724137931,0.5618729096989966
LSTM,30-day,CRST,299,0.5719063545150501,0.5877431026684758,0.7142857142857143,0.07462686567164178,0.13513513513513514,0.44816053511705684
Logistic Regression,30-day,ASC,299,0.5652173913043478,0.6467060508413892,0.84,0.14285714285714285,0.2441860465116279,0.4916387959866221
Logistic Regression,30-day,CPI,299,0.45484949832775917,0.6169574700109051,0.6666666666666666,0.05952380952380952,0.1092896174863388,0.5618729096989966
Logistic Regression,30-day,CRST,299,0.5785953177257525,0.5956128448665762,0.6818181818181818,0.11194029850746269,0.19230769230769232,0.44816053511705684
Random Forest,30-day,ASC,299,0.47491638795986624,0.5330961331901182,0.42857142857142855,0.20408163265306123,0.2764976958525346,0.4916387959866221
Random Forest,30-day,CPI,299,0.44816053511705684,0.46762540894220284,0.5151515151515151,0.30357142857142855,0.38202247191011235,0.5618729096989966
Random Forest,30-day,CRST,299,0.5016722408026756,0.4918815015829941,0.40963855421686746,0.2537313432835821,0.31336405529953915,0.44816053511705684
SVM,30-day,ASC,299,0.5886287625418061,0.629139813820265,0.74,0.25170068027210885,0.3756345177664975,0.4916387959866221
SVM,30-day,CPI,299,0.431438127090301,0.4090330788804071,0.4861111111111111,0.20833333333333334,0.2916666666666667,0.5618729096989966
SVM,30-day,CRST,299,0.5418060200668896,0.4562641338760742,0.4727272727272727,0.19402985074626866,0.2751322751322751,0.44816053511705684
