Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5251641137855579,0.5668127499580908,0.5700934579439252,0.1358574610244989,0.21942446043165467,0.5087527352297593
SVM,1-day,0.5076586433260394,0.4906003783796728,0.4,0.004454342984409799,0.00881057268722467,0.5087527352297593
Random Forest,1-day,0.4737417943107221,0.49383576406351026,0.4473684210526316,0.3028953229398664,0.3612217795484728,0.5087527352297593
LSTM,1-day,0.48577680525164113,0.4892353377876763,0.44976076555023925,0.20935412026726058,0.2857142857142857,0.5087527352297593
Logistic Regression,7-day,0.4835164835164835,0.5315119032056589,0.5275590551181102,0.14046121593291405,0.22185430463576158,0.4758241758241758
SVM,7-day,0.4912087912087912,0.5062094208897991,0.5357142857142857,0.22012578616352202,0.31203566121842496,0.4758241758241758
Random Forest,7-day,0.4989010989010989,0.5079015788632766,0.5353535353535354,0.3333333333333333,0.4108527131782946,0.4758241758241758
LSTM,7-day,0.4703296703296703,0.4538517776131616,0.49266862170087977,0.3522012578616352,0.41075794621026895,0.4758241758241758
Logistic Regression,30-day,0.5328874024526199,0.6088281498568247,0.7419354838709677,0.10244988864142539,0.18003913894324852,0.49944258639910816
SVM,30-day,0.5206243032329989,0.514573556315622,0.5536723163841808,0.2182628062360802,0.31309904153354634,0.49944258639910816
Random Forest,30-day,0.47491638795986624,0.4946209831371301,0.45634920634920634,0.2561247216035635,0.3281027104136947,0.49944258639910816
LSTM,30-day,0.5117056856187291,0.6842139277760102,0.7619047619047619,0.035634743875278395,0.06808510638297872,0.49944258639910816
