Horizon,Feature,Importance
1-day,SMA_10_pct,0.14263881721263658
1-day,STOCH_K_14,0.14031247292578067
1-day,MACD_signal_9_pct,0.14041042034892853
1-day,RSI_14,0.1480501005058215
1-day,CCI_20,0.14275801945338704
1-day,turnover,0.14504715556830916
1-day,volatility,0.1407830139851366
7-day,SMA_10_pct,0.13354652726103278
7-day,STOCH_K_14,0.13211581652754498
7-day,MACD_signal_9_pct,0.1629120962244343
7-day,RSI_14,0.14016879777641794
7-day,CCI_20,0.1310932971793237
7-day,turnover,0.13853029376904444
7-day,volatility,0.16163317126220195
30-day,SMA_10_pct,0.11826328740340956
30-day,STOCH_K_14,0.11576406173357091
30-day,MACD_signal_9_pct,0.1829875466400657
30-day,RSI_14,0.13020800727913845
30-day,CCI_20,0.11738231109781777
30-day,turnover,0.1407119822796481
30-day,volatility,0.19468280356634962
