Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5000359505320678,0.5023208606395738,0.481996891996892,0.31296417010702726,0.37730111421708096
Logistic Regression,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5164150129421916,0.5540181835187704,0.5695415695415695,0.12419980277123133,0.19308210308210308
Random Forest,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.49346419327006047,0.5201674485506355,0.4759974747474747,0.35075660075660076,0.4015660851035596
SVM,1-day,Small Cap,"ASC, CPI, CRST",3,914,0.5120326430831176,0.4976724441354455,0.7420634920634921,0.03355117640831926,0.06105450546482286
LSTM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.5000253314805164,0.5184129284208017,0.6160506160506161,0.10855826766003546,0.1833943833943834
Logistic Regression,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.48352368131549994,0.5407091073229487,0.5277777777777778,0.06300786329453313,0.1114583845234
Random Forest,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.45937916160037057,0.47701856283255495,0.47701974965539945,0.3204471909679745,0.38216882491691656
SVM,7-day,Small Cap,"ASC, CPI, CRST",3,910,0.4681908980371721,0.5261179275273316,0.471607158467898,0.09081087198621839,0.15109409940870613
LSTM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5273132664437012,0.7008983171672352,0.8833333333333333,0.06745608691237688,0.12474566172780828
Logistic Regression,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5195094760312151,0.6394410110733362,0.6847890671420083,0.07472839882221545,0.132986832986833
Random Forest,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.47045707915273133,0.4538621804457259,0.45916944541685023,0.33123498155481096,0.3848006017422449
SVM,30-day,Small Cap,"ASC, CPI, CRST",3,897,0.5261984392419174,0.5270584856591108,0.6043351791936287,0.19931380512403965,0.2986183777080184
