Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,ASC,305,0.49836065573770494,0.5188581761818651,0.47,0.3197278911564626,0.3805668016194332,0.4819672131147541
LSTM,1-day,CPI,305,0.46885245901639344,0.47376795390040427,0.44871794871794873,0.22727272727272727,0.3017241379310345,0.5049180327868853
LSTM,1-day,CRST,304,0.5328947368421053,0.5143364518364519,0.5272727272727272,0.3918918918918919,0.4496124031007752,0.4868421052631579
Logistic Regression,1-day,ASC,305,0.5278688524590164,0.511754068716094,0.6666666666666666,0.04081632653061224,0.07692307692307693,0.4819672131147541
Logistic Regression,1-day,CPI,305,0.5016393442622951,0.5895329835727188,0.5227272727272727,0.14935064935064934,0.23232323232323232,0.5049180327868853
Logistic Regression,1-day,CRST,304,0.5197368421052632,0.5607674982674983,0.5192307692307693,0.18243243243243243,0.27,0.4868421052631579
Random Forest,1-day,ASC,305,0.5245901639344263,0.5451218462068372,0.5104166666666666,0.3333333333333333,0.40329218106995884,0.4819672131147541
Random Forest,1-day,CPI,305,0.4360655737704918,0.47828330609787567,0.41,0.2662337662337662,0.3228346456692913,0.5049180327868853
Random Forest,1-day,CRST,304,0.5197368421052632,0.5370971933471934,0.5075757575757576,0.4527027027027027,0.4785714285714286,0.4868421052631579
SVM,1-day,ASC,305,0.5245901639344263,0.4671058296736416,1.0,0.013605442176870748,0.026845637583892617,0.4819672131147541
SVM,1-day,CPI,305,0.5016393442622951,0.4834652102864023,0.75,0.01948051948051948,0.0379746835443038,0.5049180327868853
SVM,1-day,CRST,304,0.5098684210526315,0.5424462924462925,0.47619047619047616,0.06756756756756757,0.11834319526627218,0.4868421052631579
LSTM,7-day,ASC,303,0.45874587458745875,0.5076546233925291,0.42857142857142855,0.055900621118012424,0.0989010989010989,0.5313531353135313
LSTM,7-day,CPI,304,0.4769736842105263,0.43760683760683755,0.6923076923076923,0.10650887573964497,0.18461538461538463,0.555921052631579
LSTM,7-day,CRST,303,0.5643564356435643,0.6099773242630385,0.7272727272727273,0.16326530612244897,0.26666666666666666,0.48514851485148514
Logistic Regression,7-day,ASC,303,0.45874587458745875,0.46085206893535124,0.3333333333333333,0.018633540372670808,0.03529411764705882,0.5313531353135313
Logistic Regression,7-day,CPI,304,0.4769736842105263,0.5843085689239536,0.75,0.08875739644970414,0.15873015873015872,0.555921052631579
Logistic Regression,7-day,CRST,303,0.5148514851485149,0.5769666841095413,0.5,0.08163265306122448,0.14035087719298245,0.48514851485148514
Random Forest,7-day,ASC,303,0.46204620462046203,0.45886186685329367,0.4897959183673469,0.2981366459627329,0.37065637065637064,0.5313531353135313
Random Forest,7-day,CPI,304,0.4243421052631579,0.44315143545912783,0.4716981132075472,0.2958579881656805,0.36363636363636365,0.555921052631579
Random Forest,7-day,CRST,303,0.49174917491749176,0.5290423861852434,0.46956521739130436,0.3673469387755102,0.4122137404580153,0.48514851485148514
SVM,7-day,ASC,303,0.46534653465346537,0.5261350712973494,0.47619047619047616,0.062111801242236024,0.10989010989010989,0.5313531353135313
SVM,7-day,CPI,304,0.4144736842105263,0.4229015998246768,0.3902439024390244,0.09467455621301775,0.1523809523809524,0.555921052631579
SVM,7-day,CRST,303,0.5247524752475248,0.6293171114599686,0.5483870967741935,0.11564625850340136,0.19101123595505617,0.48514851485148514
LSTM,30-day,ASC,299,0.5351170568561873,0.701172574292875,0.75,0.08163265306122448,0.147239263803681,0.4916387959866221
LSTM,30-day,CPI,299,0.46488294314381273,0.7711741185023628,0.9,0.05357142857142857,0.10112359550561797,0.5618729096989966
LSTM,30-day,CRST,299,0.5819397993311036,0.6303482587064677,1.0,0.06716417910447761,0.1258741258741259,0.44816053511705684
Logistic Regression,30-day,ASC,299,0.5183946488294314,0.699516648764769,0.6666666666666666,0.04081632653061224,0.07692307692307693,0.4916387959866221
Logistic Regression,30-day,CPI,299,0.46153846153846156,0.6157760814249365,0.7058823529411765,0.07142857142857142,0.12972972972972974,0.5618729096989966
Logistic Regression,30-day,CRST,299,0.5785953177257525,0.603030303030303,0.6818181818181818,0.11194029850746269,0.19230769230769232,0.44816053511705684
Random Forest,30-day,ASC,299,0.48494983277591974,0.4931301467955604,0.46788990825688076,0.3469387755102041,0.3984375,0.4916387959866221
Random Forest,30-day,CPI,299,0.4080267558528428,0.3879498364231188,0.4628099173553719,0.3333333333333333,0.3875432525951557,0.5618729096989966
Random Forest,30-day,CRST,299,0.5183946488294314,0.4805065581184985,0.44680851063829785,0.31343283582089554,0.3684210526315789,0.44816053511705684
SVM,30-day,ASC,299,0.5986622073578596,0.6942803437164339,0.8292682926829268,0.23129251700680273,0.3617021276595745,0.4916387959866221
SVM,30-day,CPI,299,0.4180602006688963,0.40442111959287524,0.453125,0.17261904761904762,0.25,0.5618729096989966
SVM,30-day,CRST,299,0.5618729096989966,0.48247399366802346,0.5306122448979592,0.19402985074626866,0.28415300546448086,0.44816053511705684
