Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5164113785557987,0.5594223722968604,0.5333333333333333,0.12472160356347439,0.20216606498194944,0.5087527352297593
SVM,1-day,0.5120350109409191,0.5010369518883062,0.5555555555555556,0.0334075723830735,0.06302521008403361,0.5087527352297593
Random Forest,1-day,0.4934354485776805,0.5199918576526091,0.47865853658536583,0.34966592427616927,0.4041184041184041,0.5087527352297593
LSTM,1-day,0.5,0.5005867279737528,0.4861111111111111,0.311804008908686,0.37991858887381275,0.5087527352297593
Logistic Regression,7-day,0.4835164835164835,0.5402559298153877,0.5660377358490566,0.06289308176100629,0.11320754716981132,0.4758241758241758
SVM,7-day,0.46813186813186813,0.5234868621726436,0.46236559139784944,0.09014675052410902,0.15087719298245614,0.4758241758241758
Random Forest,7-day,0.4593406593406593,0.4755472279111653,0.47648902821316613,0.31865828092243187,0.38190954773869346,0.4758241758241758
LSTM,7-day,0.5,0.5165269849569819,0.6375,0.1069182389937107,0.18312387791741472,0.4758241758241758
Logistic Regression,30-day,0.5195094760312151,0.6420120108176901,0.6875,0.07349665924276169,0.13279678068410464,0.49944258639910816
SVM,30-day,0.5261984392419174,0.5346354995227489,0.577922077922078,0.19821826280623608,0.29519071310116085,0.49944258639910816
Random Forest,30-day,0.47045707915273133,0.4593889198218263,0.45987654320987653,0.33184855233853006,0.3855109961190168,0.49944258639910816
LSTM,30-day,0.5273132664437012,0.6927696468342348,0.8571428571428571,0.066815144766147,0.12396694214876033,0.49944258639910816
