Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.002150537634408602,0.0,0.827196530677935
Logistic Regression,1-day,0.008602150537634409,0.0,0.5965506463517027
Logistic Regression,1-day,0.008602150537634409,0.0022271714922048997,0.5885951869834379
Logistic Regression,1-day,0.010752688172043012,0.0022271714922048997,0.5879079252782549
Logistic Regression,1-day,0.010752688172043012,0.015590200445434299,0.5398327818456479
Logistic Regression,1-day,0.017204301075268817,0.015590200445434299,0.5359627784380838
Logistic Regression,1-day,0.017204301075268817,0.028953229398663696,0.5290880052417642
Logistic Regression,1-day,0.021505376344086023,0.028953229398663696,0.5276458303380471
Logistic Regression,1-day,0.021505376344086023,0.031180400890868598,0.5256371318028081
Logistic Regression,1-day,0.023655913978494623,0.031180400890868598,0.5241374443545874
Logistic Regression,1-day,0.023655913978494623,0.035634743875278395,0.5234854685223385
Logistic Regression,1-day,0.03225806451612903,0.035634743875278395,0.5215641668002302
Logistic Regression,1-day,0.03225806451612903,0.042316258351893093,0.5204312129841008
Logistic Regression,1-day,0.034408602150537634,0.042316258351893093,0.5194975354953393
Logistic Regression,1-day,0.034408602150537634,0.053452115812917596,0.5179083265469356
Logistic Regression,1-day,0.04086021505376344,0.053452115812917596,0.5158628082372686
Logistic Regression,1-day,0.04086021505376344,0.0556792873051225,0.5138562523023359
Logistic Regression,1-day,0.04516129032258064,0.0556792873051225,0.5129594413534473
Logistic Regression,1-day,0.04516129032258064,0.05790645879732739,0.512405626638574
Logistic Regression,1-day,0.04946236559139785,0.05790645879732739,0.5118317808705882
Logistic Regression,1-day,0.04946236559139785,0.060133630289532294,0.5110874786822213
Logistic Regression,1-day,0.053763440860215055,0.060133630289532294,0.5100946266595093
Logistic Regression,1-day,0.053763440860215055,0.062360801781737196,0.5097284013109182
Logistic Regression,1-day,0.05591397849462366,0.062360801781737196,0.5091352263599573
Logistic Regression,1-day,0.05591397849462366,0.0645879732739421,0.5089884061852459
Logistic Regression,1-day,0.06236559139784946,0.0645879732739421,0.5085850303084382
Logistic Regression,1-day,0.06236559139784946,0.0801781737193764,0.5069706584514194
Logistic Regression,1-day,0.06451612903225806,0.0801781737193764,0.506968350236132
Logistic Regression,1-day,0.06451612903225806,0.08685968819599109,0.5068202424101149
Logistic Regression,1-day,0.07526881720430108,0.08685968819599109,0.5058864544671787
Logistic Regression,1-day,0.07526881720430108,0.09131403118040089,0.5053202468939383
Logistic Regression,1-day,0.07741935483870968,0.09131403118040089,0.5049675999719793
Logistic Regression,1-day,0.07741935483870968,0.0935412026726058,0.5049234633287207
Logistic Regression,1-day,0.08387096774193549,0.0935412026726058,0.5038690928161351
Logistic Regression,1-day,0.08387096774193549,0.0957683741648107,0.5037660330309495
Logistic Regression,1-day,0.08602150537634409,0.0957683741648107,0.5035996439620645
Logistic Regression,1-day,0.08602150537634409,0.09799554565701558,0.5033131399004241
Logistic Regression,1-day,0.09032258064516129,0.09799554565701558,0.503062438633934
Logistic Regression,1-day,0.09032258064516129,0.10022271714922049,0.5030072358596649
Logistic Regression,1-day,0.09462365591397849,0.10022271714922049,0.5025884280259382
Logistic Regression,1-day,0.09462365591397849,0.10467706013363029,0.5022784789904805
Logistic Regression,1-day,0.1010752688172043,0.10467706013363029,0.5018626432421139
Logistic Regression,1-day,0.1010752688172043,0.12249443207126949,0.5002822872614876
Logistic Regression,1-day,0.1032258064516129,0.12249443207126949,0.5001528558383019
Logistic Regression,1-day,0.1032258064516129,0.12472160356347439,0.5001077116382016
Logistic Regression,1-day,0.1053763440860215,0.12472160356347439,0.5000889527232366
Logistic Regression,1-day,0.1053763440860215,0.133630289532294,0.49947292733726145
Logistic Regression,1-day,0.10752688172043011,0.133630289532294,0.49933796908158057
Logistic Regression,1-day,0.10752688172043011,0.13808463251670378,0.4990093709982407
Logistic Regression,1-day,0.12688172043010754,0.13808463251670378,0.49771661632744
Logistic Regression,1-day,0.12688172043010754,0.1403118040089087,0.4975566392770845
Logistic Regression,1-day,0.13118279569892474,0.1403118040089087,0.49730394733409855
Logistic Regression,1-day,0.13118279569892474,0.1447661469933185,0.49716341914008316
Logistic Regression,1-day,0.13548387096774195,0.1447661469933185,0.49693681255905897
Logistic Regression,1-day,0.13548387096774195,0.1514476614699332,0.49658577252922415
Logistic Regression,1-day,0.14193548387096774,0.1514476614699332,0.4964511327935592
Logistic Regression,1-day,0.14193548387096774,0.16703786191536749,0.4956602944488768
Logistic Regression,1-day,0.14623655913978495,0.16703786191536749,0.4954425818741355
Logistic Regression,1-day,0.14623655913978495,0.17817371937639198,0.49438372667933145
Logistic Regression,1-day,0.14838709677419354,0.17817371937639198,0.49415261051633175
Logistic Regression,1-day,0.14838709677419354,0.18485523385300667,0.49396575034108814
Logistic Regression,1-day,0.15698924731182795,0.18485523385300667,0.49365405879151075
Logistic Regression,1-day,0.15698924731182795,0.1870824053452116,0.49361440978649257
Logistic Regression,1-day,0.15913978494623657,0.1870824053452116,0.4935678053484258
Logistic Regression,1-day,0.15913978494623657,0.19821826280623608,0.4928433480129458
Logistic Regression,1-day,0.16129032258064516,0.19821826280623608,0.4927500178046977
Logistic Regression,1-day,0.16129032258064516,0.20935412026726058,0.49188191841549317
Logistic Regression,1-day,0.16344086021505377,0.20935412026726058,0.4918432861353055
Logistic Regression,1-day,0.16344086021505377,0.21158129175946547,0.4918385010736901
Logistic Regression,1-day,0.16559139784946236,0.21158129175946547,0.491719957697878
Logistic Regression,1-day,0.16559139784946236,0.21603563474387527,0.49157347454665073
Logistic Regression,1-day,0.17849462365591398,0.21603563474387527,0.4909648372499692
Logistic Regression,1-day,0.17849462365591398,0.2182628062360802,0.49095660351622894
Logistic Regression,1-day,0.1870967741935484,0.2182628062360802,0.4907544172307999
Logistic Regression,1-day,0.1870967741935484,0.22048997772828507,0.49075385122623894
Logistic Regression,1-day,0.1913978494623656,0.22048997772828507,0.49064078788004944
Logistic Regression,1-day,0.1913978494623656,0.22939866369710468,0.49048066233642484
Logistic Regression,1-day,0.1935483870967742,0.22939866369710468,0.49045595568780276
Logistic Regression,1-day,0.1935483870967742,0.23162583518930957,0.4904044522270808
Logistic Regression,1-day,0.2021505376344086,0.23162583518930957,0.4897890824776895
Logistic Regression,1-day,0.2021505376344086,0.2383073496659243,0.4896097927672555
Logistic Regression,1-day,0.2064516129032258,0.2383073496659243,0.48914144412949084
Logistic Regression,1-day,0.2064516129032258,0.24053452115812918,0.4889281403343577
Logistic Regression,1-day,0.2086021505376344,0.24053452115812918,0.48885421136380797
Logistic Regression,1-day,0.2086021505376344,0.24276169265033407,0.48884901753697924
Logistic Regression,1-day,0.210752688172043,0.24276169265033407,0.48856170556428286
Logistic Regression,1-day,0.210752688172043,0.24721603563474387,0.48853155782392466
Logistic Regression,1-day,0.2129032258064516,0.24721603563474387,0.4884959301100193
Logistic Regression,1-day,0.2129032258064516,0.2516703786191537,0.48815871358097224
Logistic Regression,1-day,0.21505376344086022,0.2516703786191537,0.4881044511318605
Logistic Regression,1-day,0.21505376344086022,0.25389755011135856,0.4881019324875658
Logistic Regression,1-day,0.21935483870967742,0.25389755011135856,0.48801354918835377
Logistic Regression,1-day,0.21935483870967742,0.2583518930957684,0.4877978960031161
Logistic Regression,1-day,0.221505376344086,0.2583518930957684,0.48773316460353244
Logistic Regression,1-day,0.221505376344086,0.26057906458797325,0.48763557860407064
Logistic Regression,1-day,0.22795698924731184,0.26057906458797325,0.487393082856384
Logistic Regression,1-day,0.22795698924731184,0.26280623608017817,0.487306581414209
Logistic Regression,1-day,0.23010752688172043,0.26280623608017817,0.4872697058423448
Logistic Regression,1-day,0.23010752688172043,0.26948775055679286,0.4865234477901343
Logistic Regression,1-day,0.23225806451612904,0.26948775055679286,0.4865108138570527
Logistic Regression,1-day,0.23225806451612904,0.27616926503340755,0.48596581468244815
Logistic Regression,1-day,0.23870967741935484,0.27616926503340755,0.48560745241914993
Logistic Regression,1-day,0.23870967741935484,0.2828507795100223,0.48535191867761585
Logistic Regression,1-day,0.24301075268817204,0.2828507795100223,0.48522522161070164
Logistic Regression,1-day,0.24301075268817204,0.289532293986637,0.48510397552963586
Logistic Regression,1-day,0.24516129032258063,0.289532293986637,0.4850749936880228
Logistic Regression,1-day,0.24516129032258063,0.29398663697104677,0.48494210859915454
Logistic Regression,1-day,0.24731182795698925,0.29398663697104677,0.48493386373404207
Logistic Regression,1-day,0.24731182795698925,0.2962138084632517,0.4847638235499544
Logistic Regression,1-day,0.24946236559139784,0.2962138084632517,0.4847145237262697
Logistic Regression,1-day,0.24946236559139784,0.2984409799554566,0.4845978764821145
Logistic Regression,1-day,0.2537634408602151,0.2984409799554566,0.48429968080234487
Logistic Regression,1-day,0.2537634408602151,0.30957683741648107,0.4837736719384142
Logistic Regression,1-day,0.25591397849462366,0.30957683741648107,0.48365706088255533
Logistic Regression,1-day,0.25591397849462366,0.31625835189309576,0.48330474246624616
Logistic Regression,1-day,0.25806451612903225,0.31625835189309576,0.48308450959241195
Logistic Regression,1-day,0.25806451612903225,0.3207126948775056,0.48300247570309507
Logistic Regression,1-day,0.26021505376344084,0.3207126948775056,0.4829929989769752
Logistic Regression,1-day,0.26021505376344084,0.32516703786191536,0.48290694831523845
Logistic Regression,1-day,0.2623655913978495,0.32516703786191536,0.4828851798108474
Logistic Regression,1-day,0.2623655913978495,0.3273942093541203,0.4828683677881501
Logistic Regression,1-day,0.26666666666666666,0.3273942093541203,0.48273555888240616
Logistic Regression,1-day,0.26666666666666666,0.32962138084632514,0.4826783294183987
Logistic Regression,1-day,0.2709677419354839,0.32962138084632514,0.4826386261100002
Logistic Regression,1-day,0.2709677419354839,0.33184855233853006,0.4824274068730035
Logistic Regression,1-day,0.2752688172043011,0.33184855233853006,0.48237152348397816
Logistic Regression,1-day,0.2752688172043011,0.3363028953229399,0.48198127058390916
Logistic Regression,1-day,0.2860215053763441,0.3363028953229399,0.48143099313239307
Logistic Regression,1-day,0.2860215053763441,0.3429844097995546,0.4810971466701879
Logistic Regression,1-day,0.2903225806451613,0.3429844097995546,0.4810524012340971
Logistic Regression,1-day,0.2903225806451613,0.34521158129175944,0.48103702660538933
Logistic Regression,1-day,0.2924731182795699,0.34521158129175944,0.48094737305389296
Logistic Regression,1-day,0.2924731182795699,0.34743875278396436,0.4808788341902584
Logistic Regression,1-day,0.2967741935483871,0.34743875278396436,0.48067029650333687
Logistic Regression,1-day,0.2967741935483871,0.3518930957683742,0.4805998479646198
Logistic Regression,1-day,0.2989247311827957,0.3518930957683742,0.4804835084904505
Logistic Regression,1-day,0.2989247311827957,0.35634743875278396,0.4801249621438501
Logistic Regression,1-day,0.3010752688172043,0.35634743875278396,0.4801204699448028
Logistic Regression,1-day,0.3010752688172043,0.3585746102449889,0.4800337875613309
Logistic Regression,1-day,0.3118279569892473,0.3585746102449889,0.47973603503462214
Logistic Regression,1-day,0.3118279569892473,0.36080178173719374,0.47950596668507306
Logistic Regression,1-day,0.31827956989247314,0.36080178173719374,0.47937750055561945
Logistic Regression,1-day,0.31827956989247314,0.37639198218262804,0.4790212833292006
Logistic Regression,1-day,0.32688172043010755,0.37639198218262804,0.4786354293231819
Logistic Regression,1-day,0.32688172043010755,0.37861915367483295,0.47860560038406963
Logistic Regression,1-day,0.3333333333333333,0.37861915367483295,0.47840979822479496
Logistic Regression,1-day,0.3333333333333333,0.3830734966592428,0.47837333380548186
Logistic Regression,1-day,0.33763440860215055,0.3830734966592428,0.4781348129858673
Logistic Regression,1-day,0.33763440860215055,0.3897550111358575,0.47790121312923656
Logistic Regression,1-day,0.33978494623655914,0.3897550111358575,0.47781732886620976
Logistic Regression,1-day,0.33978494623655914,0.3986636971046771,0.4775742532089929
Logistic Regression,1-day,0.34408602150537637,0.3986636971046771,0.47753057646996916
Logistic Regression,1-day,0.34408602150537637,0.4053452115812918,0.47731802324162
Logistic Regression,1-day,0.35053763440860214,0.4053452115812918,0.47719414589314624
Logistic Regression,1-day,0.35053763440860214,0.41202672605790647,0.47716077624061143
Logistic Regression,1-day,0.35268817204301073,0.41202672605790647,0.47705731057989587
Logistic Regression,1-day,0.35268817204301073,0.4142538975501114,0.4770404447075576
Logistic Regression,1-day,0.35698924731182796,0.4142538975501114,0.4768174981072863
Logistic Regression,1-day,0.35698924731182796,0.4209354120267261,0.47671611836249533
Logistic Regression,1-day,0.35913978494623655,0.4209354120267261,0.47665843441788536
Logistic Regression,1-day,0.35913978494623655,0.42316258351893093,0.47660798568814133
Logistic Regression,1-day,0.36129032258064514,0.42316258351893093,0.47649300621846447
Logistic Regression,1-day,0.36129032258064514,0.4365256124721604,0.47613620141373164
Logistic Regression,1-day,0.3634408602150538,0.4365256124721604,0.47597667352318807
Logistic Regression,1-day,0.3634408602150538,0.44988864142538976,0.475738368049285
Logistic Regression,1-day,0.36774193548387096,0.44988864142538976,0.4756907406093978
Logistic Regression,1-day,0.36774193548387096,0.45657015590200445,0.4755994368937246
Logistic Regression,1-day,0.36989247311827955,0.45657015590200445,0.4755861246211612
Logistic Regression,1-day,0.36989247311827955,0.46325167037861914,0.4753300865932469
Logistic Regression,1-day,0.37849462365591396,0.46325167037861914,0.4749938062640402
Logistic Regression,1-day,0.37849462365591396,0.46993318485523383,0.47487783153679397
Logistic Regression,1-day,0.38064516129032255,0.46993318485523383,0.47478870802023754
Logistic Regression,1-day,0.38064516129032255,0.47216035634743875,0.4747126453774461
Logistic Regression,1-day,0.3827956989247312,0.47216035634743875,0.47470458252055353
Logistic Regression,1-day,0.3827956989247312,0.47438752783964366,0.4746756375591626
Logistic Regression,1-day,0.3870967741935484,0.47438752783964366,0.4744082003162049
Logistic Regression,1-day,0.3870967741935484,0.48329621380846327,0.4742605526107698
Logistic Regression,1-day,0.3978494623655914,0.48329621380846327,0.4738280532052073
Logistic Regression,1-day,0.3978494623655914,0.48775055679287305,0.47376129544132944
Logistic Regression,1-day,0.4043010752688172,0.48775055679287305,0.4736547483271141
Logistic Regression,1-day,0.4043010752688172,0.48997772828507796,0.47360166610059895
Logistic Regression,1-day,0.4064516129032258,0.48997772828507796,0.4735491934214389
Logistic Regression,1-day,0.4064516129032258,0.4922048997772829,0.473506054411491
Logistic Regression,1-day,0.41935483870967744,0.4922048997772829,0.4730863218711822
Logistic Regression,1-day,0.41935483870967744,0.49888641425389757,0.4726212215857529
