Horizon,Feature,Importance
1-day,SMA_10_pct,0.11154158178268914
1-day,STOCH_K_14,0.10868297823989992
1-day,MACD_signal_9_pct,0.11274300296729287
1-day,RSI_14,0.10473005007132614
1-day,CCI_20,0.10849584449659794
1-day,turnover,0.11966573415570879
1-day,volatility,0.12065155866364347
1-day,daily_compound_sentiment,0.11916111961162491
1-day,sue,0.09432813001121675
7-day,SMA_10_pct,0.09829705047353891
7-day,STOCH_K_14,0.08976042750845899
7-day,MACD_signal_9_pct,0.1288988159239841
7-day,RSI_14,0.10243986584314481
7-day,CCI_20,0.0999881452696456
7-day,turnover,0.10341598273865589
7-day,volatility,0.14704850394325375
7-day,daily_compound_sentiment,0.08106137211033013
7-day,sue,0.14908983618898794
30-day,SMA_10_pct,0.08257700495185376
30-day,STOCH_K_14,0.08714711018765177
30-day,MACD_signal_9_pct,0.1601396907378235
30-day,RSI_14,0.09035631175600367
30-day,CCI_20,0.08438243389678783
30-day,turnover,0.0933485457538508
30-day,volatility,0.1701513628312499
30-day,daily_compound_sentiment,0.06778151853080534
30-day,sue,0.16411602135397346
