Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR, SBRY",3,380,0.5344112475260017,0.5078933442348076,0.5919786096256684,0.6828510243144391,0.6321358442959029
Logistic Regression,1-day,Large Cap,"LLOY, RR, SBRY",3,380,0.5803803057901419,0.515864861200227,0.6109900929317954,0.7752288362044459,0.6830838610924963
Random Forest,1-day,Large Cap,"LLOY, RR, SBRY",3,380,0.5276496424037408,0.5176198344338588,0.6134520073399531,0.5615915250061592,0.58185690720902
SVM,1-day,Large Cap,"LLOY, RR, SBRY",3,380,0.5801062932210473,0.500033905232076,0.6096478806759179,0.8008982887031668,0.6920068572242485
LSTM,7-day,Large Cap,"LLOY, RR, SBRY",3,379,0.6372496781555556,0.49330297837596393,0.6623610612870353,0.93204224401048,0.7736096362166428
Logistic Regression,7-day,Large Cap,"LLOY, RR, SBRY",3,379,0.5295046323543922,0.4520603032763428,0.6561679479597872,0.6233557518299435,0.6379050351244988
Random Forest,7-day,Large Cap,"LLOY, RR, SBRY",3,379,0.5315662941513115,0.513091157011828,0.67245639076625,0.568164834472265,0.614473836243627
SVM,7-day,Large Cap,"LLOY, RR, SBRY",3,379,0.5300362996421113,0.4784716797765636,0.673859126984127,0.5839410636631284,0.62293687570796
LSTM,30-day,Large Cap,"LLOY, RR, SBRY",3,373,0.6786913055720502,0.38712862542588256,0.7131740641927399,0.9363295880149813,0.8053801265768811
Logistic Regression,30-day,Large Cap,"LLOY, RR, SBRY",3,373,0.6437276450302619,0.48508492012361254,0.7098972922502335,0.869498354329815,0.7753726486840332
Random Forest,30-day,Large Cap,"LLOY, RR, SBRY",3,373,0.5947460419681015,0.5019269237316991,0.744330839131377,0.666811845042182,0.7018036213334585
SVM,30-day,Large Cap,"LLOY, RR, SBRY",3,373,0.6158018795598563,0.4838565856108266,0.7109483109483109,0.7971503423750614,0.7472423403795952
