Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,LLOY,132,0.5151515151515151,0.47878048780487803,0.5818181818181818,0.7804878048780488,0.6666666666666666,0.6212121212121212
LSTM,1-day,RR,122,0.5245901639344263,0.5229978354978355,0.5588235294117647,0.5757575757575758,0.5671641791044776,0.5409836065573771
LSTM,1-day,SBRY,126,0.5634920634920635,0.5219017094017094,0.6352941176470588,0.6923076923076923,0.6625766871165644,0.6190476190476191
Logistic Regression,1-day,LLOY,132,0.6136363636363636,0.4921951219512195,0.6422018348623854,0.8536585365853658,0.7329842931937173,0.6212121212121212
Logistic Regression,1-day,RR,122,0.5163934426229508,0.5086580086580086,0.5443037974683544,0.6515151515151515,0.593103448275862,0.5409836065573771
Logistic Regression,1-day,SBRY,126,0.6111111111111112,0.5467414529914529,0.6464646464646465,0.8205128205128205,0.7231638418079096,0.6190476190476191
Random Forest,1-day,LLOY,132,0.48484848484848486,0.4691463414634146,0.6060606060606061,0.4878048780487805,0.5405405405405406,0.6212121212121212
Random Forest,1-day,RR,122,0.5901639344262295,0.5504599567099567,0.6052631578947368,0.696969696969697,0.647887323943662,0.5409836065573771
Random Forest,1-day,SBRY,126,0.5079365079365079,0.5332532051282052,0.6290322580645161,0.5,0.5571428571428572,0.6190476190476191
SVM,1-day,LLOY,132,0.6363636363636364,0.5340243902439024,0.6666666666666666,0.8292682926829268,0.7391304347826086,0.6212121212121212
SVM,1-day,RR,122,0.5245901639344263,0.4998647186147187,0.5454545454545454,0.7272727272727273,0.6233766233766234,0.5409836065573771
SVM,1-day,SBRY,126,0.5793650793650794,0.46621260683760685,0.616822429906542,0.8461538461538461,0.7135135135135136,0.6190476190476191
LSTM,7-day,LLOY,133,0.5864661654135338,0.4552964042759961,0.6141732283464567,0.9285714285714286,0.7393364928909952,0.631578947368421
LSTM,7-day,RR,119,0.6638655462184874,0.491430454845089,0.6981132075471698,0.9024390243902439,0.7872340425531915,0.6890756302521008
LSTM,7-day,SBRY,127,0.6614173228346457,0.5331820760068067,0.6747967479674797,0.9651162790697675,0.7942583732057417,0.6771653543307087
Logistic Regression,7-day,LLOY,133,0.5263157894736842,0.4951409135082605,0.64,0.5714285714285714,0.6037735849056604,0.631578947368421
Logistic Regression,7-day,RR,119,0.48739495798319327,0.2907053394858272,0.6179775280898876,0.6707317073170732,0.6432748538011696,0.6890756302521008
Logistic Regression,7-day,SBRY,127,0.5748031496062992,0.5703346568349404,0.7105263157894737,0.627906976744186,0.6666666666666666,0.6771653543307087
Random Forest,7-day,LLOY,133,0.49624060150375937,0.483843537414966,0.6349206349206349,0.47619047619047616,0.54421768707483,0.631578947368421
Random Forest,7-day,RR,119,0.5630252100840336,0.47956493078444296,0.6923076923076923,0.6585365853658537,0.675,0.6890756302521008
Random Forest,7-day,SBRY,127,0.5354330708661418,0.5758650028360749,0.6901408450704225,0.5697674418604651,0.6242038216560509,0.6771653543307087
SVM,7-day,LLOY,133,0.5037593984962406,0.46270651117589895,0.625,0.5357142857142857,0.5769230769230769,0.631578947368421
SVM,7-day,RR,119,0.4957983193277311,0.3582729070533949,0.6309523809523809,0.6463414634146342,0.6385542168674698,0.6890756302521008
SVM,7-day,SBRY,127,0.5905511811023622,0.614435621100397,0.765625,0.5697674418604651,0.6533333333333333,0.6771653543307087
LSTM,30-day,LLOY,133,0.7443609022556391,0.34284016636957815,0.7443609022556391,1.0,0.853448275862069,0.7443609022556391
LSTM,30-day,RR,116,0.646551724137931,0.6179775280898876,0.75,0.8089887640449438,0.7783783783783784,0.7672413793103449
LSTM,30-day,SBRY,124,0.6451612903225806,0.20056818181818184,0.6451612903225806,1.0,0.7843137254901961,0.6451612903225806
Logistic Regression,30-day,LLOY,133,0.706766917293233,0.33481877599524656,0.7380952380952381,0.9393939393939394,0.8266666666666667,0.7443609022556391
Logistic Regression,30-day,RR,116,0.603448275862069,0.5451518934665002,0.7529411764705882,0.7191011235955056,0.735632183908046,0.7672413793103449
Logistic Regression,30-day,SBRY,124,0.6209677419354839,0.5752840909090909,0.6386554621848739,0.95,0.7638190954773869,0.6451612903225806
Random Forest,30-day,LLOY,133,0.6240601503759399,0.47474747474747475,0.7525773195876289,0.7373737373737373,0.7448979591836735,0.7443609022556391
Random Forest,30-day,RR,116,0.4827586206896552,0.35518102372034954,0.7101449275362319,0.550561797752809,0.620253164556962,0.7672413793103449
Random Forest,30-day,SBRY,124,0.6774193548387096,0.6758522727272728,0.7702702702702703,0.7125,0.7402597402597403,0.6451612903225806
SVM,30-day,LLOY,133,0.6541353383458647,0.3086749851455734,0.7264957264957265,0.8585858585858586,0.7870370370370371,0.7443609022556391
SVM,30-day,RR,116,0.6206896551724138,0.5326674989596338,0.7777777777777778,0.7078651685393258,0.7411764705882353,0.7672413793103449
SVM,30-day,SBRY,124,0.5725806451612904,0.6102272727272727,0.6285714285714286,0.825,0.7135135135135136,0.6451612903225806
