Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5815789473684211,0.5241351568785196,0.6167247386759582,0.7831858407079646,0.6900584795321637,0.5947368421052631
SVM,1-day,0.5815789473684211,0.5017383059418457,0.6127946127946128,0.8053097345132744,0.6959847036328872,0.5947368421052631
Random Forest,1-day,0.5263157894736842,0.5127715205148834,0.6127450980392157,0.5530973451327433,0.5813953488372093,0.5947368421052631
LSTM,1-day,0.5342105263157895,0.513389265601655,0.5931558935361216,0.6902654867256637,0.6380368098159509,0.5947368421052631
Logistic Regression,7-day,0.5303430079155673,0.4613798275215598,0.6541666666666667,0.623015873015873,0.6382113821138211,0.6649076517150396
SVM,7-day,0.5303430079155673,0.49556305461817274,0.6681818181818182,0.5833333333333334,0.6228813559322034,0.6649076517150396
Random Forest,7-day,0.5303430079155673,0.5203724534433195,0.6745283018867925,0.5674603174603174,0.6163793103448276,0.6649076517150396
LSTM,7-day,0.6358839050131926,0.4795963004624421,0.6601123595505618,0.9325396825396826,0.7730263157894737,0.6649076517150396
Logistic Regression,30-day,0.646112600536193,0.468407960199005,0.706060606060606,0.8694029850746269,0.7792642140468228,0.7184986595174263
SVM,30-day,0.6166219839142091,0.47949538024164895,0.7062706270627063,0.7985074626865671,0.7495621716287215,0.7184986595174263
Random Forest,30-day,0.5978552278820375,0.5222459132906895,0.7458333333333333,0.667910447761194,0.7047244094488189,0.7184986595174263
LSTM,30-day,0.6809651474530831,0.3923951670220327,0.7110481586402266,0.9365671641791045,0.8083735909822867,0.7184986595174263
