Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5213963963963963,0.4692256204304397,0.555052790346908,0.7389558232931727,0.6339362618432386,0.5608108108108109
SVM,1-day,0.5608108108108109,0.5046519410977243,0.5608108108108109,1.0,0.7186147186147186,0.5608108108108109
Random Forest,1-day,0.5056306306306306,0.4980074142724744,0.565121412803532,0.5140562248995983,0.5383806519453207,0.5608108108108109
LSTM,1-day,0.5180180180180181,0.5131835032437442,0.559931506849315,0.6566265060240963,0.6044362292051756,0.5608108108108109
Logistic Regression,7-day,0.6187782805429864,0.4864353175399671,0.6206896551724138,0.9872029250457038,0.7621736062103035,0.6187782805429864
SVM,7-day,0.5701357466063348,0.5008761032662649,0.6171107994389902,0.8043875685557587,0.6984126984126984,0.6187782805429864
Random Forest,7-day,0.5588235294117647,0.5343931560874259,0.6530214424951267,0.6124314442413162,0.6320754716981132,0.6187782805429864
LSTM,7-day,0.6018099547511312,0.5152789154763778,0.6127167630057804,0.9689213893967094,0.7507082152974505,0.6187782805429864
Logistic Regression,30-day,0.6926605504587156,0.513369716905901,0.695852534562212,0.993421052631579,0.8184281842818428,0.6972477064220184
SVM,30-day,0.6135321100917431,0.55205841307815,0.7133858267716535,0.7450657894736842,0.7288817377312953,0.6972477064220184
Random Forest,30-day,0.5802752293577982,0.5524633672248804,0.7257462686567164,0.6398026315789473,0.6800699300699301,0.6972477064220184
LSTM,30-day,0.6823394495412844,0.4325657894736842,0.6935672514619883,0.975328947368421,0.810663021189337,0.6972477064220184
