Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.002008032128514056,0.6169004419924697
Logistic Regression,1-day,0.002564102564102564,0.002008032128514056,0.5944933358398489
Logistic Regression,1-day,0.002564102564102564,0.004016064257028112,0.573980527228481
Logistic Regression,1-day,0.007692307692307693,0.004016064257028112,0.5608341827635459
Logistic Regression,1-day,0.007692307692307693,0.006024096385542169,0.5476040754210397
Logistic Regression,1-day,0.010256410256410256,0.006024096385542169,0.5474952542433283
Logistic Regression,1-day,0.010256410256410256,0.008032128514056224,0.5466207720877598
Logistic Regression,1-day,0.01282051282051282,0.008032128514056224,0.5441387013978064
Logistic Regression,1-day,0.01282051282051282,0.012048192771084338,0.5425634629347853
Logistic Regression,1-day,0.017948717948717947,0.012048192771084338,0.5403838340716736
Logistic Regression,1-day,0.017948717948717947,0.018072289156626505,0.5382765198924494
Logistic Regression,1-day,0.020512820512820513,0.018072289156626505,0.5378906587784035
Logistic Regression,1-day,0.020512820512820513,0.020080321285140562,0.5374572641836753
Logistic Regression,1-day,0.023076923076923078,0.020080321285140562,0.5371333760978978
Logistic Regression,1-day,0.023076923076923078,0.02208835341365462,0.5369371190421107
Logistic Regression,1-day,0.02564102564102564,0.02208835341365462,0.5368273011535565
Logistic Regression,1-day,0.02564102564102564,0.024096385542168676,0.5367905775774862
Logistic Regression,1-day,0.028205128205128206,0.024096385542168676,0.5367191684867139
Logistic Regression,1-day,0.028205128205128206,0.02610441767068273,0.5363855979076114
Logistic Regression,1-day,0.035897435897435895,0.02610441767068273,0.5360159240588926
Logistic Regression,1-day,0.035897435897435895,0.030120481927710843,0.5354583842723782
Logistic Regression,1-day,0.041025641025641026,0.030120481927710843,0.5344581239764349
Logistic Regression,1-day,0.041025641025641026,0.040160642570281124,0.533919240564132
Logistic Regression,1-day,0.04358974358974359,0.040160642570281124,0.5335162679444567
Logistic Regression,1-day,0.04358974358974359,0.050200803212851405,0.5328627682693956
Logistic Regression,1-day,0.046153846153846156,0.050200803212851405,0.5328043439600095
Logistic Regression,1-day,0.046153846153846156,0.05622489959839357,0.5325208487320067
Logistic Regression,1-day,0.05128205128205128,0.05622489959839357,0.5320400020376427
Logistic Regression,1-day,0.05128205128205128,0.05823293172690763,0.5317830479778621
Logistic Regression,1-day,0.05384615384615385,0.05823293172690763,0.5316815359427368
Logistic Regression,1-day,0.05384615384615385,0.060240963855421686,0.5316710549633671
