Horizon,Feature,Importance
1-day,SMA_10_pct,0.10667519968373879
1-day,STOCH_K_14,0.11395081873006652
1-day,MACD_signal_9_pct,0.11456610357613149
1-day,RSI_14,0.10642573550920642
1-day,CCI_20,0.10386937366014799
1-day,turnover,0.11550773139006898
1-day,volatility,0.11782258079201649
1-day,daily_compound_sentiment,0.12455493268597348
1-day,sue,0.09662752397264984
7-day,SMA_10_pct,0.0966183134196296
7-day,STOCH_K_14,0.08257404847079158
7-day,MACD_signal_9_pct,0.1360020211190086
7-day,RSI_14,0.09951783953773494
7-day,CCI_20,0.09313426694524132
7-day,turnover,0.1016196450520743
7-day,volatility,0.15726341166460342
7-day,daily_compound_sentiment,0.07235256127806744
7-day,sue,0.1609178925128488
30-day,SMA_10_pct,0.0745230262628409
30-day,STOCH_K_14,0.07464049566544295
30-day,MACD_signal_9_pct,0.17485531318433448
30-day,RSI_14,0.0819422692551918
30-day,CCI_20,0.08482436724734602
30-day,turnover,0.0913889173286533
30-day,volatility,0.1968546786918903
30-day,daily_compound_sentiment,0.06473660403389438
30-day,sue,0.1562343283304059
