Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR",2,246,0.5633891351816317,0.479009139009139,0.5719106957424714,0.9384615384615385,0.7107056936647955
Logistic Regression,1-day,Large Cap,"LLOY, RR",2,246,0.5360947528617747,0.4872357272357272,0.5689089417555373,0.7937062937062938,0.662733632661585
Random Forest,1-day,Large Cap,"LLOY, RR",2,246,0.5334811089790247,0.5048257298257299,0.5848892405063291,0.659040959040959,0.6188075017692851
SVM,1-day,Large Cap,"LLOY, RR",2,246,0.5431747502150466,0.5413580863580865,0.5900070871722183,0.6968031968031968,0.6375
LSTM,7-day,Large Cap,"LLOY, RR",2,245,0.5307738572574178,0.4451277081136936,0.6288828726132802,0.7029272151898734,0.6432073210589389
Logistic Regression,7-day,Large Cap,"LLOY, RR",2,245,0.5816626570435712,0.35810815174513183,0.6284403669724771,0.8619462025316456,0.7268940673195992
Random Forest,7-day,Large Cap,"LLOY, RR",2,245,0.5192127773322641,0.43409467575945876,0.6257173601147776,0.5983386075949367,0.610248447204969
SVM,7-day,Large Cap,"LLOY, RR",2,245,0.5183106121357925,0.41538019629678763,0.6061533505154639,0.735996835443038,0.6647727272727273
LSTM,30-day,Large Cap,"LLOY, RR",2,242,0.7116299924122232,0.4377043993256332,0.748524537149325,0.9268292682926829,0.8267241379310345
Logistic Regression,30-day,Large Cap,"LLOY, RR",2,242,0.7383251707249776,0.48462627228767835,0.7604166666666667,0.9512195121951219,0.8443017656500802
Random Forest,30-day,Large Cap,"LLOY, RR",2,242,0.5543215837759536,0.4079786386099155,0.7350759144237404,0.6268785415126878,0.6751760245531684
SVM,30-day,Large Cap,"LLOY, RR",2,242,0.680347658136166,0.4861237917192006,0.7447060971157357,0.8729982754372998,0.8
