Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,LLOY,127,0.6141732283464567,0.5098701298701298,0.6111111111111112,1.0,0.7586206896551724,0.6062992125984252
LSTM,1-day,RR,119,0.5126050420168067,0.44814814814814813,0.5327102803738317,0.8769230769230769,0.6627906976744186,0.5462184873949579
Logistic Regression,1-day,LLOY,127,0.5511811023622047,0.45766233766233766,0.5943396226415094,0.8181818181818182,0.6885245901639344,0.6062992125984252
Logistic Regression,1-day,RR,119,0.5210084033613446,0.5168091168091168,0.5434782608695652,0.7692307692307693,0.6369426751592356,0.5462184873949579
Random Forest,1-day,LLOY,127,0.5039370078740157,0.4694805194805195,0.5875,0.6103896103896104,0.5987261146496815,0.6062992125984252
Random Forest,1-day,RR,119,0.5630252100840336,0.5401709401709403,0.5822784810126582,0.7076923076923077,0.6388888888888888,0.5462184873949579
SVM,1-day,LLOY,127,0.5905511811023622,0.5651948051948052,0.6506024096385542,0.7012987012987013,0.675,0.6062992125984252
SVM,1-day,RR,119,0.4957983193277311,0.5175213675213676,0.5294117647058824,0.6923076923076923,0.6,0.5462184873949579
LSTM,7-day,LLOY,129,0.6046511627906976,0.5313775510204082,0.6198347107438017,0.9375,0.746268656716418,0.6201550387596899
LSTM,7-day,RR,116,0.45689655172413796,0.35887786520697906,0.6379310344827587,0.46835443037974683,0.5401459854014599,0.6810344827586207
Logistic Regression,7-day,LLOY,129,0.5426356589147286,0.4558673469387755,0.5963302752293578,0.8125,0.6878306878306878,0.6201550387596899
Logistic Regression,7-day,RR,116,0.6206896551724138,0.26034895655148815,0.6605504587155964,0.9113924050632911,0.7659574468085106,0.6810344827586207
Random Forest,7-day,LLOY,129,0.4263565891472868,0.37691326530612246,0.5441176470588235,0.4625,0.5,0.6201550387596899
Random Forest,7-day,RR,116,0.6120689655172413,0.49127608621279506,0.7073170731707317,0.7341772151898734,0.7204968944099379,0.6810344827586207
SVM,7-day,LLOY,129,0.5193798449612403,0.41543367346938775,0.59375,0.7125,0.6477272727272727,0.6201550387596899
SVM,7-day,RR,116,0.5172413793103449,0.4153267191241875,0.6185567010309279,0.759493670886076,0.6818181818181818,0.6810344827586207
LSTM,30-day,LLOY,133,0.7443609022556391,0.33927510398098637,0.7443609022556391,1.0,0.853448275862069,0.7443609022556391
LSTM,30-day,RR,109,0.6788990825688074,0.53613369467028,0.7526881720430108,0.8536585365853658,0.8,0.7522935779816514
Logistic Regression,30-day,LLOY,133,0.7518796992481203,0.3802733214497921,0.75,1.0,0.8571428571428571,0.7443609022556391
Logistic Regression,30-day,RR,109,0.7247706422018348,0.5889792231255646,0.7708333333333334,0.9024390243902439,0.8314606741573034,0.7522935779816514
Random Forest,30-day,LLOY,133,0.631578947368421,0.46568627450980393,0.7717391304347826,0.7171717171717171,0.743455497382199,0.7443609022556391
Random Forest,30-day,RR,109,0.47706422018348627,0.3502710027100271,0.6984126984126984,0.5365853658536586,0.6068965517241379,0.7522935779816514
SVM,30-day,LLOY,133,0.7368421052631579,0.4370172311348783,0.7424242424242424,0.98989898989899,0.8484848484848485,0.7443609022556391
SVM,30-day,RR,109,0.6238532110091743,0.535230352303523,0.7469879518072289,0.7560975609756098,0.7515151515151515,0.7522935779816514
