Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5365853658536586,0.4933640303358613,0.5707070707070707,0.795774647887324,0.6647058823529411,0.5772357723577236
SVM,1-day,0.5447154471544715,0.5429306608884074,0.5892857142857143,0.6971830985915493,0.6387096774193548,0.5772357723577236
Random Forest,1-day,0.532520325203252,0.5022007042253521,0.5849056603773585,0.6549295774647887,0.6179401993355482,0.5772357723577236
LSTM,1-day,0.5650406504065041,0.4857123510292525,0.575107296137339,0.9436619718309859,0.7146666666666667,0.5772357723577236
Logistic Regression,7-day,0.5795918367346938,0.39213105163083223,0.6284403669724771,0.8616352201257862,0.726790450928382,0.6489795918367347
SVM,7-day,0.5183673469387755,0.41673979815708645,0.6062176165803109,0.7358490566037735,0.6647727272727273,0.6489795918367347
Random Forest,7-day,0.5142857142857142,0.4447857247330701,0.6333333333333333,0.5974842767295597,0.6148867313915858,0.6489795918367347
LSTM,7-day,0.5346938775510204,0.4536346350738628,0.6256983240223464,0.7044025157232704,0.6627218934911243,0.6489795918367347
Logistic Regression,30-day,0.7396694214876033,0.4639978262838511,0.7587719298245614,0.9558011049723757,0.8459657701711492,0.7479338842975206
SVM,30-day,0.6859504132231405,0.47758355221447335,0.7441860465116279,0.8839779005524862,0.8080808080808081,0.7479338842975206
Random Forest,30-day,0.5619834710743802,0.4057603477945838,0.7419354838709677,0.6353591160220995,0.6845238095238095,0.7479338842975206
LSTM,30-day,0.7148760330578512,0.4198895027624309,0.7477876106194691,0.9337016574585635,0.8304668304668305,0.7479338842975206
