Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.007042253521126761,0.6174411676431524
Logistic Regression,1-day,0.0,0.028169014084507043,0.5874848779116524
Logistic Regression,1-day,0.009615384615384616,0.028169014084507043,0.5869170784237091
Logistic Regression,1-day,0.009615384615384616,0.04225352112676056,0.5804932420602839
Logistic Regression,1-day,0.019230769230769232,0.04225352112676056,0.5801152569206963
Logistic Regression,1-day,0.019230769230769232,0.07746478873239436,0.5728197012885674
Logistic Regression,1-day,0.057692307692307696,0.07746478873239436,0.5679644373885471
Logistic Regression,1-day,0.057692307692307696,0.08450704225352113,0.5679069245692744
Logistic Regression,1-day,0.07692307692307693,0.08450704225352113,0.5658020124678486
Logistic Regression,1-day,0.07692307692307693,0.09154929577464789,0.565652883516564
Logistic Regression,1-day,0.08653846153846154,0.09154929577464789,0.5656038170946622
Logistic Regression,1-day,0.08653846153846154,0.09859154929577464,0.5644583322797424
Logistic Regression,1-day,0.10576923076923077,0.09859154929577464,0.5636327285384559
Logistic Regression,1-day,0.10576923076923077,0.1267605633802817,0.5597289719965797
Logistic Regression,1-day,0.1346153846153846,0.1267605633802817,0.5587758301257553
Logistic Regression,1-day,0.1346153846153846,0.14084507042253522,0.5578310416256735
Logistic Regression,1-day,0.14423076923076922,0.14084507042253522,0.5574552851697966
Logistic Regression,1-day,0.14423076923076922,0.14788732394366197,0.5573068521664116
Logistic Regression,1-day,0.15384615384615385,0.14788732394366197,0.5572562579646058
Logistic Regression,1-day,0.15384615384615385,0.1619718309859155,0.5571377125247249
Logistic Regression,1-day,0.17307692307692307,0.1619718309859155,0.5566522687789913
Logistic Regression,1-day,0.17307692307692307,0.16901408450704225,0.556489244585274
Logistic Regression,1-day,0.18269230769230768,0.16901408450704225,0.5562972706472604
Logistic Regression,1-day,0.18269230769230768,0.176056338028169,0.5562007544126478
Logistic Regression,1-day,0.19230769230769232,0.176056338028169,0.5561489246325383
Logistic Regression,1-day,0.19230769230769232,0.18309859154929578,0.555801296280074
Logistic Regression,1-day,0.20192307692307693,0.18309859154929578,0.5556126854782782
Logistic Regression,1-day,0.20192307692307693,0.19014084507042253,0.5551046892634847
Logistic Regression,1-day,0.22115384615384615,0.19014084507042253,0.5546370171498792
Logistic Regression,1-day,0.22115384615384615,0.21830985915492956,0.553229199973333
Logistic Regression,1-day,0.23076923076923078,0.21830985915492956,0.55310581791398
Logistic Regression,1-day,0.23076923076923078,0.22535211267605634,0.5525629825574454
Logistic Regression,1-day,0.28846153846153844,0.22535211267605634,0.551054609945796
Logistic Regression,1-day,0.28846153846153844,0.23943661971830985,0.5510110444583469
Logistic Regression,1-day,0.3076923076923077,0.23943661971830985,0.5506140066354146
Logistic Regression,1-day,0.3076923076923077,0.2746478873239437,0.5487763103470074
Logistic Regression,1-day,0.3173076923076923,0.2746478873239437,0.54875261722112
Logistic Regression,1-day,0.3173076923076923,0.31690140845070425,0.547869411618389
Logistic Regression,1-day,0.3269230769230769,0.31690140845070425,0.5472461543951177
Logistic Regression,1-day,0.3269230769230769,0.323943661971831,0.5471243334157967
Logistic Regression,1-day,0.33653846153846156,0.323943661971831,0.5470106739149093
Logistic Regression,1-day,0.33653846153846156,0.34507042253521125,0.546621848192181
Logistic Regression,1-day,0.34615384615384615,0.34507042253521125,0.5464753959504559
Logistic Regression,1-day,0.34615384615384615,0.352112676056338,0.5464540883811708
Logistic Regression,1-day,0.36538461538461536,0.352112676056338,0.5460289823557058
Logistic Regression,1-day,0.36538461538461536,0.36619718309859156,0.5458693778454474
Logistic Regression,1-day,0.38461538461538464,0.36619718309859156,0.5449694158324616
Logistic Regression,1-day,0.38461538461538464,0.3732394366197183,0.5444417978071187
Logistic Regression,1-day,0.3942307692307692,0.3732394366197183,0.5442766848417074
Logistic Regression,1-day,0.3942307692307692,0.38028169014084506,0.5437864324167909
Logistic Regression,1-day,0.41346153846153844,0.38028169014084506,0.5429092355252171
Logistic Regression,1-day,0.41346153846153844,0.4225352112676056,0.5413893691845814
Logistic Regression,1-day,0.4326923076923077,0.4225352112676056,0.5401226052720384
Logistic Regression,1-day,0.4326923076923077,0.4647887323943662,0.5392866231871692
Logistic Regression,1-day,0.4423076923076923,0.4647887323943662,0.5388326250045837
Logistic Regression,1-day,0.4423076923076923,0.49295774647887325,0.5369406810926884
Logistic Regression,1-day,0.47115384615384615,0.49295774647887325,0.535538565349375
Logistic Regression,1-day,0.47115384615384615,0.5,0.535464972726497
Logistic Regression,1-day,0.4807692307692308,0.5,0.5351620137716321
Logistic Regression,1-day,0.4807692307692308,0.5070422535211268,0.5351521009321716
Logistic Regression,1-day,0.5,0.5070422535211268,0.5338729215583874
Logistic Regression,1-day,0.5,0.5422535211267606,0.5313305944262673
Logistic Regression,1-day,0.5480769230769231,0.5422535211267606,0.5300638240523072
Logistic Regression,1-day,0.5480769230769231,0.5633802816901409,0.5289629653580398
Logistic Regression,1-day,0.5576923076923077,0.5633802816901409,0.5288375880818527
Logistic Regression,1-day,0.5576923076923077,0.5704225352112676,0.5287883964849356
Logistic Regression,1-day,0.5673076923076923,0.5704225352112676,0.5286586810984886
Logistic Regression,1-day,0.5673076923076923,0.5774647887323944,0.5284166663985213
Logistic Regression,1-day,0.5769230769230769,0.5774647887323944,0.5280306072839488
Logistic Regression,1-day,0.5769230769230769,0.5915492957746479,0.5273459575632046
Logistic Regression,1-day,0.6057692307692307,0.5915492957746479,0.5255369148498438
Logistic Regression,1-day,0.6057692307692307,0.6056338028169014,0.5250306794319265
Logistic Regression,1-day,0.6153846153846154,0.6056338028169014,0.5249992933768501
Logistic Regression,1-day,0.6153846153846154,0.6126760563380281,0.524822836384205
Logistic Regression,1-day,0.6346153846153846,0.6126760563380281,0.5241499104923513
Logistic Regression,1-day,0.6346153846153846,0.6338028169014085,0.5236972677212512
Logistic Regression,1-day,0.6442307692307693,0.6338028169014085,0.5230092961344533
Logistic Regression,1-day,0.6442307692307693,0.6408450704225352,0.5229831535535782
Logistic Regression,1-day,0.6538461538461539,0.6408450704225352,0.522843649145311
Logistic Regression,1-day,0.6538461538461539,0.6549295774647887,0.5222505699244466
Logistic Regression,1-day,0.6730769230769231,0.6549295774647887,0.5209035364924641
Logistic Regression,1-day,0.6730769230769231,0.6690140845070423,0.5202499194492397
Logistic Regression,1-day,0.7019230769230769,0.6690140845070423,0.5187092673876925
Logistic Regression,1-day,0.7019230769230769,0.6901408450704225,0.5173401163862335
Logistic Regression,1-day,0.7211538461538461,0.6901408450704225,0.5164864542526746
Logistic Regression,1-day,0.7211538461538461,0.704225352112676,0.5145871128193263
Logistic Regression,1-day,0.7307692307692307,0.704225352112676,0.5135988128552802
Logistic Regression,1-day,0.7307692307692307,0.7112676056338029,0.5112724921944873
Logistic Regression,1-day,0.75,0.7112676056338029,0.5101474653291981
Logistic Regression,1-day,0.75,0.7183098591549296,0.5100334897465707
