Horizon,Feature,Importance
1-day,SMA_10_pct,0.14224873142942782
1-day,STOCH_K_14,0.14368642826786246
1-day,MACD_signal_9_pct,0.1439160708911801
1-day,RSI_14,0.1407452071581665
1-day,CCI_20,0.14403414822140242
1-day,turnover,0.14152310844805288
1-day,volatility,0.14384630558390796
7-day,SMA_10_pct,0.13598588918625623
7-day,STOCH_K_14,0.12244417948410644
7-day,MACD_signal_9_pct,0.1587598817002151
7-day,RSI_14,0.13883081927390264
7-day,CCI_20,0.13063052797744695
7-day,turnover,0.13571842207323412
7-day,volatility,0.17763028030483835
30-day,SMA_10_pct,0.12597114354217337
30-day,STOCH_K_14,0.12060837472246212
30-day,MACD_signal_9_pct,0.16440253044157202
30-day,RSI_14,0.13071157992537033
30-day,CCI_20,0.12728188746390026
30-day,turnover,0.1264276441329823
30-day,volatility,0.2045968397715397
