Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,"LLOY, RR",2,590,0.5372196175767605,0.4950442227546846,0.5512258908139915,0.8413363147123475,0.6657401014261566
Logistic Regression,1-day,Large Cap,"LLOY, RR",2,590,0.523637157565729,0.48526324271403853,0.5459208683473389,0.802584704009702,0.6497406497406497
Random Forest,1-day,Large Cap,"LLOY, RR",2,590,0.505285898143041,0.48905439177922194,0.549133875106929,0.5677821572045783,0.5581719995591639
SVM,1-day,Large Cap,"LLOY, RR",2,590,0.5237520683949255,0.5008866295703456,0.5516487361147555,0.7272227696505722,0.6267320445886835
LSTM,7-day,Large Cap,"LLOY, RR",2,588,0.5255567767686702,0.4918222024963598,0.583203125,0.7946660081491542,0.6722308788913569
Logistic Regression,7-day,Large Cap,"LLOY, RR",2,588,0.6088621507491179,0.5025203311720166,0.6109732657697012,0.9945054945054945,0.7568710359408033
Random Forest,7-day,Large Cap,"LLOY, RR",2,588,0.5289350378897437,0.4711788742687619,0.6126520538285244,0.6277935547598469,0.6200361282553064
SVM,7-day,Large Cap,"LLOY, RR",2,588,0.5561925146063516,0.47640367865086963,0.6001810699588477,0.8219533275713051,0.6937736430016714
LSTM,30-day,Large Cap,"LLOY, RR",2,579,0.5647193585337915,0.4602429528219407,0.7339365651271973,0.6588187381675692,0.6896317335469618
Logistic Regression,30-day,Large Cap,"LLOY, RR",2,579,0.7320661512027491,0.47081484395896467,0.7356845722553808,0.9925373134328358,0.8445447381617595
Random Forest,30-day,Large Cap,"LLOY, RR",2,579,0.6094107961053837,0.4895300644029915,0.7320806316439504,0.7321137674459561,0.7320609215346057
SVM,30-day,Large Cap,"LLOY, RR",2,579,0.697343928980527,0.5105752817720899,0.7348494693523933,0.9087857174305464,0.8125253433472611
