Model,Horizon,Ticker,Observations,Accuracy,ROC_AUC,Precision,Recall,F1,Up_Proportion_Actual
LSTM,1-day,LLOY,296,0.5574324324324325,0.5268996889941049,0.5676691729323309,0.9041916167664671,0.6974595842956121,0.5641891891891891
LSTM,1-day,RR,294,0.5170068027210885,0.46318875651526437,0.5347826086956522,0.7784810126582279,0.634020618556701,0.5374149659863946
Logistic Regression,1-day,LLOY,296,0.5506756756756757,0.4786705658450541,0.5708333333333333,0.8203592814371258,0.6732186732186732,0.5641891891891891
Logistic Regression,1-day,RR,294,0.4965986394557823,0.49185591958302305,0.5210084033613446,0.7848101265822784,0.6262626262626263,0.5374149659863946
Random Forest,1-day,LLOY,296,0.44594594594594594,0.4526992526574758,0.5089820359281437,0.5089820359281437,0.5089820359281437,0.5641891891891891
Random Forest,1-day,RR,294,0.564625850340136,0.5254095309009681,0.5892857142857143,0.6265822784810127,0.6073619631901841,0.5374149659863946
SVM,1-day,LLOY,296,0.5168918918918919,0.48902195608782434,0.558252427184466,0.688622754491018,0.6166219839142091,0.5641891891891891
SVM,1-day,RR,294,0.5306122448979592,0.5127513030528668,0.545045045045045,0.7658227848101266,0.6368421052631579,0.5374149659863946
LSTM,7-day,LLOY,295,0.511864406779661,0.4413713627196773,0.56640625,0.8146067415730337,0.6682027649769585,0.6033898305084746
LSTM,7-day,RR,293,0.5392491467576792,0.5422730422730422,0.6,0.7747252747252747,0.6762589928057554,0.621160409556314
Logistic Regression,7-day,LLOY,295,0.6033898305084746,0.4762316335350043,0.6033898305084746,1.0,0.7526427061310782,0.6033898305084746
Logistic Regression,7-day,RR,293,0.6143344709897611,0.5288090288090288,0.6185567010309279,0.989010989010989,0.7610993657505285,0.621160409556314
Random Forest,7-day,LLOY,295,0.5220338983050847,0.45030250648228176,0.5989304812834224,0.6292134831460674,0.6136986301369863,0.6033898305084746
Random Forest,7-day,RR,293,0.5358361774744027,0.4920552420552421,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.621160409556314
SVM,7-day,LLOY,295,0.535593220338983,0.4413233458177278,0.5843621399176955,0.797752808988764,0.6745843230403801,0.6033898305084746
SVM,7-day,RR,293,0.5767918088737202,0.5114840114840115,0.616,0.8461538461538461,0.7129629629629629,0.621160409556314
LSTM,30-day,LLOY,291,0.5738831615120275,0.5096664397549353,0.7965116279069767,0.6061946902654868,0.6884422110552764,0.7766323024054983
LSTM,30-day,RR,288,0.5555555555555556,0.41081946588894613,0.6713615023474179,0.7114427860696517,0.6908212560386473,0.6979166666666666
Logistic Regression,30-day,LLOY,291,0.7766323024054983,0.3980258679373723,0.7766323024054983,1.0,0.874274661508704,0.7766323024054983
Logistic Regression,30-day,RR,288,0.6875,0.543603819980557,0.6947368421052632,0.9850746268656716,0.8148148148148148,0.6979166666666666
Random Forest,30-day,LLOY,291,0.6597938144329897,0.48635125936010887,0.777292576419214,0.7876106194690266,0.7824175824175824,0.7766323024054983
Random Forest,30-day,RR,288,0.5590277777777778,0.4927088694458741,0.6868686868686869,0.6766169154228856,0.681704260651629,0.6979166666666666
SVM,30-day,LLOY,291,0.7766323024054983,0.5626957113682777,0.7824561403508772,0.9867256637168141,0.87279843444227,0.7766323024054983
SVM,30-day,RR,288,0.6180555555555556,0.4584548521759021,0.6872427983539094,0.8308457711442786,0.7522522522522522,0.6979166666666666
