Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.523728813559322,0.4847721335268505,0.5460251046025104,0.803076923076923,0.6500622665006227,0.5508474576271186
SVM,1-day,0.523728813559322,0.4991233671988389,0.5514018691588785,0.7261538461538461,0.6268260292164675,0.5508474576271186
Random Forest,1-day,0.5050847457627119,0.48697822931785195,0.5492537313432836,0.5661538461538461,0.5575757575757576,0.5508474576271186
LSTM,1-day,0.5372881355932203,0.4953381712626995,0.5524193548387096,0.8430769230769231,0.6674786845310596,0.5508474576271186
Logistic Regression,7-day,0.608843537414966,0.4997928849902534,0.6109215017064846,0.9944444444444445,0.7568710359408034,0.6122448979591837
SVM,7-day,0.5561224489795918,0.4737329434697856,0.6004056795131846,0.8222222222222222,0.694021101992966,0.6122448979591837
Random Forest,7-day,0.5289115646258503,0.4695480019493178,0.6124661246612466,0.6277777777777778,0.6200274348422496,0.6122448979591837
LSTM,7-day,0.5255102040816326,0.49232456140350883,0.5824847250509165,0.7944444444444444,0.6721504112808461,0.6122448979591837
Logistic Regression,30-day,0.7322970639032815,0.47818316282509554,0.7361111111111112,0.9929742388758782,0.8454636091724825,0.7374784110535406
SVM,30-day,0.697754749568221,0.5052847282139776,0.7386363636363636,0.9133489461358314,0.8167539267015707,0.7374784110535406
Random Forest,30-day,0.6096718480138169,0.49798933809934665,0.7353629976580797,0.7353629976580797,0.7353629976580797,0.7374784110535406
LSTM,30-day,0.5647668393782384,0.43832429434241343,0.7272727272727273,0.6557377049180327,0.6896551724137931,0.7374784110535406
