Model,Horizon,False_Positive_Rate,True_Positive_Rate,Threshold
Logistic Regression,1-day,0.0,0.0,inf
Logistic Regression,1-day,0.0,0.003076923076923077,0.5941408514173923
Logistic Regression,1-day,0.0037735849056603774,0.003076923076923077,0.5844650039588973
Logistic Regression,1-day,0.0037735849056603774,0.006153846153846154,0.5600439894453852
Logistic Regression,1-day,0.007547169811320755,0.006153846153846154,0.5592690384206218
Logistic Regression,1-day,0.007547169811320755,0.009230769230769232,0.5518841673714191
Logistic Regression,1-day,0.018867924528301886,0.009230769230769232,0.5454598050090408
Logistic Regression,1-day,0.018867924528301886,0.012307692307692308,0.5449370741138435
Logistic Regression,1-day,0.022641509433962263,0.012307692307692308,0.5443598994289236
Logistic Regression,1-day,0.022641509433962263,0.021538461538461538,0.5411103543516509
Logistic Regression,1-day,0.026415094339622643,0.021538461538461538,0.5408006285891572
Logistic Regression,1-day,0.026415094339622643,0.024615384615384615,0.5405160983120147
Logistic Regression,1-day,0.03018867924528302,0.024615384615384615,0.539967775153612
Logistic Regression,1-day,0.03018867924528302,0.04,0.5383569867245693
Logistic Regression,1-day,0.03773584905660377,0.04,0.5380494094353484
Logistic Regression,1-day,0.03773584905660377,0.04923076923076923,0.5369825821244436
Logistic Regression,1-day,0.04150943396226415,0.04923076923076923,0.5369243819817848
Logistic Regression,1-day,0.04150943396226415,0.055384615384615386,0.5362786789977209
Logistic Regression,1-day,0.045283018867924525,0.055384615384615386,0.5361731926725597
Logistic Regression,1-day,0.045283018867924525,0.06153846153846154,0.5360094158815495
Logistic Regression,1-day,0.052830188679245285,0.06153846153846154,0.5354739659146056
Logistic Regression,1-day,0.052830188679245285,0.06461538461538462,0.5353746674228058
Logistic Regression,1-day,0.06037735849056604,0.06461538461538462,0.5352050867940019
Logistic Regression,1-day,0.06037735849056604,0.07076923076923076,0.5347194090483826
Logistic Regression,1-day,0.07169811320754717,0.07076923076923076,0.5345146558062545
Logistic Regression,1-day,0.07169811320754717,0.07692307692307693,0.5336567709467877
Logistic Regression,1-day,0.0830188679245283,0.07692307692307693,0.5334066506044324
Logistic Regression,1-day,0.0830188679245283,0.08,0.5330675750457236
Logistic Regression,1-day,0.1018867924528302,0.08,0.5324026570178144
Logistic Regression,1-day,0.1018867924528302,0.09230769230769231,0.5319378283826945
Logistic Regression,1-day,0.10566037735849057,0.09230769230769231,0.5319009639149279
Logistic Regression,1-day,0.10566037735849057,0.09846153846153846,0.5318723661047188
Logistic Regression,1-day,0.12452830188679245,0.09846153846153846,0.5312067763453101
Logistic Regression,1-day,0.12452830188679245,0.10461538461538461,0.5310187355291293
Logistic Regression,1-day,0.12830188679245283,0.10461538461538461,0.5309280007346648
Logistic Regression,1-day,0.12830188679245283,0.11076923076923077,0.5309084283621391
Logistic Regression,1-day,0.1509433962264151,0.11076923076923077,0.5301981496717024
Logistic Regression,1-day,0.1509433962264151,0.11384615384615385,0.5301774523962849
Logistic Regression,1-day,0.15471698113207547,0.11384615384615385,0.5301329823876365
Logistic Regression,1-day,0.15471698113207547,0.12,0.5300369085860366
Logistic Regression,1-day,0.15849056603773584,0.12,0.5299950495659681
Logistic Regression,1-day,0.15849056603773584,0.12307692307692308,0.5299787646986522
Logistic Regression,1-day,0.16226415094339622,0.12307692307692308,0.5299419877334333
Logistic Regression,1-day,0.16226415094339622,0.12923076923076923,0.529812640195131
Logistic Regression,1-day,0.1660377358490566,0.12923076923076923,0.5296823285978781
Logistic Regression,1-day,0.1660377358490566,0.1476923076923077,0.5291780568568402
Logistic Regression,1-day,0.16981132075471697,0.1476923076923077,0.5288485782450624
Logistic Regression,1-day,0.16981132075471697,0.16307692307692306,0.5287323421606047
Logistic Regression,1-day,0.17358490566037735,0.16307692307692306,0.5286130785163646
Logistic Regression,1-day,0.17358490566037735,0.1723076923076923,0.528377528827911
Logistic Regression,1-day,0.18490566037735848,0.1723076923076923,0.5282509666850981
Logistic Regression,1-day,0.18490566037735848,0.1753846153846154,0.5282304167215284
Logistic Regression,1-day,0.2,0.1753846153846154,0.5280283264192225
Logistic Regression,1-day,0.2,0.18153846153846154,0.5279378302073859
Logistic Regression,1-day,0.21509433962264152,0.18153846153846154,0.5276059463200692
Logistic Regression,1-day,0.21509433962264152,0.19692307692307692,0.527492747081893
Logistic Regression,1-day,0.2188679245283019,0.19692307692307692,0.5274721226212985
Logistic Regression,1-day,0.2188679245283019,0.2,0.5274278347373998
Logistic Regression,1-day,0.22264150943396227,0.2,0.5271740688642435
Logistic Regression,1-day,0.22264150943396227,0.20615384615384616,0.5270155385947275
Logistic Regression,1-day,0.2339622641509434,0.20615384615384616,0.5268079259472953
Logistic Regression,1-day,0.2339622641509434,0.2153846153846154,0.5266836353544784
Logistic Regression,1-day,0.24150943396226415,0.2153846153846154,0.5266444693515971
Logistic Regression,1-day,0.24150943396226415,0.21846153846153846,0.5266297029940338
Logistic Regression,1-day,0.2528301886792453,0.21846153846153846,0.5264553725973597
Logistic Regression,1-day,0.2528301886792453,0.2276923076923077,0.5263328129347578
Logistic Regression,1-day,0.2641509433962264,0.2276923076923077,0.5259498443778088
Logistic Regression,1-day,0.2641509433962264,0.23384615384615384,0.5257303842237063
Logistic Regression,1-day,0.2679245283018868,0.23384615384615384,0.5255738853851005
Logistic Regression,1-day,0.2679245283018868,0.24,0.5254216855722793
Logistic Regression,1-day,0.27169811320754716,0.24,0.5254206992167358
Logistic Regression,1-day,0.27169811320754716,0.24615384615384617,0.5251363653787919
