Model,Horizon,Group,Tickers,N_Tickers,Total_Observations,Accuracy,ROC_AUC,Precision,Recall,F1
LSTM,1-day,Large Cap,RR,1,89,0.550561797752809,0.5477642276422764,0.5465116279069767,0.9791666666666666,0.7014925373134329
LSTM,1-day,Small Cap,ASC,1,126,0.4523809523809524,0.47067901234567905,0.40963855421686746,0.6296296296296297,0.49635036496350365
Logistic Regression,1-day,Large Cap,RR,1,89,0.5730337078651685,0.5919715447154472,0.5806451612903226,0.75,0.6545454545454545
Logistic Regression,1-day,Small Cap,ASC,1,126,0.48412698412698413,0.5061728395061729,0.39622641509433965,0.3888888888888889,0.3925233644859813
Random Forest,1-day,Large Cap,RR,1,89,0.5842696629213483,0.5858739837398375,0.5964912280701754,0.7083333333333334,0.6476190476190476
Random Forest,1-day,Small Cap,ASC,1,126,0.5476190476190477,0.5649434156378601,0.47058823529411764,0.4444444444444444,0.45714285714285713
SVM,1-day,Large Cap,RR,1,89,0.5393258426966292,0.41819105691056907,0.5393258426966292,1.0,0.7007299270072993
SVM,1-day,Small Cap,ASC,1,126,0.42857142857142855,0.4598765432098766,0.42857142857142855,1.0,0.6
LSTM,7-day,Large Cap,RR,1,84,0.6309523809523809,0.6658551430310408,0.6309523809523809,1.0,0.7737226277372263
LSTM,7-day,Small Cap,ASC,1,128,0.4375,0.46403769841269843,0.4375,1.0,0.6086956521739131
Logistic Regression,7-day,Large Cap,RR,1,84,0.6309523809523809,0.5709068776628119,0.6341463414634146,0.9811320754716981,0.7703703703703704
Logistic Regression,7-day,Small Cap,ASC,1,128,0.4375,0.5262896825396826,0.4365079365079365,0.9821428571428571,0.6043956043956044
Random Forest,7-day,Large Cap,RR,1,84,0.5714285714285714,0.42361533779671334,0.6307692307692307,0.7735849056603774,0.6949152542372882
Random Forest,7-day,Small Cap,ASC,1,128,0.53125,0.576264880952381,0.4803921568627451,0.875,0.620253164556962
SVM,7-day,Large Cap,RR,1,84,0.6309523809523809,0.5660377358490567,0.6375,0.9622641509433962,0.7669172932330827
SVM,7-day,Small Cap,ASC,1,128,0.4453125,0.4391121031746032,0.42857142857142855,0.8035714285714286,0.5590062111801242
LSTM,30-day,Large Cap,RR,1,78,0.6282051282051282,0.560639070442992,0.6527777777777778,0.9215686274509803,0.7642276422764228
LSTM,30-day,Small Cap,ASC,1,129,0.23255813953488372,0.269873417721519,0.189873417721519,0.3,0.23255813953488372
Logistic Regression,30-day,Large Cap,RR,1,78,0.5641025641025641,0.4596949891067539,0.6268656716417911,0.8235294117647058,0.711864406779661
Logistic Regression,30-day,Small Cap,ASC,1,129,0.3488372093023256,0.25037974683544306,0.2976190476190476,0.5,0.373134328358209
Random Forest,30-day,Large Cap,RR,1,78,0.5384615384615384,0.32861292665214237,0.6271186440677966,0.7254901960784313,0.6727272727272727
Random Forest,30-day,Small Cap,ASC,1,129,0.2713178294573643,0.2145569620253165,0.23809523809523808,0.4,0.29850746268656714
SVM,30-day,Large Cap,RR,1,78,0.5641025641025641,0.5177923021060276,0.639344262295082,0.7647058823529411,0.6964285714285714
SVM,30-day,Small Cap,ASC,1,129,0.21705426356589147,0.17139240506329115,0.1506849315068493,0.22,0.17886178861788618
