Model,Horizon,Accuracy,ROC_AUC,Precision,Recall,F1,Baseline_Accuracy
Logistic Regression,1-day,0.5209302325581395,0.5607322575047718,0.4956521739130435,0.5588235294117647,0.5253456221198156,0.4744186046511628
SVM,1-day,0.4744186046511628,0.426687489154954,0.4744186046511628,1.0,0.6435331230283912,0.4744186046511628
Random Forest,1-day,0.5627906976744186,0.5864567065764359,0.5370370370370371,0.5686274509803921,0.5523809523809524,0.4744186046511628
LSTM,1-day,0.4930232558139535,0.5210827693909422,0.47928994082840237,0.7941176470588235,0.5977859778597786,0.4744186046511628
Logistic Regression,7-day,0.5141509433962265,0.4967489088803777,0.5144230769230769,0.981651376146789,0.6750788643533123,0.5141509433962265
SVM,7-day,0.5188679245283019,0.48214126658947176,0.518918918918919,0.8807339449541285,0.6530612244897959,0.5141509433962265
Random Forest,7-day,0.5471698113207547,0.5112229446869155,0.5389221556886228,0.8256880733944955,0.6521739130434783,0.5141509433962265
LSTM,7-day,0.5141509433962265,0.4835664024227309,0.5141509433962265,1.0,0.6791277258566978,0.5141509433962265
Logistic Regression,30-day,0.42995169082125606,0.36932561180646367,0.44370860927152317,0.6633663366336634,0.5317460317460317,0.48792270531400966
SVM,30-day,0.34782608695652173,0.3536334765552027,0.373134328358209,0.49504950495049505,0.425531914893617,0.48792270531400966
Random Forest,30-day,0.3719806763285024,0.3079581543059966,0.3986013986013986,0.5643564356435643,0.4672131147540984,0.48792270531400966
LSTM,30-day,0.38164251207729466,0.46824210722959086,0.4105960264900662,0.6138613861386139,0.49206349206349204,0.48792270531400966
